"var","categoria","Horacio Rodríguez Larreta presidente – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios","A los candidatos de la izquierda","No sabe"
"P30","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.021,0.017,0.422,0.014,0.023
"P30","A los candidatos de la izquierda",0.005,0.017,0.068,0.522,0.017
"P30","No sabe",0.021,0.015,0.079,0.213,0.08
"P31","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.249,0.024,0.01,0.005,0.052
"P31","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.481,0.056,0.334,0.016,0.345
"P31","A Martín Lousteau como Jefe de Gobierno",0.179,0.031,0.048,0.108,0.302
"P31","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.051,0.653,0.011,0.105,0.071
"P31","Alberto Fernández presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.015,0.17,0.013,0.023,0.077
"P31","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.009,0.013,0.443,0,0.04
"P31","A los candidatos de la izquierda",0.003,0.035,0.053,0.62,0.008
"P31","No sabe",0.013,0.018,0.088,0.123,0.105
"P32","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Mauricio Macri y la UCR",0.876,0.085,0.297,0.06,0.396
"P32","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.064,0.87,0.013,0.13,0.074
"P32","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.019,0.002,0.641,0.014,0.032
"P32","A los candidatos de la izquierda",0.002,0.016,0.011,0.72,0.048
"P32","No sabe",0.039,0.027,0.038,0.076,0.45
"P33","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Mauricio Macri y la UCR",0.864,0.089,0.288,0.034,0.402
"P33","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.059,0.816,0.02,0.072,0.106
"P33","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.024,0.022,0.645,0.023,0.016
"P33","A los candidatos de la izquierda",0.006,0.027,0.025,0.805,0.011
"P33","No sabe",0.047,0.046,0.022,0.066,0.465
"P34","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.853,0.086,0.049,0.058,0.228
"P34","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.062,0.877,0.003,0.061,0.07
"P34","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.031,0.011,0.896,0.009,0.005
"P34","A los candidatos de la izquierda",0.001,0.007,0.008,0.768,0
"P34","No sabe",0.053,0.019,0.044,0.104,0.697
"P35","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.851,0.083,0.04,0.084,0.208
