"var","categoria","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio","A Martín Lousteau como Jefe de Gobierno","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa","Alberto Fernández presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios","A los candidatos de la izquierda","No sabe"
"P69","Ni buena ni mala",0.334,0.353,0.342,0.014,0.084,0.067,0.093,0.14
"P69","Mala",0.229,0.165,0.212,0.055,0.044,0.016,0.056,0.191
"P69","Muy mala",0.138,0.117,0.2,0.901,0.717,0.018,0.75,0.321
"P69","No sabe",0.05,0.01,0.033,0.003,0.055,0,0,0
"P70","Muy buena",0.121,0.04,0.177,0.033,0.087,0.112,0.022,0.037
"P70","Buena",0.202,0.133,0.213,0.096,0.101,0.085,0.09,0.17
"P70","Ni buena ni mala",0.393,0.352,0.427,0.341,0.348,0.36,0.165,0.387
"P70","Mala",0.128,0.255,0.074,0.172,0.162,0.18,0.159,0.111
"P70","Muy mala",0.099,0.209,0.079,0.331,0.253,0.208,0.413,0.171
"P70","No sabe",0.057,0.011,0.03,0.027,0.049,0.055,0.151,0.124
"P71","Siempre",0.437,0.348,0.248,0.304,0.224,0.225,0.351,0.229
"P71","Casi siempre",0.409,0.425,0.425,0.389,0.561,0.359,0.388,0.568
"P71","Casi nunca",0.11,0.154,0.267,0.205,0.109,0.271,0.153,0.134
"P71","Nunca, pero esta es una excepción",0.044,0.073,0.06,0.102,0.106,0.145,0.108,0.069
"P72","Si",0.566,0.629,0.552,0.574,0.413,0.564,0.577,0.619
"P72","No",0.434,0.371,0.448,0.426,0.587,0.436,0.423,0.381
