"var","categoria","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios","A los candidatos de la izquierda","No sabe"
"P51","Muy buena",0.331,0.207,0.607,0.459,0.345,0.071,0.124,0.097,0.008,0
"P51","Buena",0.405,0.405,0.23,0.36,0.433,0.076,0.111,0.22,0.017,0
"P51","Ni buena ni mala",0.158,0.22,0.117,0.08,0.137,0.111,0.126,0.281,0.186,0
"P51","Mala",0.077,0.102,0.014,0.022,0.051,0.261,0.232,0.229,0.274,0
"P51","Muy mala",0.023,0.045,0.032,0.074,0.019,0.478,0.399,0.165,0.501,0
"P51","No sabe",0.006,0.021,0,0.005,0.015,0.003,0.008,0.008,0.014,0
"P52","Muy buena",0.591,0.261,0.434,0.304,0.2,0.032,0.03,0.064,0,0
"P52","Buena",0.32,0.345,0.299,0.317,0.261,0.023,0.064,0.14,0,0
"P52","Ni buena ni mala",0.06,0.299,0.185,0.239,0.381,0.103,0.192,0.394,0.025,0
"P52","Mala",0.006,0.059,0.025,0.089,0.095,0.254,0.223,0.2,0.355,0
"P52","Muy mala",0,0.032,0.057,0.024,0.039,0.55,0.459,0.152,0.606,0
"P52","No sabe",0.023,0.004,0,0.027,0.024,0.038,0.032,0.05,0.014,0
"P53","Muy buena",0.063,0.012,0.117,0.061,0.045,0.651,0.479,0.054,0.063,0
"P53","Buena",0.053,0.065,0.162,0.078,0.096,0.194,0.23,0.062,0.092,0
"P53","Ni buena ni mala",0.258,0.198,0.231,0.314,0.278,0.024,0.115,0.182,0.109,0
"P53","Mala",0.276,0.294,0.174,0.21,0.274,0.031,0.06,0.249,0.271,0
"P53","Muy mala",0.297,0.41,0.196,0.294,0.262,0.076,0.108,0.388,0.392,0
"P53","No sabe",0.053,0.021,0.12,0.043,0.045,0.024,0.008,0.065,0.073,0
"P54","Muy buena",0.337,0.218,0.446,0.424,0.293,0.081,0.063,0.071,0.008,0
"P54","Buena",0.395,0.305,0.306,0.229,0.254,0.015,0.021,0.181,0.014,0
"P54","Ni buena ni mala",0.141,0.243,0.119,0.193,0.208,0.02,0.059,0.236,0.084,0
"P54","Mala",0.086,0.133,0.083,0.096,0.128,0.129,0.161,0.194,0.13,0
"P54","Muy mala",0.041,0.1,0.046,0.058,0.101,0.742,0.688,0.307,0.764,0
"P54","No sabe",0,0.001,0,0,0.016,0.013,0.008,0.011,0,0
"P55","Muy buena",0.271,0.183,0.297,0.317,0.148,0.011,0.019,0.098,0,0
"P55","Buena",0.352,0.359,0.314,0.279,0.288,0.012,0.026,0.122,0.017,0
"P55","Ni buena ni mala",0.244,0.318,0.227,0.251,0.336,0.033,0.111,0.291,0.043,0
"P55","Mala",0.068,0.078,0.064,0.098,0.089,0.112,0.113,0.21,0.168,0
"P55","Muy mala",0.03,0.043,0.014,0.037,0.059,0.811,0.701,0.113,0.705,0
"P55","No sabe",0.035,0.019,0.084,0.018,0.08,0.021,0.03,0.166,0.067,0
"P56","Muy buena",0.224,0.206,0.16,0.221,0.542,0.009,0.062,0.109,0.009,0
"P56","Buena",0.27,0.234,0.317,0.366,0.292,0.034,0.061,0.112,0.017,0
"P56","Ni buena ni mala",0.295,0.236,0.317,0.287,0.098,0.127,0.177,0.234,0.094,0
"P56","Mala",0.15,0.184,0.144,0.068,0.029,0.34,0.242,0.22,0.398,0
"P56","Muy mala",0.057,0.135,0.062,0.039,0.026,0.477,0.433,0.285,0.43,0
"P56","No sabe",0.004,0.005,0,0.019,0.013,0.013,0.025,0.04,0.052,0
"P57","Muy buena",0.027,0.035,0.061,0.058,0.092,0.15,0.365,0.066,0.023,0
"P57","Buena",0.043,0.059,0.142,0.048,0.074,0.393,0.312,0.019,0.039,0
"P57","Ni buena ni mala",0.203,0.157,0.184,0.279,0.23,0.267,0.166,0.19,0.206,0
"P57","Mala",0.352,0.263,0.207,0.239,0.323,0.062,0.028,0.198,0.376,0
"P57","Muy mala",0.346,0.463,0.319,0.351,0.219,0.112,0.098,0.407,0.291,0
"P57","No sabe",0.029,0.023,0.087,0.025,0.062,0.016,0.031,0.12,0.065,0
"P58","Muy buena",0.445,0.68,0.245,0.314,0.237,0.017,0.019,0.213,0.008,0
"P58","Buena",0.285,0.183,0.241,0.237,0.266,0.029,0.082,0.294,0,0
"P58","Ni buena ni mala",0.201,0.07,0.272,0.205,0.326,0.072,0.162,0.299,0.091,0
"P58","Mala",0.027,0.026,0.07,0.132,0.097,0.112,0.138,0.06,0.086,0
"P58","Muy mala",0.033,0.032,0.109,0.099,0.067,0.757,0.591,0.086,0.815,0
"P58","No sabe",0.009,0.009,0.063,0.013,0.007,0.013,0.008,0.048,0,0
"P59","Muy buena",0.591,0.492,0.533,0.759,0.445,0.033,0.05,0.171,0,0
"P59","Buena",0.248,0.294,0.166,0.098,0.24,0.108,0.188,0.129,0.059,0
"P59","Ni buena ni mala",0.143,0.154,0.174,0.117,0.219,0.255,0.332,0.343,0.143,0
"P59","Mala",0.008,0.031,0.032,0.021,0.027,0.211,0.148,0.151,0.264,0
"P59","Muy mala",0.003,0.022,0,0.005,0.03,0.368,0.237,0.111,0.52,0
"P59","No sabe",0.007,0.007,0.095,0,0.039,0.025,0.045,0.095,0.014,0
"P60","Muy buena",0.053,0.038,0.094,0.077,0.048,0.353,0.309,0.037,0.026,0
"P60","Buena",0.024,0.026,0.07,0.039,0.05,0.335,0.271,0.028,0.14,0
"P60","Ni buena ni mala",0.129,0.122,0.13,0.17,0.242,0.139,0.182,0.164,0.294,0
"P60","Mala",0.246,0.232,0.271,0.302,0.226,0.039,0.075,0.174,0.17,0
"P60","Muy mala",0.501,0.558,0.288,0.36,0.341,0.09,0.114,0.404,0.304,0
"P60","No sabe",0.047,0.024,0.147,0.052,0.093,0.044,0.049,0.193,0.066,0
"P61","Muy buena",0.01,0.01,0.033,0.012,0,0.198,0.14,0.038,0.068,0
"P61","Buena",0.009,0.007,0.082,0.016,0.02,0.133,0.136,0.002,0.063,0
"P61","Ni buena ni mala",0.147,0.163,0.215,0.237,0.228,0.285,0.414,0.171,0.25,0
"P61","Mala",0.19,0.164,0.131,0.122,0.194,0.035,0.01,0.112,0.222,0
"P61","Muy mala",0.321,0.333,0.263,0.3,0.289,0.086,0.074,0.373,0.21,0
"P61","No sabe",0.323,0.323,0.276,0.313,0.269,0.263,0.226,0.304,0.187,0
"P62","Muy buena",0.014,0.001,0.008,0.007,0,0.144,0.177,0.032,0,0
"P62","Buena",0.005,0.007,0.046,0.035,0.022,0.458,0.377,0.005,0.066,0
"P62","Ni buena ni mala",0.03,0.012,0.085,0.009,0.085,0.288,0.269,0.082,0.149,0
"P62","Mala",0.118,0.104,0.202,0.137,0.208,0.057,0.105,0.087,0.525,0
"P62","Muy mala",0.826,0.851,0.63,0.807,0.64,0.03,0.043,0.771,0.246,0
"P62","No sabe",0.007,0.025,0.029,0.005,0.045,0.023,0.029,0.023,0.014,0
"P63","Muy buena",0.01,0.006,0.043,0.019,0.005,0.103,0.175,0.033,0.012,0
"P63","Buena",0.008,0,0.032,0.018,0.009,0.431,0.388,0.008,0.034,0
"P63","Ni buena ni mala",0.008,0.009,0.064,0.036,0.081,0.322,0.229,0.023,0.209,0
"P63","Mala",0.105,0.098,0.231,0.146,0.19,0.113,0.097,0.119,0.389,0
"P63","Muy mala",0.867,0.887,0.63,0.781,0.708,0.029,0.091,0.798,0.342,0
"P63","No sabe",0.002,0,0,0,0.007,0.002,0.02,0.019,0.014,0
"P64","Muy buena",0.011,0.003,0.014,0.031,0.029,0.756,0.641,0.032,0.114,0
"P64","Buena",0,0.006,0.07,0.005,0.009,0.153,0.152,0.016,0.254,0
"P64","Ni buena ni mala",0.007,0.011,0.076,0.027,0.021,0.045,0.099,0.011,0.086,0
"P64","Mala",0.066,0.065,0.1,0.041,0.174,0.018,0.014,0.067,0.348,0
"P64","Muy mala",0.91,0.915,0.74,0.896,0.76,0.028,0.088,0.851,0.198,0
"P64","No sabe",0.006,0,0,0,0.007,0,0.006,0.023,0,0
"P65","Muy buena",0.473,0.451,0.481,0.316,0.176,0.075,0.142,0.07,0.016,0
"P65","Buena",0.298,0.287,0.238,0.203,0.228,0.024,0.012,0.218,0,0
"P65","Ni buena ni mala",0.085,0.135,0.117,0.19,0.265,0.014,0.045,0.222,0.03,0
"P65","Mala",0.056,0.051,0.037,0.097,0.153,0.085,0.086,0.23,0.104,0
"P65","Muy mala",0.086,0.076,0.127,0.194,0.178,0.8,0.715,0.249,0.85,0
"P65","No sabe",0.002,0,0,0,0,0.002,0,0.011,0,0
"P66","Muy buena",0.149,0.118,0.637,0.489,0.326,0.03,0.064,0.036,0,0
"P66","Buena",0.437,0.315,0.222,0.255,0.408,0.008,0.047,0.128,0.008,0
"P66","Ni buena ni mala",0.226,0.233,0.095,0.173,0.175,0.06,0.062,0.195,0.051,0
"P66","Mala",0.101,0.174,0.014,0.035,0.061,0.177,0.177,0.281,0.077,0
"P66","Muy mala",0.087,0.155,0.032,0.048,0.03,0.725,0.65,0.349,0.864,0
"P66","No sabe",0,0.005,0,0,0,0,0,0.011,0,0
"P67","Muy buena",0.008,0.021,0.041,0.031,0.03,0.148,0.198,0.027,0,0
"P67","Buena",0.035,0.026,0.054,0.08,0.108,0.419,0.424,0.036,0.086,0
"P67","Ni buena ni mala",0.034,0.05,0.138,0.118,0.181,0.243,0.195,0.053,0.132,0
"P67","Mala",0.172,0.158,0.32,0.234,0.304,0.066,0.038,0.236,0.433,0
"P67","Muy mala",0.746,0.741,0.447,0.537,0.358,0.12,0.137,0.61,0.341,0
"P67","No sabe",0.005,0.004,0,0,0.019,0.004,0.008,0.038,0.008,0
"P68","Muy buena",0.784,0.716,0.356,0.308,0.253,0.02,0.067,0.226,0.008,0
"P68","Buena",0.108,0.204,0.181,0.248,0.311,0.061,0.057,0.35,0,0
"P68","Ni buena ni mala",0.007,0.017,0.219,0.204,0.217,0.042,0.058,0.159,0.025,0
"P68","Mala",0.014,0.01,0,0.136,0.1,0.053,0.098,0.092,0.135,0
"P68","Muy mala",0.081,0.053,0.244,0.093,0.113,0.822,0.715,0.133,0.832,0
"P68","No sabe",0.006,0,0,0.011,0.006,0.002,0.005,0.04,0,0
"P69","Muy buena",0.159,0.196,0.121,0.064,0.061,0.018,0.038,0.723,0.008,0
"P69","Buena",0.165,0.218,0.158,0.166,0.08,0.009,0,0.233,0,0
"P69","Ni buena ni mala",0.391,0.297,0.265,0.281,0.38,0.034,0.085,0.038,0.023,0
"P69","Mala",0.181,0.178,0.217,0.213,0.238,0.042,0.054,0.003,0.035,0
"P69","Muy mala",0.083,0.109,0.17,0.247,0.203,0.884,0.808,0.003,0.934,0
"P69","No sabe",0.021,0.002,0.069,0.029,0.038,0.013,0.015,0,0,0
"P70","Muy buena",0.074,0.033,0.1,0.109,0.148,0.042,0.04,0.143,0,0
"P70","Buena",0.147,0.107,0.082,0.204,0.283,0.093,0.13,0.09,0.06,0
"P70","Ni buena ni mala",0.369,0.388,0.379,0.437,0.384,0.322,0.368,0.294,0.153,0
"P70","Mala",0.231,0.234,0.192,0.103,0.103,0.164,0.169,0.176,0.137,0
"P70","Muy mala",0.158,0.232,0.121,0.129,0.059,0.35,0.225,0.183,0.556,0
"P70","No sabe",0.021,0.006,0.126,0.018,0.023,0.029,0.068,0.114,0.094,0
"P71","Siempre",0.377,0.328,0.433,0.29,0.252,0.292,0.331,0.238,0.332,0
"P71","Casi siempre",0.448,0.407,0.403,0.49,0.394,0.41,0.429,0.402,0.402,0
"P71","Casi nunca",0.132,0.201,0.077,0.14,0.205,0.223,0.123,0.25,0.104,0
"P71","Nunca, pero esta es una excepción",0.043,0.064,0.087,0.08,0.149,0.075,0.117,0.11,0.162,0
"P72","Si",0.689,0.612,0.619,0.55,0.467,0.521,0.561,0.556,0.653,0
"P72","No",0.311,0.388,0.381,0.45,0.533,0.479,0.439,0.444,0.347,0
