"var","categoria","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio","A Martín Lousteau como Jefe de Gobierno","A Ricardo López Murphy como Jefe de Gobierno","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios","A los candidatos de izquierda","No sabe"
"P31","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.006,0.037,0.036,0.053,0.762,0.223,0,0.037,0.145
"P31","Alberto Fernández presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.016,0,0.057,0.01,0.149,0.46,0.009,0,0.036
"P31","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.034,0.031,0.018,0.049,0.006,0.078,0.733,0.086,0.029
"P31","A los candidatos de la izquierda",0,0,0.018,0.002,0.035,0.043,0.155,0.357,0.265
"P31","No sabe",0.027,0.061,0.027,0.024,0.025,0.064,0.005,0.495,0.231
"P32","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Mauricio Macri y la UCR",0.921,0.866,0.602,0.756,0.006,0.077,0.056,0.017,0.196
"P32","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.005,0.024,0.082,0.056,0.92,0.779,0.032,0.026,0.184
"P32","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.033,0.016,0.099,0.1,0.011,0.058,0.841,0.404,0.019
"P32","A los candidatos de la izquierda",0.004,0.015,0.015,0.023,0.03,0.013,0.022,0.515,0.349
"P32","No sabe",0.037,0.079,0.202,0.065,0.033,0.073,0.049,0.038,0.252
"P33","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Mauricio Macri y la UCR",0.919,0.831,0.57,0.758,0.008,0.086,0.049,0.027,0.226
"P33","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.014,0.042,0.068,0.059,0.864,0.738,0.033,0.035,0.176
"P33","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.036,0.033,0.096,0.127,0.013,0.043,0.86,0.4,0.014
"P33","A los candidatos de la izquierda",0.004,0.016,0.043,0.016,0.046,0.037,0.025,0.501,0.325
"P33","No sabe",0.027,0.078,0.223,0.04,0.069,0.096,0.033,0.037,0.259
"P34","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.661,0.88,0.601,0.613,0.006,0.086,0.047,0.012,0.14
"P34","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.013,0.004,0.074,0.052,0.933,0.803,0.032,0.035,0.204
"P34","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.18,0.084,0.095,0.203,0.004,0.029,0.869,0.432,0.065
"P34","A los candidatos de la izquierda",0.006,0,0.018,0.002,0.019,0.024,0.006,0.479,0.356
"P34","No sabe",0.14,0.032,0.212,0.13,0.038,0.058,0.046,0.042,0.235
"P35","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.659,0.869,0.626,0.574,0.011,0.082,0.038,0.024,0.158
"P35","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.014,0.005,0.063,0.044,0.893,0.79,0.036,0.053,0.15
"P35","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.199,0.087,0.095,0.222,0.009,0.02,0.881,0.432,0.072
"P35","A los candidatos de la izquierda",0.008,0,0.022,0.037,0.04,0.035,0.014,0.474,0.41
"P35","No sabe",0.12,0.039,0.194,0.123,0.047,0.073,0.031,0.017,0.21
"P36","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.644,0.865,0.771,0.549,0.007,0.099,0.044,0.021,0.2
"P36","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.014,0.005,0.069,0.05,0.934,0.81,0.037,0.079,0.152
"P36","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.205,0.07,0.053,0.241,0.004,0.031,0.877,0.429,0.06
"P36","A los candidatos de la izquierda",0.005,0.005,0.008,0.021,0.025,0.016,0.019,0.447,0.392
"P36","No sabe",0.132,0.055,0.099,0.139,0.03,0.044,0.023,0.024,0.196
"P37","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.652,0.854,0.814,0.561,0.007,0.077,0.047,0.019,0.205
"P37","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.016,0.038,0.063,0.054,0.891,0.838,0.037,0.087,0.228
"P37","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.198,0.049,0.041,0.212,0.013,0.004,0.888,0.461,0.072
