"var","categoria","Wado de Pedro por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P58","Puede que lo vote",0.034,0.326,0.219,0.069,0.17,0.23
"P58","Nunca lo votaría",0.912,0.436,0.084,0.755,0.71,0.468
"P58","No sabe",0.038,0.056,0.005,0.068,0.058,0.232
"P59","Lo votaría",0.018,0.099,0.147,0.116,0.054,0.054
"P59","Puede que lo vote",0.092,0.244,0.112,0.169,0.086,0.138
"P59","Nunca lo votaría",0.822,0.55,0.673,0.672,0.796,0.569
"P59","No sabe",0.068,0.107,0.068,0.043,0.064,0.239
"P60","Lo votaría",0.014,0.194,0.189,0.111,0.141,0.117
"P60","Puede que lo vote",0.03,0.406,0.373,0.026,0.223,0.252
"P60","Nunca lo votaría",0.911,0.306,0.376,0.744,0.565,0.38
"P60","No sabe",0.045,0.094,0.062,0.119,0.071,0.251
"P61","Muy buena",0.216,0.068,0.056,0.204,0.055,0.057
"P61","Buena",0.358,0.083,0.084,0.117,0.035,0.057
"P61","Ni buena ni mala",0.324,0.122,0.069,0.196,0.195,0.202
"P61","Mala",0.066,0.21,0.13,0.247,0.137,0.231
"P61","Muy mala",0.034,0.51,0.648,0.233,0.561,0.386
"P61","No sabe",0.002,0.007,0.013,0.003,0.017,0.067
"P62","Muy buena",0.648,0.033,0.022,0.364,0.022,0.029
"P62","Buena",0.244,0.042,0.03,0.172,0.027,0.048
"P62","Ni buena ni mala",0.082,0.174,0.122,0.184,0.119,0.22
"P62","Mala",0.016,0.226,0.166,0.105,0.159,0.226
"P62","Muy mala",0.006,0.481,0.64,0.156,0.625,0.339
"P62","No sabe",0.004,0.044,0.02,0.019,0.048,0.138
"P63","Muy buena",0.234,0.041,0.035,0.252,0.086,0.047
"P63","Buena",0.369,0.058,0.033,0.098,0.045,0.073
"P63","Ni buena ni mala",0.292,0.134,0.146,0.314,0.144,0.243
"P63","Mala",0.071,0.267,0.209,0.127,0.179,0.227
"P63","Muy mala",0.026,0.481,0.571,0.197,0.523,0.334
"P63","No sabe",0.008,0.019,0.006,0.012,0.023,0.076
"P64","Muy buena",0.721,0.039,0.031,0.336,0.048,0.079
"P64","Buena",0.165,0.038,0.026,0.111,0.031,0.051
"P64","Ni buena ni mala",0.074,0.069,0.069,0.244,0.091,0.115
"P64","Mala",0.019,0.197,0.125,0.068,0.125,0.113
"P64","Muy mala",0.018,0.642,0.747,0.241,0.666,0.533
"P64","No sabe",0.003,0.015,0.002,0,0.039,0.109
"P65","Muy buena",0.084,0.492,0.42,0.25,0.404,0.451
"P65","Buena",0.02,0.24,0.24,0.007,0.106,0.154
"P65","Ni buena ni mala",0.059,0.099,0.138,0.09,0.141,0.09
"P65","Mala",0.188,0.07,0.067,0.119,0.093,0.092
"P65","Muy mala",0.641,0.094,0.127,0.53,0.238,0.148
"P65","No sabe",0.008,0.005,0.008,0.004,0.018,0.065
"P66","Muy buena",0.014,0.357,0.107,0.165,0.1,0.058
"P66","Buena",0.024,0.435,0.147,0.004,0.107,0.219
"P66","Ni buena ni mala",0.112,0.127,0.238,0.106,0.22,0.358
"P66","Mala",0.278,0.041,0.202,0.191,0.28,0.172
"P66","Muy mala",0.561,0.033,0.303,0.531,0.268,0.116
"P66","No sabe",0.011,0.007,0.003,0.003,0.025,0.077
"P67","Muy buena",0.013,0.088,0.569,0.173,0.028,0.025
"P67","Buena",0.018,0.218,0.237,0.026,0.075,0.13
"P67","Ni buena ni mala",0.058,0.338,0.127,0.053,0.212,0.395
"P67","Mala",0.136,0.157,0.03,0.151,0.178,0.154
"P67","Muy mala",0.77,0.172,0.035,0.591,0.454,0.192
"P67","No sabe",0.005,0.027,0.002,0.006,0.053,0.104
"P68","Muy buena",0.016,0.06,0.111,0.172,0.037,0.049
"P68","Buena",0.037,0.133,0.099,0.032,0.036,0.084
"P68","Ni buena ni mala",0.231,0.367,0.275,0.194,0.234,0.315
"P68","Mala",0.237,0.181,0.17,0.223,0.198,0.137
"P68","Muy mala",0.45,0.209,0.293,0.376,0.457,0.233
"P68","No sabe",0.029,0.05,0.052,0.003,0.038,0.182
"P69","Muy buena",0.011,0.148,0.152,0.171,0.095,0.091
"P69","Buena",0.025,0.323,0.286,0.042,0.156,0.234
"P69","Ni buena ni mala",0.112,0.326,0.321,0.104,0.307,0.297
"P69","Mala",0.197,0.079,0.092,0.066,0.104,0.089
"P69","Muy mala",0.638,0.094,0.126,0.504,0.244,0.152
"P69","No sabe",0.017,0.03,0.023,0.113,0.094,0.137
"P70","Si",0.577,0.532,0.542,0.567,0.524,0.483
"P70","No",0.423,0.468,0.458,0.433,0.476,0.517
