"var","categoria","Wado de Pedro por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Horacio Rodríguez Larreta por Juntos por el Cambio","Juan Schiaretti por Juntos por el Cambio","Jose Luis Espert por Juntos por el Cambio","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P65","Ni buena ni mala",0.054,0.023,0.242,0.229,0.07,0.099,0.109,0.205,0.225
"P65","Mala",0.151,0.034,0.164,0.092,0.149,0.072,0.14,0.193,0.186
"P65","Muy mala",0.55,0.079,0.112,0.181,0.534,0.124,0.665,0.483,0.255
"P65","No sabe",0.013,0.002,0.004,0.008,0.001,0.004,0,0.019,0.159
"P66","Muy buena",0.101,0.165,0.48,0.114,0.05,0.121,0.022,0.013,0.059
"P66","Buena",0.101,0.321,0.311,0.125,0.081,0.194,0.011,0.115,0.115
"P66","Ni buena ni mala",0.119,0.275,0.101,0.231,0.14,0.21,0.144,0.167,0.209
"P66","Mala",0.206,0.145,0.067,0.197,0.254,0.195,0.199,0.259,0.223
"P66","Muy mala",0.467,0.088,0.032,0.33,0.46,0.268,0.621,0.443,0.244
"P66","No sabe",0.006,0.006,0.009,0.003,0.015,0.012,0.003,0.003,0.15
"P67","Muy buena",0.051,0.096,0.129,0.645,0.058,0.424,0.022,0.032,0.023
"P67","Buena",0.069,0.252,0.199,0.121,0.081,0.192,0,0.075,0.068
"P67","Ni buena ni mala",0.1,0.372,0.254,0.124,0.102,0.171,0.095,0.148,0.209
"P67","Mala",0.119,0.137,0.141,0.043,0.131,0.08,0.152,0.159,0.164
"P67","Muy mala",0.646,0.12,0.248,0.059,0.624,0.119,0.731,0.53,0.387
"P67","No sabe",0.015,0.023,0.029,0.008,0.004,0.014,0,0.056,0.149
"P68","Muy buena",0.036,0.04,0.053,0.208,0.029,0.072,0.022,0.104,0.039
"P68","Buena",0.075,0.088,0.153,0.092,0.061,0.075,0.029,0.041,0.106
"P68","Ni buena ni mala",0.233,0.319,0.413,0.271,0.267,0.268,0.255,0.348,0.332
"P68","Mala",0.219,0.208,0.139,0.139,0.235,0.176,0.277,0.12,0.131
"P68","Muy mala",0.398,0.295,0.171,0.261,0.355,0.344,0.401,0.368,0.179
"P68","No sabe",0.039,0.05,0.071,0.029,0.053,0.065,0.016,0.019,0.213
"P69","Muy buena",0.048,0.146,0.109,0.123,0.071,0.147,0.005,0.022,0.04
"P69","Buena",0.073,0.355,0.281,0.221,0.083,0.272,0.046,0.069,0.095
"P69","Ni buena ni mala",0.148,0.314,0.414,0.321,0.142,0.311,0.131,0.199,0.235
"P69","Mala",0.156,0.079,0.089,0.085,0.152,0.094,0.21,0.196,0.181
"P69","Muy mala",0.545,0.073,0.086,0.216,0.507,0.149,0.562,0.402,0.256
"P69","No sabe",0.03,0.033,0.021,0.034,0.045,0.027,0.046,0.112,0.193
"P70","Si",0.568,0.547,0.545,0.55,0.561,0.508,0.45,0.546,0.565
"P70","No",0.432,0.453,0.455,0.45,0.439,0.492,0.55,0.454,0.435
