"var","categoria","Lo votaría","Puede que lo vote","Nunca lo votaría","No sabe"
"P48","En blanco",0.03,0.113,0.249,0.079
"P48","No sabe",0.027,0.114,0.129,0.479
"P49","Javier Milei por los liberales libertarios",0.894,0.736,0.08,0.161
"P49","Wado de Pedro  por el Frente de Todos",0.028,0.071,0.588,0.211
"P49","En blanco",0.034,0.092,0.214,0.082
"P49","No sabe",0.044,0.101,0.118,0.546
"P50","Javier Milei por los liberales libertarios",0.891,0.747,0.073,0.15
"P50","Daniel Scioli por el Frente de Todos",0.033,0.079,0.54,0.192
"P50","En blanco",0.035,0.095,0.244,0.123
"P50","No sabe",0.041,0.079,0.143,0.535
"P51","Javier Milei por los liberales libertarios",0.917,0.765,0.076,0.165
"P51","Axel Kicillof por el Frente de Todos",0.027,0.062,0.588,0.198
"P51","En blanco",0.032,0.086,0.22,0.12
"P51","No sabe",0.024,0.087,0.116,0.517
"P52","Lo votaría",0.172,0.123,0.328,0.196
"P52","Puede que lo vote",0.037,0.086,0.241,0.033
"P52","Nunca lo votaría",0.761,0.732,0.366,0.446
"P52","No sabe",0.03,0.059,0.065,0.325
"P53","Lo votaría",0.066,0.051,0.474,0.173
"P53","Puede que lo vote",0.042,0.067,0.121,0.064
"P53","Nunca lo votaría",0.868,0.844,0.369,0.426
"P53","No sabe",0.024,0.038,0.036,0.337
"P54","Lo votaría",0.064,0.055,0.283,0.081
"P54","Puede que lo vote",0.048,0.092,0.24,0.125
"P54","Nunca lo votaría",0.866,0.831,0.413,0.438
"P54","No sabe",0.022,0.022,0.064,0.356
"P55","Lo votaría",0.045,0.053,0.481,0.15
"P55","Puede que lo vote",0.024,0.053,0.107,0.08
"P55","Nunca lo votaría",0.918,0.873,0.387,0.458
"P55","No sabe",0.013,0.021,0.025,0.312
"P56","La votaría",0.438,0.662,0.258,0.397
"P56","Puede que la vote",0.323,0.125,0.073,0.087
"P56","Nunca la votaría",0.214,0.187,0.654,0.17
"P56","No sabe",0.025,0.026,0.015,0.346
"P57","Lo votaría",0.266,0.257,0.143,0.162
"P57","Puede que lo vote",0.22,0.495,0.114,0.154
"P57","Nunca lo votaría",0.474,0.194,0.715,0.131
"P57","No sabe",0.04,0.054,0.028,0.553
"P59","Lo votaría",0.223,0.05,0.027,0.007
"P59","Puede que lo vote",0.114,0.249,0.103,0.182
"P59","Nunca lo votaría",0.594,0.625,0.802,0.296
"P59","No sabe",0.069,0.076,0.068,0.515
"P60","Lo votaría",0.267,0.154,0.046,0.069
"P60","Puede que lo vote",0.311,0.516,0.135,0.122
"P60","Nunca lo votaría",0.361,0.254,0.769,0.22
"P60","No sabe",0.061,0.076,0.05,0.589
"P61","Muy buena",0.089,0.055,0.135,0.123
"P61","Buena",0.061,0.123,0.23,0.09
"P61","Ni buena ni mala",0.104,0.065,0.26,0.178
"P61","Mala",0.16,0.154,0.123,0.191
"P61","Muy mala",0.579,0.586,0.247,0.281
"P61","No sabe",0.007,0.017,0.005,0.137
"P62","Muy buena",0.047,0.026,0.376,0.143
"P62","Buena",0.028,0.067,0.155,0.052
"P62","Ni buena ni mala",0.136,0.117,0.131,0.212
"P62","Mala",0.18,0.205,0.093,0.138
"P62","Muy mala",0.587,0.554,0.218,0.251
"P62","No sabe",0.022,0.031,0.027,0.204
"P63","Muy buena",0.051,0.036,0.156,0.113
"P63","Buena",0.034,0.062,0.242,0.031
"P63","Ni buena ni mala",0.136,0.137,0.239,0.339
"P63","Mala",0.222,0.244,0.134,0.132
"P63","Muy mala",0.55,0.514,0.215,0.216
"P63","No sabe",0.007,0.007,0.014,0.169
"P64","Muy buena",0.045,0.032,0.431,0.16
"P64","Buena",0.025,0.058,0.114,0.029
"P64","Ni buena ni mala",0.067,0.066,0.086,0.127
"P64","Mala",0.138,0.14,0.081,0.099
"P64","Muy mala",0.722,0.699,0.276,0.36
"P64","No sabe",0.003,0.005,0.012,0.225
"P65","Muy buena",0.425,0.529,0.214,0.365
"P65","Buena",0.239,0.245,0.08,0.12
"P65","Ni buena ni mala",0.142,0.085,0.083,0.119
"P65","Mala",0.07,0.047,0.152,0.122
"P65","Muy mala",0.121,0.087,0.464,0.107
"P65","No sabe",0.003,0.007,0.007,0.167
"P66","Muy buena",0.187,0.148,0.092,0.113
"P66","Buena",0.165,0.326,0.121,0.219
"P66","Ni buena ni mala",0.182,0.284,0.156,0.188
"P66","Mala",0.177,0.139,0.214,0.223
"P66","Muy mala",0.288,0.092,0.405,0.124
"P66","No sabe",0.001,0.011,0.012,0.133
"P67","Muy buena",0.652,0.075,0.029,0.048
"P67","Buena",0.204,0.384,0.032,0.052
"P67","Ni buena ni mala",0.084,0.427,0.119,0.481
"P67","Mala",0.021,0.072,0.178,0.115
"P67","Muy mala",0.037,0.034,0.623,0.087
"P67","No sabe",0.002,0.008,0.019,0.217
"P68","Muy buena",0.142,0.042,0.029,0.043
"P68","Buena",0.105,0.129,0.049,0.094
"P68","Ni buena ni mala",0.296,0.328,0.253,0.322
"P68","Mala",0.145,0.222,0.219,0.053
"P68","Muy mala",0.262,0.228,0.409,0.201
"P68","No sabe",0.05,0.051,0.041,0.287
"P69","Muy buena",0.205,0.13,0.035,0.081
"P69","Buena",0.25,0.392,0.107,0.15
"P69","Ni buena ni mala",0.299,0.319,0.198,0.331
"P69","Mala",0.109,0.064,0.152,0.048
"P69","Muy mala",0.117,0.066,0.472,0.131
"P69","No sabe",0.02,0.029,0.036,0.259
"P70","Si",0.548,0.493,0.565,0.484
"P70","No",0.452,0.507,0.435,0.516
