"var","categoria","Siempre","Casi siempre","Casi nunca","Nunca, pero esta es una excepción"
"P31","Javier Milei por la Libertad Avanza",0.185,0.202,0.337,0.29
"P31","Al candidato del Frente de Izquierda",0.03,0.036,0.027,0.04
"P31","En blanco",0.038,0.042,0.059,0.073
"P31","No sabe",0.09,0.092,0.112,0.122
"P32","Wado de Pedro por el Frente de Todos",0.29,0.301,0.209,0.224
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.252,0.225,0.17,0.122
"P32","Javier Milei por la Libertad Avanza",0.262,0.278,0.399,0.35
"P32","Al candidato del Frente de Izquierda",0.017,0.02,0.018,0.031
"P32","En blanco",0.065,0.066,0.056,0.097
"P32","No sabe",0.114,0.11,0.148,0.176
"P33","Wado de Pedro por el Frente de Todos",0.298,0.306,0.213,0.242
"P33","Patricia Bullrich por Juntos por el Cambio",0.375,0.358,0.282,0.249
"P33","Javier Milei por la Libertad Avanza",0.197,0.198,0.345,0.271
"P33","Al candidato del Frente de Izquierda",0.023,0.02,0.016,0.025
"P33","En blanco",0.042,0.044,0.049,0.077
"P33","No sabe",0.065,0.074,0.095,0.136
"P34","Daniel Scioli por el Frente de Todos",0.262,0.242,0.178,0.213
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.231,0.245,0.181,0.133
"P34","Javier Milei por la Libertad Avanza",0.256,0.268,0.417,0.348
"P34","Al candidato del Frente de Izquierda",0.036,0.04,0.039,0.015
"P34","En blanco",0.074,0.077,0.068,0.097
"P34","No sabe",0.141,0.128,0.117,0.194
"P35","Daniel Scioli por el Frente de Todos",0.269,0.243,0.179,0.198
"P35","Patricia Bullrich por Juntos por el Cambio",0.375,0.355,0.284,0.26
"P35","Javier Milei por la Libertad Avanza",0.182,0.202,0.354,0.323
"P35","Al candidato del Frente de Izquierda",0.033,0.044,0.039,0.024
"P35","En blanco",0.046,0.052,0.052,0.099
"P35","No sabe",0.095,0.104,0.092,0.096
"P36","Axel Kicillof por el Frente de Todos",0.312,0.294,0.193,0.223
"P36","Horacio Rodríguez Larreta por Juntos por el Cambio",0.24,0.251,0.193,0.151
"P36","Javier Milei por la Libertad Avanza",0.258,0.276,0.427,0.378
"P36","Al candidato del Frente de Izquierda",0.027,0.024,0.02,0.02
"P36","En blanco",0.052,0.057,0.056,0.081
"P36","No sabe",0.111,0.098,0.111,0.147
"P37","Axel Kicillof por el Frente de Todos",0.313,0.305,0.213,0.243
"P37","Patricia Bullrich por Juntos por el Cambio",0.368,0.367,0.271,0.231
"P37","Javier Milei por la Libertad Avanza",0.196,0.202,0.357,0.327
"P37","Al candidato del Frente de Izquierda",0.029,0.025,0.023,0.015
"P37","En blanco",0.029,0.039,0.055,0.088
"P37","No sabe",0.065,0.062,0.081,0.096
"P38","Horacio Rodríguez Larreta por Juntos por el Cambio",0.344,0.342,0.281,0.23
"P38","Sergio Massa por el Frente de Todos",0.319,0.33,0.218,0.303
"P38","En blanco",0.15,0.157,0.252,0.213
"P38","No sabe",0.187,0.171,0.249,0.254
"P39","Horacio Rodríguez Larreta por Juntos por el Cambio",0.374,0.377,0.303,0.267
"P39","Wado de Pedro por el Frente de Todos",0.318,0.33,0.243,0.264
"P39","En blanco",0.161,0.16,0.25,0.265
"P39","No sabe",0.147,0.133,0.204,0.204
"P40","Patricia Bullrich por Juntos por el Cambio",0.483,0.512,0.525,0.425
"P40","Sergio Massa por el Frente de Todos",0.33,0.326,0.239,0.288
"P40","En blanco",0.103,0.087,0.119,0.187
"P40","No sabe",0.084,0.075,0.117,0.1
"P41","Patricia Bullrich por Juntos por el Cambio",0.515,0.537,0.555,0.422
"P41","Wado de Pedro  por el Frente de Todos",0.321,0.334,0.245,0.25
"P41","En blanco",0.094,0.069,0.111,0.161
"P41","No sabe",0.07,0.06,0.089,0.167
"P42","Patricia Bullrich por Juntos por el Cambio",0.516,0.534,0.543,0.391
"P42","Daniel Scioli por el Frente de Todos",0.297,0.296,0.23,0.238
"P42","En blanco",0.105,0.089,0.12,0.2
"P42","No sabe",0.082,0.081,0.107,0.171
"P43","Horacio Rodríguez Larreta por Juntos por el Cambio",0.386,0.397,0.325,0.281
"P43","Daniel Scioli por el Frente de Todos",0.294,0.295,0.223,0.255
"P43","En blanco",0.166,0.188,0.256,0.259
"P43","No sabe",0.154,0.12,0.196,0.205
"P44","Patricia Bullrich por Juntos por el Cambio",0.503,0.52,0.514,0.41
"P44","Axel Kicillof por el Frente de Todos",0.329,0.344,0.237,0.233
"P44","En blanco",0.089,0.078,0.141,0.202
"P44","No sabe",0.079,0.058,0.108,0.155
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.392,0.408,0.353,0.298
"P45","Axel Kicillof por el Frente de Todos",0.34,0.329,0.23,0.238
"P45","En blanco",0.136,0.16,0.254,0.238
"P45","No sabe",0.132,0.103,0.163,0.226
"P46","Horacio Rodríguez Larreta por Juntos por el Cambio",0.301,0.3,0.205,0.204
"P46","Javier Milei por los liberales libertarios",0.273,0.318,0.434,0.372
"P46","En blanco",0.236,0.239,0.236,0.232
"P46","No sabe",0.19,0.143,0.125,0.192
"P47","Patricia Bullrich por Juntos por el Cambio",0.41,0.385,0.32,0.305
"P47","Javier Milei por los liberales libertarios",0.19,0.23,0.375,0.312
"P47","En blanco",0.281,0.276,0.214,0.208
"P47","No sabe",0.119,0.109,0.091,0.175
"P48","Javier Milei por los liberales libertarios",0.357,0.381,0.509,0.48
"P48","Sergio Massa por el Frente de Todos",0.329,0.346,0.253,0.265
"P48","En blanco",0.163,0.152,0.155,0.142
"P48","No sabe",0.151,0.121,0.083,0.113
"P49","Javier Milei por los liberales libertarios",0.377,0.396,0.539,0.493
"P49","Wado de Pedro  por el Frente de Todos",0.346,0.347,0.241,0.216
"P49","En blanco",0.14,0.139,0.123,0.114
"P49","No sabe",0.137,0.118,0.097,0.177
"P50","Javier Milei por los liberales libertarios",0.376,0.394,0.548,0.486
"P50","Daniel Scioli por el Frente de Todos",0.319,0.32,0.223,0.26
"P50","En blanco",0.153,0.168,0.129,0.141
"P50","No sabe",0.152,0.118,0.1,0.113
"P51","Javier Milei por los liberales libertarios",0.387,0.418,0.568,0.473
"P51","Axel Kicillof por el Frente de Todos",0.34,0.338,0.234,0.257
"P51","En blanco",0.14,0.149,0.119,0.118
"P51","No sabe",0.133,0.095,0.079,0.152
"P52","Lo votaría",0.282,0.235,0.182,0.24
"P52","Puede que lo vote",0.121,0.176,0.142,0.075
"P52","Nunca lo votaría",0.525,0.526,0.614,0.554
"P52","No sabe",0.072,0.063,0.062,0.131
"P53","Lo votaría",0.316,0.278,0.199,0.19
"P53","Puede que lo vote",0.067,0.106,0.071,0.105
"P53","Nunca lo votaría",0.569,0.567,0.69,0.609
"P53","No sabe",0.048,0.049,0.04,0.096
"P54","Lo votaría",0.235,0.162,0.104,0.128
"P54","Puede que lo vote",0.13,0.18,0.138,0.153
"P54","Nunca lo votaría",0.57,0.595,0.715,0.601
"P54","No sabe",0.065,0.063,0.043,0.118
"P55","Lo votaría",0.315,0.271,0.189,0.224
"P55","Puede que lo vote",0.077,0.076,0.055,0.089
"P55","Nunca lo votaría",0.564,0.621,0.727,0.626
"P55","No sabe",0.044,0.032,0.029,0.061
"P56","La votaría",0.414,0.397,0.359,0.32
"P56","Puede que la vote",0.092,0.16,0.228,0.162
"P56","Nunca la votaría",0.459,0.414,0.371,0.429
"P56","No sabe",0.035,0.029,0.042,0.089
"P57","Lo votaría",0.232,0.212,0.128,0.169
"P57","Puede que lo vote",0.178,0.231,0.261,0.154
"P57","Nunca lo votaría",0.522,0.502,0.554,0.54
"P57","No sabe",0.068,0.055,0.057,0.137
"P58","Lo votaría",0.245,0.247,0.352,0.363
"P58","Puede que lo vote",0.166,0.201,0.187,0.156
"P58","Nunca lo votaría",0.515,0.518,0.415,0.356
"P58","No sabe",0.074,0.034,0.046,0.125
"P59","Lo votaría",0.089,0.079,0.079,0.1
"P59","Puede que lo vote",0.151,0.144,0.126,0.058
"P59","Nunca lo votaría",0.674,0.692,0.69,0.673
"P59","No sabe",0.086,0.085,0.105,0.169
"P60","Lo votaría",0.137,0.119,0.124,0.155
"P60","Puede que lo vote",0.216,0.28,0.263,0.214
"P60","Nunca lo votaría",0.554,0.534,0.526,0.44
"P60","No sabe",0.093,0.067,0.087,0.191
"P61","Muy buena",0.142,0.097,0.058,0.149
"P61","Buena",0.159,0.18,0.116,0.105
"P61","Ni buena ni mala",0.182,0.182,0.174,0.131
"P61","Mala",0.144,0.133,0.149,0.181
"P61","Muy mala",0.348,0.4,0.495,0.401
"P61","No sabe",0.025,0.008,0.008,0.033
"P62","Muy buena",0.254,0.213,0.151,0.157
"P62","Buena",0.084,0.119,0.079,0.078
"P62","Ni buena ni mala",0.135,0.128,0.142,0.143
"P62","Mala",0.15,0.141,0.13,0.133
"P62","Muy mala",0.339,0.372,0.458,0.428
"P62","No sabe",0.038,0.027,0.04,0.061
"P63","Muy buena",0.133,0.096,0.064,0.102
"P63","Buena",0.157,0.137,0.123,0.136
"P63","Ni buena ni mala",0.202,0.217,0.164,0.166
"P63","Mala",0.155,0.201,0.187,0.143
"P63","Muy mala",0.331,0.337,0.454,0.383
"P63","No sabe",0.022,0.012,0.008,0.07
"P64","Muy buena",0.285,0.25,0.153,0.22
"P64","Buena",0.067,0.08,0.075,0.042
"P64","Ni buena ni mala",0.086,0.074,0.079,0.097
"P64","Mala",0.109,0.106,0.101,0.136
"P64","Muy mala",0.424,0.482,0.58,0.433
"P64","No sabe",0.029,0.008,0.012,0.072
"P65","Muy buena",0.366,0.328,0.345,0.275
"P65","Buena",0.114,0.166,0.189,0.182
"P65","Ni buena ni mala",0.08,0.09,0.127,0.199
"P65","Mala",0.117,0.111,0.096,0.071
"P65","Muy mala",0.299,0.298,0.239,0.226
"P65","No sabe",0.024,0.007,0.004,0.047
"P66","Muy buena",0.144,0.124,0.112,0.147
"P66","Buena",0.185,0.183,0.155,0.148
"P66","Ni buena ni mala",0.17,0.191,0.228,0.142
"P66","Mala",0.19,0.195,0.174,0.21
"P66","Muy mala",0.293,0.294,0.326,0.301
"P66","No sabe",0.018,0.013,0.005,0.052
"P67","Muy buena",0.18,0.182,0.298,0.276
"P67","Buena",0.129,0.161,0.145,0.121
"P67","Ni buena ni mala",0.187,0.189,0.173,0.193
"P67","Mala",0.117,0.124,0.093,0.06
"P67","Muy mala",0.36,0.331,0.279,0.246
"P67","No sabe",0.027,0.013,0.012,0.104
"P68","Muy buena",0.058,0.062,0.071,0.078
"P68","Buena",0.092,0.085,0.07,0.045
"P68","Ni buena ni mala",0.271,0.298,0.274,0.252
"P68","Mala",0.189,0.208,0.164,0.159
"P68","Muy mala",0.341,0.297,0.37,0.291
"P68","No sabe",0.049,0.05,0.051,0.175
"P69","Muy buena",0.1,0.095,0.101,0.155
"P69","Buena",0.205,0.216,0.189,0.125
"P69","Ni buena ni mala",0.229,0.257,0.291,0.265
"P69","Mala",0.116,0.133,0.1,0.093
"P69","Muy mala",0.301,0.274,0.29,0.205
"P69","No sabe",0.049,0.025,0.029,0.157
"P70","Si",0.695,0.537,0.374,0.358
"P70","No",0.305,0.463,0.626,0.642
