"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","No sabe"
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.66,0.132,0.112
"P30","Alberto Fernández por el Frente de Todos",0.116,0.036,0.367
"P30","Javier Milei por los liberales libertarios",0.043,0.741,0.047
"P30","Nicolás del Caño por la izquierda",0.029,0.009,0.054
"P30","Otro candidato",0.095,0.047,0.199
"P30","Aún no lo tengo decidido",0.057,0.035,0.221
"P32","Sergio Massa presidente por el Frente de Todos",0.149,0.04,0.427
"P32","Patricia Bullrich por Juntos por el Cambio",0.584,0.348,0.171
"P32","Javier Milei por los liberales libertarios",0.056,0.563,0.019
"P32","Nicolás del Caño por la izquierda",0.026,0,0.062
"P32","Otro candidato",0.134,0.029,0.153
"P32","Aún no lo tengo decidido",0.051,0.02,0.168
"P34","Sergio Massa presidente por el Frente de Todos",0.146,0.054,0.427
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.652,0.128,0.124
"P34","Javier Milei por los liberales libertarios",0.031,0.743,0.036
"P34","Nicolás del Caño por la izquierda",0.023,0,0.042
"P34","Otro candidato",0.093,0.056,0.189
"P34","Aún no lo tengo decidido",0.055,0.019,0.182
"P36","Cristina Fernández de Kirchner por el Frente de Todos",0.166,0.063,0.614
"P36","Horacio Rodríguez Larreta por Juntos por el Cambio",0.674,0.118,0.098
"P36","Javier Milei por los liberales libertarios",0.039,0.748,0.035
"P36","Nicolás del Caño por la izquierda",0.018,0.001,0.036
"P36","Otro candidato",0.07,0.054,0.112
"P36","Aún no lo tengo decidido",0.033,0.016,0.105
"P37","Sergio Massa presidente por el Frente de Todos",0.154,0.038,0.47
"P37","Mauricio Macri por Juntos por el Cambio",0.589,0.249,0.152
"P37","Javier Milei por los liberales libertarios",0.059,0.649,0.032
"P37","Nicolás del Caño por la izquierda",0.023,0.007,0.041
"P37","Otro candidato",0.137,0.036,0.156
"P37","Aún no lo tengo decidido",0.038,0.021,0.149
"P38","Alberto Fernández por el Frente de Todos",0.094,0.042,0.433
"P38","Mauricio Macri por Juntos por el Cambio",0.589,0.263,0.153
"P38","Javier Milei por los liberales libertarios",0.071,0.632,0.031
"P38","Nicolás del Caño por la izquierda",0.04,0.007,0.052
"P38","Otro candidato",0.16,0.038,0.173
"P38","Aún no lo tengo decidido",0.046,0.018,0.158
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.198,0.064,0.656
"P39","Mauricio Macri por Juntos por el Cambio",0.646,0.626,0.184
"P39","No sabe",0.156,0.31,0.16
"P40","Alberto Fernández por el Frente de Todos",0.13,0.064,0.533
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.783,0.484,0.132
"P40","No sabe",0.087,0.452,0.335
"P41","Sergio Massa presidente por el Frente de Todos",0.211,0.054,0.533
"P41","Patricia Bullrich por Juntos por el Cambio",0.664,0.731,0.19
"P41","No sabe",0.125,0.215,0.277
"P42","Sergio Massa presidente por el Frente de Todos",0.19,0.069,0.555
"P42","Mauricio Macri por Juntos por el Cambio",0.677,0.704,0.179
