"var","categoria","Sergio Massa presidente - Axel Kicillof gobernador por el Frente de Todos","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos del Frente de Izquierda","No sabe"
"P27","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.054,0.049,0.555,0.386,0.118,0.063,0.01,0.007,0.011
"P27","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.061,0.005,0.026,0.074,0.564,0.119,0.004,0.014,0.012
"P27","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.006,0.008,0.013,0.075,0.111,0.468,0.012,0.002,0.003
"P27","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.011,0.028,0.017,0.044,0.016,0.152,0.778,0.265,0.027
"P27","A los candidatos del Frente de Izquierda",0.008,0.004,0.007,0,0.015,0.085,0.105,0.205,0.076
"P27","No sabe",0.071,0.016,0.035,0.135,0.095,0.025,0.023,0.395,0.578
"P28","Alberto Fernández presidente - Axel Kicillof gobernador por el Frente de Todos",0.726,0.055,0.155,0.057,0.088,0.064,0.032,0.071,0.23
"P28","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.049,0.804,0.172,0.271,0.056,0.094,0.035,0.03,0.039
"P28","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.021,0.046,0.533,0.396,0.186,0.048,0.007,0.013,0.007
"P28","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.039,0.027,0.043,0.05,0.524,0.04,0.059,0.012,0.004
"P28","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.014,0.007,0.012,0.053,0.04,0.566,0.044,0.005,0.006
"P28","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.013,0.031,0.022,0.063,0.035,0.158,0.764,0.341,0.028
"P28","A los candidatos del Frente de Izquierda",0.023,0.006,0.011,0.003,0.002,0.007,0.036,0.196,0.101
"P28","No sabe",0.115,0.024,0.052,0.107,0.069,0.023,0.023,0.332,0.585
"P29","Sergio Massa presidente - Axel Kicillof gobernador por el Frente de Todos",0.819,0.088,0.128,0.091,0.129,0.035,0.016,0.03,0.184
"P29","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.045,0.78,0.193,0.26,0.06,0.13,0.079,0.031,0.04
"P29","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.024,0.038,0.546,0.393,0.079,0.046,0.01,0.005,0.029
"P29","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.013,0.011,0.044,0.061,0.6,0.066,0.051,0.011,0.008
"P29","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.006,0.004,0.007,0.057,0.037,0.52,0.023,0.002,0.011
"P29","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.014,0.054,0.021,0.043,0.05,0.135,0.79,0.395,0.03
"P29","A los candidatos del Frente de Izquierda",0.018,0.006,0.015,0.004,0.005,0.057,0.013,0.233,0.113
"P29","No sabe",0.061,0.019,0.046,0.091,0.04,0.011,0.018,0.293,0.585
"P30","Daniel Scioli presidente – Axel Kicillof gobernador por el Frente de Todos",0.627,0.176,0.343,0.328,0.157,0.104,0.011,0.056,0.226
"P30","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.237,0.386,0.506,0.368,0.361,0.172,0.04,0.067,0.121
"P30","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.035,0.213,0.058,0.085,0.108,0.387,0.897,0.605,0.05
"P30","A los candidatos del Frente de Izquierda",0.022,0.018,0.013,0.006,0.036,0,0.002,0.197,0.102
"P30","No sabe",0.079,0.207,0.08,0.213,0.338,0.337,0.05,0.075,0.501
"P31","Daniel Scioli presidente – Axel Kicillof gobernador por el Frente de Todos",0.637,0.297,0.275,0.378,0.19,0.222,0.033,0.075,0.242
"P31","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.25,0.543,0.402,0.322,0.346,0.243,0.056,0.074,0.139
"P31","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.03,0.087,0.084,0.105,0.133,0.353,0.876,0.629,0.034
"P31","A los candidatos del Frente de Izquierda",0.023,0.007,0.028,0.013,0.029,0,0.002,0.184,0.119
"P31","No sabe",0.06,0.066,0.211,0.182,0.302,0.182,0.033,0.038,0.466
"P32","Alberto Fernández presidente – Axel Kicillof gobernador por el Frente de Todos",0.574,0.189,0.336,0.359,0.133,0.091,0.012,0.037,0.189
"P32","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.242,0.394,0.464,0.311,0.366,0.306,0.032,0.041,0.124
"P32","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.037,0.219,0.08,0.091,0.148,0.42,0.916,0.639,0.065
"P32","A los candidatos del Frente de Izquierda",0.027,0.007,0.019,0.027,0.068,0.003,0.011,0.233,0.113
"P32","No sabe",0.12,0.191,0.101,0.212,0.285,0.18,0.029,0.05,0.509
"P33","Alberto Fernández presidente – Axel Kicillof gobernador por el Frente de Todos",0.602,0.302,0.269,0.378,0.175,0.194,0.012,0.034,0.183
"P33","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.238,0.547,0.355,0.296,0.311,0.273,0.059,0.062,0.137
"P33","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.022,0.105,0.111,0.115,0.145,0.35,0.887,0.629,0.047
"P33","A los candidatos del Frente de Izquierda",0.029,0,0.027,0.028,0.041,0.006,0.014,0.219,0.115
"P33","No sabe",0.109,0.046,0.238,0.183,0.328,0.177,0.028,0.056,0.518
"P34","Sergio Massa presidente – Axel Kicillof gobernador por el Frente de Todos",0.642,0.212,0.364,0.385,0.194,0.162,0.016,0.029,0.177
"P34","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.265,0.408,0.496,0.296,0.39,0.243,0.024,0.029,0.092
"P34","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.017,0.213,0.056,0.112,0.118,0.451,0.899,0.62,0.052
"P34","A los candidatos del Frente de Izquierda",0.013,0.003,0.011,0.024,0.025,0,0.021,0.267,0.141
"P34","No sabe",0.063,0.164,0.073,0.183,0.273,0.144,0.04,0.055,0.538
"P35","Sergio Massa presidente – Axel Kicillof gobernador por el Frente de Todos",0.85,0.079,0.2,0.158,0.158,0.118,0.028,0.061,0.214
"P35","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.058,0.778,0.506,0.527,0.41,0.399,0.064,0.058,0.064
"P35","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.019,0.104,0.091,0.083,0.116,0.378,0.874,0.593,0.039
"P35","A los candidatos del Frente de Izquierda",0.015,0.003,0.012,0.028,0.044,0,0.005,0.235,0.131
"P35","No sabe",0.058,0.036,0.191,0.204,0.272,0.105,0.029,0.053,0.552
