"var","categoria","Alberto Fernández presidente - Axel Kicillof gobernador por el Frente de Todos","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos del Frente de Izquierda","No sabe"
"P26","A los candidatos del Frente de Izquierda",0.021,0.009,0.009,0.016,0.014,0.176,0.394,0.189
"P26","No sabe",0.086,0.015,0.006,0.007,0.019,0.018,0.252,0.414
"P27","Daniel Scioli presidente - Axel Kicillof gobernador por el Frente de Todos",0.832,0.038,0.048,0.064,0.052,0.02,0.192,0.218
"P27","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.019,0.876,0.084,0.056,0.056,0.033,0.047,0.041
"P27","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.026,0.034,0.758,0.201,0.065,0.016,0.013,0.019
"P27","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.032,0.015,0.078,0.406,0.061,0.02,0.011,0.026
"P27","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.01,0.005,0.005,0.082,0.479,0.012,0.007,0.005
"P27","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.007,0.013,0.011,0.174,0.205,0.766,0.047,0.017
"P27","A los candidatos del Frente de Izquierda",0.007,0.005,0.003,0.003,0.065,0.084,0.601,0.018
"P27","No sabe",0.067,0.014,0.013,0.014,0.017,0.049,0.082,0.656
"P29","Sergio Massa presidente - Axel Kicillof gobernador por el Frente de Todos",0.82,0.051,0.04,0.195,0.103,0.022,0.147,0.206
"P29","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.016,0.887,0.074,0.071,0.044,0.067,0.026,0.024
"P29","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.035,0.029,0.744,0.056,0.051,0.007,0.002,0.026
"P29","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.005,0.001,0.105,0.556,0.022,0.014,0.002,0.009
"P29","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.002,0.004,0.008,0.017,0.547,0.011,0.006,0.006
"P29","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.032,0.02,0.017,0.087,0.185,0.86,0.037,0.027
"P29","A los candidatos del Frente de Izquierda",0.019,0.001,0.003,0.003,0.035,0.008,0.727,0.036
"P29","No sabe",0.071,0.007,0.009,0.015,0.013,0.011,0.053,0.666
"P30","Daniel Scioli presidente – Axel Kicillof gobernador por el Frente de Todos",0.646,0.18,0.332,0.186,0.089,0.025,0.157,0.199
"P30","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.234,0.39,0.537,0.346,0.215,0.021,0.109,0.156
"P30","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.013,0.213,0.062,0.206,0.435,0.906,0.078,0.152
"P30","A los candidatos del Frente de Izquierda",0.027,0.009,0.006,0.026,0.049,0.001,0.537,0.036
"P30","No sabe",0.08,0.208,0.063,0.236,0.212,0.047,0.119,0.457
