"var","categoria","Daniel Scioli presidente - Axel Kicillof gobernador por el Frente de Todos","Wado de Pedro presidente - Axel Kicillof gobernador por el Frente de Todos","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos del Frente de Izquierda","No sabe"
"P48","Muy buena",0.175,0.066,0.009,0.044,0.038,0.061,0,0.002,0.038,0.047
"P48","Buena",0.383,0.337,0.042,0.063,0.031,0.101,0,0.003,0.109,0.125
"P48","Ni buena ni mala",0.257,0.31,0.058,0.143,0.064,0.134,0.035,0.029,0.24,0.218
"P48","Mala",0.085,0.174,0.081,0.127,0.127,0.137,0.176,0.073,0.403,0.178
"P48","Muy mala",0.095,0.107,0.801,0.591,0.728,0.548,0.769,0.877,0.21,0.388
"P48","No sabe",0.005,0.006,0.009,0.032,0.012,0.019,0.02,0.016,0,0.044
"P49","Muy buena",0.196,0.083,0.013,0.044,0,0.072,0.008,0.008,0.113,0.093
"P49","Buena",0.318,0.262,0.042,0.066,0.059,0.067,0,0.002,0.059,0.132
"P49","Ni buena ni mala",0.255,0.306,0.054,0.128,0.068,0.093,0.047,0.026,0.147,0.226
"P49","Mala",0.097,0.192,0.083,0.153,0.117,0.198,0.134,0.059,0.369,0.173
"P49","Muy mala",0.127,0.152,0.804,0.606,0.756,0.551,0.765,0.896,0.312,0.337
"P49","No sabe",0.007,0.005,0.004,0.003,0,0.019,0.046,0.009,0,0.039
"P50","Muy buena",0.668,0.73,0.059,0.113,0.068,0.192,0.034,0.011,0.133,0.242
"P50","Buena",0.126,0.072,0.025,0.068,0.012,0.05,0,0.007,0.057,0.112
"P50","Ni buena ni mala",0.089,0.055,0.021,0.082,0.079,0.038,0,0.044,0.081,0.128
"P50","Mala",0.02,0.021,0.067,0.062,0.033,0.067,0.091,0.037,0.37,0.1
"P50","Muy mala",0.097,0.122,0.826,0.675,0.808,0.62,0.842,0.895,0.256,0.328
"P50","No sabe",0,0,0.002,0,0,0.033,0.033,0.006,0.103,0.09
"P51","Muy buena",0.09,0.087,0.375,0.277,0.276,0.215,0.192,0.124,0.074,0.041
"P51","Buena",0.017,0.035,0.225,0.191,0.143,0.111,0.209,0.189,0,0.084
"P51","Ni buena ni mala",0.015,0.022,0.131,0.165,0.176,0.114,0.18,0.244,0.054,0.144
"P51","Mala",0.174,0.118,0.057,0.121,0.151,0.152,0.149,0.167,0.118,0.202
"P51","Muy mala",0.685,0.734,0.208,0.246,0.231,0.386,0.261,0.276,0.754,0.491
"P51","No sabe",0.019,0.004,0.004,0,0.023,0.022,0.009,0,0,0.038
"P52","Muy buena",0.02,0.021,0.159,0.368,0.135,0.1,0.073,0.053,0.009,0.022
"P52","Buena",0.02,0.038,0.351,0.244,0.321,0.232,0.418,0.113,0.04,0.131
"P52","Ni buena ni mala",0.116,0.093,0.272,0.14,0.241,0.268,0.223,0.206,0.082,0.248
"P52","Mala",0.229,0.195,0.083,0.077,0.116,0.191,0.207,0.177,0.239,0.196
"P52","Muy mala",0.595,0.647,0.13,0.171,0.182,0.184,0.073,0.439,0.63,0.364
"P52","No sabe",0.02,0.006,0.005,0,0.005,0.025,0.006,0.012,0,0.039
"P53","Muy buena",0.19,0.092,0.034,0.093,0.054,0.083,0.006,0.004,0.018,0.067
"P53","Buena",0.371,0.33,0.113,0.082,0.071,0.151,0.055,0.037,0.075,0.123
"P53","Ni buena ni mala",0.208,0.317,0.084,0.152,0.137,0.186,0.075,0.065,0.197,0.291
"P53","Mala",0.056,0.116,0.1,0.158,0.116,0.09,0.264,0.149,0.277,0.139
"P53","Muy mala",0.131,0.138,0.661,0.505,0.622,0.461,0.565,0.741,0.433,0.334
"P53","No sabe",0.044,0.007,0.008,0.01,0,0.029,0.035,0.004,0,0.046
"P54","Muy buena",0.067,0.046,0.604,0.207,0.263,0.156,0.483,0.217,0.036,0.044
"P54","Buena",0.025,0.049,0.179,0.272,0.291,0.189,0.218,0.245,0.112,0.158
"P54","Ni buena ni mala",0.059,0.052,0.048,0.21,0.125,0.147,0.068,0.192,0.008,0.168
"P54","Mala",0.162,0.086,0.022,0.09,0.124,0.164,0.058,0.109,0.093,0.18
"P54","Muy mala",0.661,0.758,0.143,0.199,0.197,0.316,0.173,0.235,0.751,0.398
"P54","No sabe",0.026,0.009,0.004,0.022,0,0.028,0,0.002,0,0.052
"P55","Muy buena",0.051,0.043,0.232,0.119,0.104,0.091,0.331,0.772,0.013,0.019
"P55","Buena",0.013,0.048,0.194,0.161,0.154,0.101,0.196,0.156,0.079,0.094
"P55","Ni buena ni mala",0.08,0.039,0.271,0.302,0.309,0.228,0.129,0.039,0,0.297
"P55","Mala",0.138,0.111,0.111,0.117,0.109,0.206,0.064,0.005,0.083,0.096
"P55","Muy mala",0.683,0.752,0.175,0.267,0.255,0.354,0.256,0.022,0.825,0.376
"P55","No sabe",0.035,0.007,0.017,0.034,0.069,0.02,0.024,0.006,0,0.118
"P56","Muy buena",0.029,0.029,0.243,0.215,0.474,0.121,0.136,0.143,0.009,0.028
"P56","Buena",0.013,0.049,0.337,0.286,0.357,0.227,0.247,0.149,0.079,0.141
"P56","Ni buena ni mala",0.048,0.041,0.207,0.165,0.099,0.188,0.264,0.219,0.022,0.207
"P56","Mala",0.2,0.136,0.08,0.099,0.018,0.178,0.057,0.178,0.117,0.172
"P56","Muy mala",0.689,0.74,0.128,0.235,0.047,0.264,0.277,0.3,0.773,0.382
"P56","No sabe",0.021,0.005,0.005,0,0.005,0.022,0.019,0.011,0,0.07
"P57","Muy buena",0.322,0.085,0.07,0.045,0.083,0.077,0.077,0.019,0,0.018
"P57","Buena",0.414,0.419,0.089,0.123,0.072,0.102,0.064,0.035,0.045,0.14
"P57","Ni buena ni mala",0.149,0.261,0.109,0.188,0.143,0.185,0.151,0.115,0.192,0.26
"P57","Mala",0.017,0.079,0.146,0.171,0.176,0.221,0.212,0.142,0.294,0.166
"P57","Muy mala",0.098,0.155,0.582,0.469,0.516,0.39,0.496,0.67,0.469,0.36
"P57","No sabe",0,0.001,0.004,0.004,0.01,0.025,0,0.019,0,0.056
"P58","Muy buena",0.059,0.017,0.069,0.113,0.033,0.356,0.096,0.061,0.009,0.08
"P58","Buena",0.128,0.115,0.171,0.23,0.23,0.235,0.254,0.102,0.094,0.119
"P58","Ni buena ni mala",0.43,0.354,0.366,0.327,0.421,0.154,0.237,0.26,0.404,0.356
"P58","Mala",0.152,0.261,0.167,0.14,0.08,0.119,0.166,0.139,0.113,0.103
"P58","Muy mala",0.126,0.224,0.203,0.169,0.19,0.093,0.16,0.326,0.35,0.224
"P58","No sabe",0.105,0.029,0.024,0.021,0.046,0.043,0.087,0.112,0.03,0.118
"P59","Siempre",0.336,0.284,0.323,0.292,0.314,0.332,0.276,0.29,0.285,0.215
"P59","Casi siempre",0.357,0.469,0.389,0.382,0.461,0.299,0.521,0.336,0.306,0.35
"P59","Casi nunca",0.227,0.176,0.205,0.231,0.097,0.288,0.139,0.277,0.272,0.279
"P59","Nunca, pero esta es una excepción",0.08,0.071,0.083,0.095,0.128,0.081,0.064,0.097,0.137,0.156
"P60","Si",0.558,0.637,0.604,0.596,0.518,0.436,0.477,0.586,0.607,0.464
"P60","No",0.442,0.363,0.396,0.404,0.482,0.564,0.523,0.414,0.393,0.536
