"var","categoria","Alberto Fernández presidente - Axel Kicillof gobernador por el Frente de Todos","Wado de Pedro presidente - Axel Kicillof gobernador por el Frente de Todos","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos del Frente de Izquierda","No sabe"
"P48","Muy buena",0.221,0.072,0.009,0.054,0.007,0.009,0.007,0.005,0.033,0.015
"P48","Buena",0.393,0.358,0.009,0.043,0.078,0.174,0,0.003,0.08,0.064
"P48","Ni buena ni mala",0.272,0.344,0.024,0.054,0.126,0.105,0.024,0.027,0.362,0.254
"P48","Mala",0.031,0.181,0.084,0.139,0.052,0.209,0.064,0.073,0.279,0.209
"P48","Muy mala",0.072,0.038,0.867,0.691,0.731,0.501,0.892,0.869,0.168,0.425
"P48","No sabe",0.011,0.007,0.007,0.019,0.006,0.002,0.013,0.023,0.078,0.033
"P49","Muy buena",0.319,0.071,0.009,0.04,0.022,0.027,0.006,0.012,0.101,0.008
"P49","Buena",0.347,0.289,0.006,0.044,0.05,0.154,0.007,0.003,0.094,0.073
"P49","Ni buena ni mala",0.21,0.343,0.04,0.064,0.063,0.096,0,0.023,0.257,0.25
"P49","Mala",0.039,0.207,0.071,0.153,0.153,0.138,0.067,0.066,0.385,0.228
"P49","Muy mala",0.085,0.083,0.871,0.693,0.712,0.583,0.889,0.884,0.163,0.397
"P49","No sabe",0,0.007,0.003,0.006,0,0.002,0.031,0.012,0,0.044
"P50","Muy buena",0.579,0.773,0.016,0.052,0.111,0.16,0.016,0.016,0.198,0.266
"P50","Buena",0.174,0.097,0.005,0.027,0.008,0.089,0,0.008,0.075,0.089
"P50","Ni buena ni mala",0.138,0.056,0.021,0.072,0.007,0.051,0,0.034,0.182,0.109
"P50","Mala",0.03,0.028,0.052,0.092,0.06,0.031,0.047,0.043,0.324,0.096
"P50","Muy mala",0.06,0.046,0.904,0.757,0.811,0.657,0.915,0.89,0.148,0.369
"P50","No sabe",0.019,0,0.002,0,0.003,0.012,0.022,0.009,0.073,0.071
"P51","Muy buena",0.093,0.081,0.417,0.313,0.393,0.173,0.21,0.105,0.065,0.049
"P51","Buena",0.034,0.009,0.245,0.236,0.151,0.185,0.19,0.165,0.039,0.079
"P51","Ni buena ni mala",0.043,0.016,0.127,0.16,0.214,0.173,0.145,0.237,0.055,0.121
"P51","Mala",0.225,0.108,0.032,0.158,0.092,0.127,0.146,0.171,0.126,0.231
"P51","Muy mala",0.586,0.779,0.176,0.124,0.15,0.342,0.303,0.318,0.715,0.478
"P51","No sabe",0.019,0.007,0.003,0.009,0,0,0.006,0.004,0,0.042
"P52","Muy buena",0.027,0.007,0.178,0.47,0.112,0.093,0.082,0.054,0,0.022
"P52","Buena",0.029,0.024,0.385,0.338,0.202,0.197,0.379,0.126,0.012,0.116
"P52","Ni buena ni mala",0.126,0.07,0.296,0.14,0.309,0.216,0.248,0.216,0.023,0.273
"P52","Mala",0.277,0.198,0.07,0.022,0.118,0.168,0.091,0.181,0.31,0.185
"P52","Muy mala",0.519,0.694,0.068,0.027,0.253,0.326,0.196,0.408,0.655,0.357
"P52","No sabe",0.022,0.007,0.003,0.003,0.006,0,0.004,0.015,0,0.047
"P53","Muy buena",0.185,0.097,0.04,0.089,0.07,0.042,0.03,0.011,0.006,0.099
"P53","Buena",0.337,0.341,0.084,0.112,0.044,0.147,0.054,0.051,0.075,0.167
"P53","Ni buena ni mala",0.243,0.315,0.076,0.103,0.132,0.211,0.095,0.078,0.176,0.234
"P53","Mala",0.057,0.127,0.089,0.149,0.196,0.127,0.107,0.132,0.287,0.129
"P53","Muy mala",0.127,0.107,0.705,0.546,0.558,0.469,0.69,0.717,0.456,0.319
"P53","No sabe",0.051,0.013,0.006,0.001,0,0.004,0.024,0.011,0,0.052
"P54","Muy buena",0.043,0.018,0.69,0.246,0.265,0.105,0.404,0.22,0.012,0.041
"P54","Buena",0.088,0.038,0.172,0.282,0.27,0.292,0.22,0.246,0.046,0.119
"P54","Ni buena ni mala",0.112,0.05,0.027,0.237,0.152,0.12,0.111,0.184,0.044,0.153
"P54","Mala",0.18,0.099,0.008,0.088,0.12,0.139,0.082,0.105,0.153,0.164
"P54","Muy mala",0.544,0.782,0.101,0.129,0.193,0.344,0.183,0.239,0.745,0.461
"P54","No sabe",0.033,0.013,0.002,0.018,0,0,0,0.006,0,0.062
"P55","Muy buena",0.031,0.009,0.253,0.094,0.148,0.067,0.253,0.715,0,0.049
"P55","Buena",0.055,0.014,0.231,0.132,0.095,0.157,0.258,0.166,0,0.051
"P55","Ni buena ni mala",0.148,0.038,0.279,0.393,0.256,0.212,0.137,0.065,0.004,0.243
"P55","Mala",0.13,0.096,0.107,0.163,0.124,0.176,0.063,0.024,0.114,0.13
"P55","Muy mala",0.553,0.836,0.107,0.184,0.36,0.388,0.284,0.02,0.87,0.427
"P55","No sabe",0.083,0.007,0.023,0.034,0.017,0,0.005,0.01,0.012,0.1
"P56","Muy buena",0.02,0.01,0.278,0.264,0.419,0.168,0.086,0.146,0,0.031
"P56","Buena",0.081,0.015,0.39,0.346,0.314,0.19,0.204,0.153,0,0.105
"P56","Ni buena ni mala",0.091,0.017,0.219,0.183,0.06,0.153,0.159,0.245,0.007,0.193
"P56","Mala",0.175,0.124,0.058,0.114,0.062,0.15,0.138,0.185,0.192,0.215
"P56","Muy mala",0.59,0.827,0.053,0.088,0.145,0.339,0.411,0.257,0.788,0.403
"P56","No sabe",0.043,0.007,0.002,0.005,0,0,0.002,0.014,0.013,0.053
"P57","Muy buena",0.219,0.141,0.069,0.036,0.105,0.058,0.033,0.023,0.022,0.059
"P57","Buena",0.332,0.436,0.072,0.109,0.108,0.138,0.076,0.043,0.104,0.135
"P57","Ni buena ni mala",0.264,0.234,0.109,0.2,0.041,0.138,0.084,0.125,0.169,0.223
"P57","Mala",0.061,0.065,0.152,0.168,0.144,0.201,0.175,0.149,0.258,0.158
"P57","Muy mala",0.122,0.122,0.592,0.479,0.589,0.465,0.632,0.639,0.447,0.381
"P57","No sabe",0.002,0.002,0.006,0.008,0.013,0,0,0.021,0,0.044
"P58","Muy buena",0.061,0.032,0.05,0.126,0.022,0.334,0.036,0.086,0.007,0.081
"P58","Buena",0.144,0.119,0.158,0.26,0.241,0.231,0.157,0.108,0.134,0.173
"P58","Ni buena ni mala",0.412,0.366,0.386,0.366,0.407,0.136,0.252,0.25,0.298,0.362
"P58","Mala",0.121,0.236,0.161,0.115,0.099,0.166,0.28,0.143,0.229,0.105
"P58","Muy mala",0.118,0.21,0.22,0.104,0.22,0.123,0.2,0.321,0.292,0.18
"P58","No sabe",0.144,0.037,0.025,0.029,0.011,0.01,0.075,0.092,0.04,0.099
"P59","Siempre",0.328,0.303,0.328,0.331,0.232,0.345,0.214,0.27,0.232,0.235
"P59","Casi siempre",0.319,0.441,0.378,0.415,0.546,0.346,0.403,0.347,0.399,0.371
"P59","Casi nunca",0.254,0.181,0.217,0.186,0.105,0.25,0.287,0.261,0.235,0.269
"P59","Nunca, pero esta es una excepción",0.099,0.075,0.077,0.068,0.117,0.059,0.096,0.122,0.134,0.125
"P60","Si",0.609,0.621,0.59,0.557,0.523,0.64,0.416,0.578,0.586,0.441
"P60","No",0.391,0.379,0.41,0.443,0.477,0.36,0.584,0.422,0.414,0.559
