"var","categoria","Wado de Pedro presidente – Axel Kicillof gobernador por el Frente de Todos","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos del Frente de Izquierda","No sabe"
"P29","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.027,0.014,0.684,0.014,0.051
"P29","A los candidatos del Frente de Izquierda",0.06,0.004,0.009,0.656,0.017
"P29","No sabe",0.104,0.018,0.06,0.057,0.37
"P30","Daniel Scioli presidente – Axel Kicillof gobernador por el Frente de Todos",0.622,0.229,0.039,0.084,0.218
"P30","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.259,0.446,0.051,0.059,0.173
"P30","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.011,0.142,0.862,0.04,0.045
"P30","A los candidatos del Frente de Izquierda",0.044,0.008,0.013,0.67,0.015
"P30","No sabe",0.064,0.175,0.035,0.147,0.549
"P31","Daniel Scioli presidente – Axel Kicillof gobernador por el Frente de Todos",0.636,0.33,0.051,0.144,0.189
"P31","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.262,0.569,0.046,0.031,0.109
"P31","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.006,0.041,0.867,0.042,0.045
"P31","A los candidatos del Frente de Izquierda",0.046,0.005,0.006,0.715,0.017
"P31","No sabe",0.05,0.055,0.03,0.068,0.64
"P32","Alberto Fernández presidente – Axel Kicillof gobernador por el Frente de Todos",0.571,0.242,0.026,0.067,0.182
"P32","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.225,0.461,0.046,0.114,0.199
"P32","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.008,0.142,0.899,0.034,0.017
"P32","A los candidatos del Frente de Izquierda",0.07,0.003,0.007,0.722,0.029
"P32","No sabe",0.126,0.152,0.022,0.063,0.573
"P33","Alberto Fernández presidente – Axel Kicillof gobernador por el Frente de Todos",0.568,0.332,0.039,0.128,0.152
"P33","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.245,0.574,0.035,0.027,0.116
"P33","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.006,0.049,0.898,0.008,0.015
"P33","A los candidatos del Frente de Izquierda",0.064,0.001,0.002,0.803,0.024
"P33","No sabe",0.117,0.044,0.026,0.034,0.693
"P34","Sergio Massa presidente – Axel Kicillof gobernador por el Frente de Todos",0.597,0.268,0.046,0.125,0.245
"P34","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.255,0.471,0.035,0.063,0.143
