"var","categoria","Muy positiva","Positiva","Neutral","Algo negativa","Negativa","No sabe"
"PRESIDENTE","Los candidatos a presidente de la Izquierda",0.052,0.023,0.012,0,0.006,0
"PRESIDENTE","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.045,0.024,0.02,0,0,0
"PRESIDENTE","En blanco",0.024,0.004,0.013,0,0,0.024
"PRESIDENTE","No sabe",0.011,0.016,0.073,0.089,0.071,0.195
"GOBERNADOR","Axel Kicillof a gobernador por Unión por la Patria.",0.656,0.554,0.209,0.293,0.15,0.352
"GOBERNADOR","Néstor Grindetti a gobernador por Juntos por el Cambio",0.08,0.203,0.299,0.113,0.552,0.295
"GOBERNADOR","Carolina Piparo a gobernadora por la Libertad Avanza",0.173,0.181,0.337,0.512,0.165,0.134
"GOBERNADOR","El candidato a gobernador de la Izquierda",0.041,0.022,0.022,0,0.062,0
"GOBERNADOR","En blanco",0.036,0.025,0.017,0,0,0.024
"GOBERNADOR","No sabe",0.014,0.015,0.116,0.082,0.071,0.195
"INTENDENTE","Gustavo Menéndez a intendente por Unión por la Patria.",0.521,0.425,0.169,0.308,0.167,0.164
"INTENDENTE","Zencich a intendente por Juntos por el Cambio",0.105,0.213,0.233,0.076,0.479,0.28
"INTENDENTE","Eduardo Varela a intendente por la Libertad Avanza",0.136,0.18,0.361,0.498,0.181,0.14
"INTENDENTE","Raul Othacehé a intendente por el frente vecinal crecer",0.036,0.026,0.081,0.014,0.091,0.016
"INTENDENTE","El candidato a intendente de la Izquierda",0.119,0.045,0.044,0,0.011,0.181
"INTENDENTE","En blanco",0.066,0.027,0.032,0.008,0,0.024
"INTENDENTE","No sabe",0.017,0.084,0.08,0.096,0.071,0.195
"CORTA_PRESIDENTE","Si",0.111,0.116,0.093,0.021,0.196,0.005
"CORTA_PRESIDENTE","No",0.889,0.884,0.907,0.979,0.804,0.995
"CORTA_GOBERNADOR","Si",0.163,0.06,0.188,0.014,0.242,0.011
"CORTA_GOBERNADOR","No",0.837,0.94,0.812,0.986,0.758,0.989
"CORTA_INTENDENTE","Si",0.257,0.158,0.237,0.058,0.257,0.209
"CORTA_INTENDENTE","No",0.743,0.842,0.763,0.942,0.743,0.791
"P13_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria.",0.582,0.55,0.245,0.293,0.237,0.485
"P13_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio",0.114,0.195,0.239,0.201,0.378,0.305
"P13_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.153,0.194,0.453,0.498,0.238,0.182
"P13_imputada","Raul Othacehé a intendente por el frente vecinal crecer",0.013,0.016,0.008,0.008,0.018,0
"P13_imputada","Los candidatos a presidente, gobernador e intendente de la Izquierda",0.049,0.019,0.024,0,0.006,0.004
"P13_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.039,0.02,0.018,0,0.123,0
"P13_imputada","En blanco",0.05,0.006,0.013,0,0,0.024
