"var","categoria","El tránsito","El arreglo de las calles","Los parques y espacios públicos","El sistema de salud","La limpieza de las calles","El deporte y la cultura","La obra pública","La luminaria","No sabe"
"P45","No sabe",0.027,0.028,0.007,0.034,0.081,0.077,0.067,0.01,0.015
"P46","Que continúe el intendente Julio Zamora",0.289,0.116,0.051,0.227,0.144,0.045,0.275,0.065,0.032
"P46","Que continúe Julio Zamora pero con mejoras",0.231,0.341,0.273,0.283,0.246,0.194,0.103,0.194,0.109
"P46","Que cambie Julio Zamora pero que se mantengan los avances",0.15,0.139,0.37,0.105,0.292,0.26,0.238,0.071,0.096
"P46","Que cambie el intendente Julio Zamora",0.33,0.404,0.306,0.385,0.318,0.501,0.384,0.67,0.763
"P47","Es kirchnerista",0.43,0.023,0.055,0.132,0.071,0.082,0.26,0.138,0.125
"P47","Forma parte del Frente de Todos",0.22,0.679,0.203,0.306,0.292,0.318,0.462,0.382,0.146
"P47","Es un hombre de Massa",0.115,0.03,0.432,0.018,0.089,0.186,0.151,0.074,0.194
"P47","Es un peronista independiente de centro",0.136,0.048,0.157,0.363,0.155,0.216,0.079,0.059,0.079
"P47","Es un oportunista y está donde le conviene",0.04,0.112,0.023,0.181,0.334,0.113,0.011,0.314,0.336
"P47","No sabe",0.059,0.108,0.13,0,0.059,0.085,0.037,0.033,0.12
"P49","El tránsito",0.326,0.238,0.182,0.099,0.125,0.185,0.047,0.191,0.243
"P49","El arreglo de las calles",0.07,0.288,0.09,0.124,0.126,0.028,0.035,0.042,0.115
"P49","Los parques y espacios públicos",0.157,0.11,0.297,0.405,0.156,0.104,0.134,0.172,0.064
"P49","El sistema de salud",0.089,0.062,0.086,0.191,0.088,0.143,0,0.108,0.079
"P49","La limpieza de las calles",0.166,0.16,0.144,0.135,0.345,0.197,0.242,0.147,0.139
"P49","El deporte y la cultura",0.024,0.038,0.056,0,0.02,0.189,0,0.008,0.033
"P49","La obra pública",0.036,0,0.004,0,0.02,0.015,0.334,0.092,0.025
"P49","La luminaria",0.009,0,0.012,0,0.05,0.042,0.02,0.078,0
"P49","No sabe",0.123,0.104,0.129,0.046,0.07,0.097,0.188,0.162,0.302
"P50","Agua corriente y cloacas",0.455,0.335,0.291,0.423,0.301,0.424,0.322,0.317,0.562
"P50","Energía eléctrica",0.138,0.203,0.223,0.11,0.108,0.098,0.035,0.27,0.099
"P50","Red de gas natural",0.08,0.098,0.119,0.044,0.193,0.104,0.325,0.097,0.041
"P50","Recolección de residuos",0.111,0.134,0.16,0.236,0.221,0.125,0.139,0.142,0.083
"P50","Ninguno",0.216,0.23,0.207,0.187,0.177,0.249,0.179,0.174,0.215
"P51","Los robos",0.398,0.271,0.303,0.332,0.201,0.287,0.093,0.281,0.373
"P51","El narcotráfico",0.26,0.308,0.279,0.186,0.253,0.327,0.095,0.384,0.293
"P51","La ausencia de patrulleros y personal policial",0.113,0.101,0.088,0.191,0.169,0.124,0.3,0.163,0.113
"P51","Otro",0.067,0.193,0.224,0.232,0.244,0.198,0.171,0.166,0.107
"P51","Ninguno",0.162,0.127,0.106,0.059,0.133,0.064,0.341,0.006,0.114
"P52","Muy buena",0.164,0.069,0.059,0.027,0.159,0.046,0.042,0.093,0.046
"P52","Buena",0.133,0.278,0.18,0.151,0.123,0.108,0.126,0.211,0.074
"P52","Ni buena ni mala",0.136,0.258,0.184,0.243,0.076,0.123,0.296,0.062,0.041
"P52","Mala",0.115,0.062,0.091,0.161,0.209,0.111,0.205,0.072,0.062
"P52","Muy mala",0.438,0.333,0.44,0.418,0.433,0.571,0.331,0.562,0.775
"P52","No sabe",0.014,0,0.046,0,0,0.041,0,0,0.002
"P53","Muy buena",0.377,0.09,0.109,0.155,0.131,0.121,0.128,0.105,0.186
"P53","Buena",0.178,0.243,0.094,0.157,0.136,0.125,0.161,0.358,0.214
"P53","Ni buena ni mala",0.075,0.209,0.18,0.078,0.111,0.061,0.322,0.091,0.151
"P53","Mala",0.101,0.183,0.184,0.337,0.059,0.219,0.211,0.109,0.107
"P53","Muy mala",0.269,0.275,0.362,0.273,0.548,0.441,0.178,0.337,0.339
"P53","No sabe",0,0,0.071,0,0.015,0.033,0,0,0.003
"P54","Muy buena",0.323,0.303,0.36,0.265,0.289,0.283,0.135,0.241,0.145
"P54","Buena",0.05,0.122,0.036,0.094,0.088,0.104,0.291,0.094,0.031
"P54","Ni buena ni mala",0.081,0.093,0.101,0.051,0.057,0.006,0.056,0.006,0.034
"P54","Mala",0.078,0.006,0.111,0.14,0.045,0.092,0,0.027,0.021
"P54","Muy mala",0.466,0.455,0.392,0.45,0.48,0.515,0.518,0.632,0.769
"P54","No sabe",0.002,0.021,0,0,0.041,0,0,0,0
"P55","Muy buena",0.188,0.058,0.089,0.096,0.087,0.082,0.124,0.102,0.072
"P55","Buena",0.194,0.152,0.216,0.045,0.084,0.225,0.548,0.255,0.182
"P55","Ni buena ni mala",0.126,0.185,0.214,0.216,0.21,0.245,0.161,0.22,0.24
"P55","Mala",0.181,0.171,0.149,0.117,0.141,0.153,0.111,0.166,0.144
"P55","Muy mala",0.311,0.434,0.332,0.526,0.465,0.295,0.056,0.251,0.342
"P55","No sabe",0,0,0,0,0.013,0,0,0.006,0.02
"P56","Muy buena",0.185,0.079,0.146,0.034,0.108,0.156,0.067,0.142,0.038
"P56","Buena",0.131,0.106,0.136,0.133,0.165,0.101,0.15,0.058,0.082
"P56","Ni buena ni mala",0.149,0.302,0.156,0.085,0.173,0.11,0.12,0.106,0.089
"P56","Mala",0.103,0.027,0.119,0.173,0.106,0.097,0.201,0.136,0.082
"P56","Muy mala",0.42,0.486,0.443,0.565,0.445,0.518,0.462,0.558,0.709
"P56","No sabe",0.012,0,0,0.01,0.003,0.018,0,0,0
"P57","Muy buena",0.253,0.157,0.198,0.112,0.277,0.208,0.103,0.163,0.086
"P57","Buena",0.073,0.14,0.178,0.303,0.109,0.085,0.17,0.123,0.049
"P57","Ni buena ni mala",0.141,0.215,0.123,0.043,0.071,0.154,0.347,0.122,0.119
"P57","Mala",0.083,0.05,0.053,0.045,0.126,0.314,0.231,0.173,0.101
"P57","Muy mala",0.425,0.334,0.378,0.477,0.414,0.21,0.149,0.36,0.543
"P57","No sabe",0.025,0.104,0.07,0.02,0.003,0.029,0,0.059,0.102
"P58","Muy buena",0.366,0.157,0.139,0.237,0.23,0.16,0.155,0.341,0.282
"P58","Buena",0.151,0.135,0.122,0.114,0.227,0.131,0.321,0.153,0.282
"P58","Ni buena ni mala",0.07,0.194,0.151,0.053,0.024,0.241,0.203,0.043,0.139
"P58","Mala",0.136,0.171,0.069,0.007,0.062,0.162,0.131,0.08,0.035
"P58","Muy mala",0.269,0.297,0.505,0.589,0.457,0.295,0.19,0.383,0.262
"P58","No sabe",0.008,0.046,0.014,0,0,0.011,0,0,0
"P59","Muy buena",0.322,0.151,0.202,0.105,0.206,0.137,0.147,0.197,0.277
"P59","Buena",0.103,0.166,0.087,0.189,0.119,0.101,0.026,0.12,0.178
"P59","Ni buena ni mala",0.133,0.163,0.288,0.146,0.066,0.296,0.203,0.197,0.2
"P59","Mala",0.139,0.23,0.063,0.19,0.148,0.126,0.12,0.11,0.099
"P59","Muy mala",0.298,0.231,0.348,0.315,0.451,0.324,0.363,0.376,0.197
"P59","No sabe",0.005,0.059,0.012,0.055,0.01,0.016,0.141,0,0.049
"P60","Muy buena",0.31,0.293,0.315,0.181,0.442,0.243,0.167,0.268,0.116
"P60","Buena",0.093,0.071,0.095,0.19,0.082,0.114,0.16,0.06,0.072
"P60","Ni buena ni mala",0.068,0.081,0.076,0.151,0.089,0.152,0.104,0.06,0.025
"P60","Mala",0.086,0.046,0.101,0.135,0.048,0.065,0.164,0.061,0.045
"P60","Muy mala",0.438,0.448,0.401,0.343,0.339,0.426,0.405,0.551,0.721
"P60","No sabe",0.005,0.061,0.012,0,0,0,0,0,0.021
"P61","Muy buena",0.218,0.12,0.007,0.122,0.129,0.066,0,0.068,0.104
"P61","Buena",0.22,0.08,0.063,0.312,0.092,0.143,0.066,0.268,0.145
"P61","Ni buena ni mala",0.219,0.339,0.409,0.171,0.255,0.375,0.258,0.107,0.269
"P61","Mala",0.096,0.167,0.06,0.145,0.114,0.119,0.327,0.098,0.044
"P61","Muy mala",0.17,0.254,0.349,0.14,0.332,0.152,0.321,0.259,0.288
"P61","No sabe",0.077,0.04,0.112,0.11,0.078,0.145,0.028,0.2,0.15
"P62","Muy buena",0.172,0.08,0.024,0,0.034,0.143,0.138,0.109,0.076
"P62","Buena",0.269,0.095,0.126,0.322,0.282,0.171,0.356,0.256,0.22
"P62","Ni buena ni mala",0.173,0.383,0.358,0.167,0.159,0.266,0.06,0.264,0.387
"P62","Mala",0.163,0.193,0.104,0.235,0.179,0.161,0.251,0.082,0.076
"P62","Muy mala",0.189,0.209,0.315,0.276,0.296,0.192,0.166,0.25,0.171
"P62","No sabe",0.034,0.04,0.073,0,0.05,0.067,0.029,0.039,0.07
