"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P48","No sabe",0.084,0.108,0.277,0.185,0.241,0.246,0.404,0.141
"P49","El tránsito",0.169,0.155,0.239,0.311,0.223,0.308,0.082,0.399
"P49","El arreglo de las calles",0.12,0.058,0.114,0.09,0.119,0.022,0.146,0.035
"P49","Los parques y espacios públicos",0.197,0.181,0.188,0.097,0.106,0,0.119,0.073
"P49","El sistema de salud",0.078,0.1,0.074,0.088,0.104,0.202,0.092,0.187
"P49","La limpieza de las calles",0.194,0.16,0.144,0.202,0.214,0.374,0.244,0.111
"P49","El deporte y la cultura",0.031,0.044,0.023,0.1,0.069,0,0.04,0.007
"P49","La obra pública",0.021,0.058,0.047,0.021,0.035,0,0.095,0
"P49","La luminaria",0.019,0.079,0.004,0.014,0.007,0,0,0.04
"P49","No sabe",0.171,0.165,0.167,0.077,0.123,0.094,0.182,0.148
"P50","Agua corriente y cloacas",0.351,0.443,0.493,0.458,0.396,0.372,0.14,0.354
"P50","Energía eléctrica",0.163,0.08,0.198,0.058,0.102,0.124,0.168,0.158
"P50","Red de gas natural",0.106,0.068,0.038,0.1,0.181,0.079,0.257,0.071
"P50","Recolección de residuos",0.135,0.201,0.117,0.111,0.176,0.084,0.056,0.011
"P50","Ninguno",0.245,0.208,0.154,0.273,0.145,0.341,0.379,0.406
"P51","Los robos",0.376,0.186,0.344,0.324,0.295,0.312,0.024,0.372
"P51","El narcotráfico",0.245,0.183,0.295,0.388,0.294,0.09,0.484,0.226
"P51","La ausencia de patrulleros y personal policial",0.105,0.293,0.122,0.106,0.111,0.152,0.091,0.092
"P51","Otro",0.142,0.195,0.151,0.102,0.178,0.095,0.093,0.126
"P51","Ninguno",0.132,0.143,0.088,0.08,0.122,0.351,0.308,0.184
"P52","Muy buena",0.223,0.102,0.061,0.008,0.044,0.052,0,0.108
"P52","Buena",0.242,0.335,0.07,0.03,0.067,0.119,0,0.243
"P52","Ni buena ni mala",0.294,0.125,0.054,0.112,0.053,0.055,0.196,0.16
"P52","Mala",0.128,0.252,0.083,0.074,0.051,0.075,0.318,0.17
"P52","Muy mala",0.085,0.157,0.732,0.759,0.785,0.699,0.486,0.303
"P52","No sabe",0.028,0.029,0,0.017,0,0,0,0.016
"P53","Muy buena",0.148,0.046,0.402,0.12,0.141,0,0.077,0.207
"P53","Buena",0.105,0.103,0.273,0.293,0.194,0.085,0.052,0.031
"P53","Ni buena ni mala",0.052,0.075,0.139,0.228,0.143,0.052,0.093,0.204
"P53","Mala",0.159,0.233,0.042,0.11,0.223,0.035,0.135,0.122
"P53","Muy mala",0.516,0.543,0.137,0.243,0.277,0.828,0.643,0.436
"P53","No sabe",0.02,0,0.007,0.006,0.022,0,0,0
"P54","Muy buena",0.719,0.489,0.033,0.013,0.083,0.21,0.367,0.248
"P54","Buena",0.094,0.239,0.041,0.046,0.023,0,0.052,0.133
"P54","Ni buena ni mala",0.048,0.101,0.033,0.109,0.031,0.092,0.146,0.125
"P54","Mala",0.025,0.003,0.093,0.114,0.054,0,0,0.081
"P54","Muy mala",0.114,0.153,0.796,0.718,0.809,0.397,0.435,0.413
"P54","No sabe",0,0.015,0.004,0,0,0.301,0,0
"P55","Muy buena",0.201,0.065,0.058,0.2,0.075,0,0,0.102
"P55","Buena",0.073,0.154,0.279,0.413,0.152,0,0.088,0.078
"P55","Ni buena ni mala",0.089,0.146,0.301,0.144,0.197,0,0.303,0.297
"P55","Mala",0.215,0.181,0.14,0.069,0.152,0.273,0.146,0.101
"P55","Muy mala",0.421,0.44,0.221,0.174,0.424,0.727,0.463,0.354
"P55","No sabe",0.001,0.014,0.001,0,0,0,0,0.068
"P56","Muy buena",0.359,0.128,0.002,0.03,0.053,0,0,0.102
"P56","Buena",0.319,0.077,0.07,0.062,0.029,0.056,0,0.032
"P56","Ni buena ni mala",0.165,0.371,0.054,0.159,0.088,0.201,0.162,0.272
"P56","Mala",0.041,0.13,0.143,0.189,0.049,0.073,0.463,0.042
"P56","Muy mala",0.116,0.294,0.715,0.555,0.775,0.67,0.375,0.552
"P56","No sabe",0,0,0.016,0.005,0.006,0,0,0
"P57","Muy buena",0.503,0.357,0.005,0.008,0.046,0.292,0.244,0.264
"P57","Buena",0.257,0.168,0.046,0.065,0.013,0.047,0.31,0.033
"P57","Ni buena ni mala",0.106,0.189,0.102,0.28,0.126,0,0,0.188
"P57","Mala",0.038,0.017,0.15,0.27,0.148,0.057,0.063,0.122
"P57","Muy mala",0.048,0.2,0.639,0.325,0.645,0.573,0.312,0.291
"P57","No sabe",0.048,0.069,0.058,0.052,0.022,0.031,0.071,0.102
"P58","Muy buena",0.104,0.117,0.553,0.201,0.207,0.047,0.1,0.122
"P58","Buena",0.064,0.036,0.227,0.368,0.274,0,0.071,0.102
"P58","Ni buena ni mala",0.078,0.094,0.06,0.298,0.17,0,0.071,0.102
"P58","Mala",0.097,0.123,0.055,0.059,0.146,0.056,0.133,0.161
"P58","Muy mala",0.651,0.63,0.088,0.074,0.203,0.897,0.574,0.47
"P58","No sabe",0.006,0,0.017,0,0,0,0.051,0.043
"P59","Muy buena",0.074,0.126,0.163,0.091,0.628,0.047,0.1,0.182
"P59","Buena",0.073,0.057,0.159,0.198,0.182,0.073,0,0.025
"P59","Ni buena ni mala",0.062,0.06,0.324,0.24,0.143,0.073,0.089,0.24
"P59","Mala",0.106,0.156,0.215,0.228,0.03,0,0.24,0.037
"P59","Muy mala",0.672,0.601,0.067,0.237,0.017,0.807,0.571,0.426
"P59","No sabe",0.013,0,0.072,0.006,0,0,0,0.09
"P60","Muy buena",0.585,0.575,0.018,0.04,0.153,0.251,0.221,0.425
"P60","Buena",0.194,0.17,0.046,0.053,0.031,0.048,0.239,0.033
"P60","Ni buena ni mala",0.05,0.006,0.123,0.123,0.054,0.056,0.149,0.102
"P60","Mala",0.01,0.087,0.072,0.185,0.073,0,0.051,0.134
"P60","Muy mala",0.151,0.148,0.722,0.599,0.689,0.645,0.34,0.238
"P60","No sabe",0.01,0.014,0.019,0,0,0,0,0.068
"P61","Muy buena",0.124,0.072,0.224,0.032,0.066,0,0.218,0.112
"P61","Buena",0.032,0.084,0.316,0.165,0.173,0.047,0.04,0.062
"P61","Ni buena ni mala",0.204,0.26,0.288,0.373,0.254,0.228,0.168,0.368
"P61","Mala",0.184,0.097,0.006,0.111,0.129,0.072,0.023,0.169
"P61","Muy mala",0.307,0.353,0.117,0.149,0.306,0.621,0.375,0.131
"P61","No sabe",0.149,0.134,0.049,0.17,0.072,0.032,0.176,0.158
"P62","Muy buena",0.086,0.004,0.147,0.23,0.058,0,0.128,0.037
"P62","Buena",0.021,0.131,0.393,0.396,0.25,0.048,0.04,0.119
"P62","Ni buena ni mala",0.175,0.161,0.321,0.286,0.336,0.185,0.31,0.156
"P62","Mala",0.274,0.234,0.056,0.048,0.131,0.185,0.057,0.176
"P62","Muy mala",0.365,0.44,0.078,0.031,0.167,0.55,0.465,0.286
"P62","No sabe",0.079,0.03,0.005,0.009,0.058,0.032,0,0.226
