"var","categoria","Es kirchnerista","Forma parte del Frente de Todos","Es un hombre de Massa","Es un peronista independiente de centro","Es un oportunista y está donde le conviene","No sabe"
"P58","Buena",0.189,0.164,0.123,0.138,0.271,0.222
"P58","Ni buena ni mala",0.06,0.115,0.214,0.134,0.049,0.202
"P58","Mala",0.051,0.143,0.076,0.167,0.076,0.021
"P58","Muy mala",0.257,0.364,0.401,0.284,0.373,0.288
"P58","No sabe",0.007,0.018,0,0,0.006,0.014
"P59","Muy buena",0.326,0.137,0.295,0.259,0.276,0.098
"P59","Buena",0.117,0.145,0.091,0.122,0.118,0.171
"P59","Ni buena ni mala",0.181,0.156,0.167,0.2,0.154,0.284
"P59","Mala",0.127,0.141,0.104,0.148,0.144,0.132
"P59","Muy mala",0.216,0.398,0.313,0.258,0.27,0.285
"P59","No sabe",0.033,0.023,0.03,0.013,0.038,0.03
"P60","Muy buena",0.359,0.271,0.273,0.244,0.202,0.177
"P60","Buena",0.062,0.108,0.09,0.044,0.106,0.171
"P60","Ni buena ni mala",0.029,0.06,0.102,0.141,0.046,0.172
"P60","Mala",0.042,0.094,0.088,0.143,0.01,0.053
"P60","Muy mala",0.501,0.45,0.43,0.428,0.615,0.427
"P60","No sabe",0.007,0.017,0.017,0,0.021,0
"P61","Muy buena",0.252,0.095,0.091,0.077,0.124,0.056
"P61","Buena",0.239,0.15,0.092,0.174,0.159,0.106
"P61","Ni buena ni mala",0.179,0.252,0.4,0.228,0.245,0.433
"P61","Mala",0.039,0.179,0.084,0.137,0.078,0.005
"P61","Muy mala",0.211,0.243,0.188,0.309,0.277,0.187
"P61","No sabe",0.08,0.081,0.145,0.075,0.117,0.213
"P62","Muy buena",0.198,0.086,0.102,0.043,0.067,0.088
"P62","Buena",0.323,0.165,0.136,0.277,0.259,0.221
"P62","Ni buena ni mala",0.147,0.297,0.37,0.19,0.228,0.391
"P62","Mala",0.101,0.187,0.114,0.245,0.138,0.021
"P62","Muy mala",0.214,0.241,0.199,0.214,0.246,0.119
"P62","No sabe",0.017,0.024,0.079,0.031,0.062,0.16
