"var","categoria","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio","A los candidatos a gobernador y a intendente de la Libertad Avanza","A los candidatos a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P49","La limpieza de las calles",0.179,0.156,0.148,0.162,0.228,0.352,0.076,0.283
"P49","El deporte y la cultura",0.023,0.049,0.037,0.063,0.073,0,0,0
"P49","La obra pública",0.025,0.038,0.052,0.04,0.034,0,0,0
"P49","La luminaria",0.035,0.039,0.011,0.006,0.008,0,0,0.012
"P49","No sabe",0.115,0.13,0.213,0.11,0.133,0.137,0.379,0.255
"P50","Agua corriente y cloacas",0.383,0.43,0.528,0.417,0.38,0.226,0.63,0.157
"P50","Energía eléctrica",0.145,0.096,0.17,0.168,0.113,0.247,0,0.131
"P50","Red de gas natural",0.113,0.072,0.083,0.057,0.173,0.098,0,0.055
"P50","Recolección de residuos",0.151,0.172,0.107,0.118,0.162,0,0.142,0.012
"P50","Ninguno",0.208,0.23,0.112,0.24,0.172,0.429,0.228,0.645
"P51","Los robos",0.373,0.304,0.296,0.341,0.299,0.364,0.367,0.012
"P51","El narcotráfico",0.232,0.236,0.273,0.371,0.323,0.035,0.078,0.37
"P51","La ausencia de patrulleros y personal policial",0.126,0.226,0.086,0.091,0.125,0.176,0.068,0.261
"P51","Otro",0.144,0.079,0.194,0.158,0.141,0.127,0.331,0.187
"P51","Ninguno",0.125,0.155,0.151,0.039,0.112,0.298,0.156,0.17
"P52","Muy buena",0.239,0.134,0.045,0.052,0.005,0.016,0,0
"P52","Buena",0.25,0.174,0.031,0.146,0.065,0.202,0.155,0.158
"P52","Ni buena ni mala",0.249,0.126,0.086,0.087,0.054,0.154,0.214,0.113
"P52","Mala",0.148,0.126,0.078,0.112,0.041,0.063,0.371,0.219
"P52","Muy mala",0.111,0.415,0.739,0.581,0.835,0.565,0.26,0.498
"P52","No sabe",0.003,0.025,0.021,0.022,0,0,0,0.012
"P53","Muy buena",0.162,0.181,0.417,0.17,0.138,0,0,0.196
"P53","Buena",0.072,0.17,0.303,0.228,0.239,0.098,0,0.021
"P53","Ni buena ni mala",0.074,0.095,0.128,0.203,0.137,0,0.049,0.238
"P53","Mala",0.145,0.161,0.055,0.147,0.162,0.331,0.303,0.069
"P53","Muy mala",0.547,0.384,0.087,0.228,0.3,0.571,0.648,0.476
"P53","No sabe",0,0.009,0.01,0.024,0.024,0,0,0
"P54","Muy buena",0.701,0.263,0.089,0.147,0.03,0.046,0.336,0.098
"P54","Buena",0.048,0.176,0.079,0.075,0.023,0.035,0.155,0.114
"P54","Ni buena ni mala",0.079,0.048,0.029,0.065,0.049,0.138,0,0.094
"P54","Mala",0.056,0.038,0.051,0.061,0.065,0.201,0.033,0.055
"P54","Muy mala",0.116,0.46,0.752,0.649,0.833,0.379,0.476,0.639
"P54","No sabe",0,0.015,0,0.003,0,0.201,0,0
"P55","Muy buena",0.158,0.134,0.095,0.171,0.032,0,0,0.043
"P55","Buena",0.043,0.129,0.336,0.324,0.182,0.084,0,0.222
"P55","Ni buena ni mala",0.106,0.151,0.277,0.184,0.214,0.458,0.297,0.296
"P55","Mala",0.231,0.182,0.146,0.101,0.146,0,0.067,0.037
"P55","Muy mala",0.461,0.391,0.146,0.22,0.426,0.458,0.636,0.283
"P55","No sabe",0.001,0.013,0,0,0,0,0,0.119
"P56","Muy buena",0.292,0.201,0.032,0.073,0,0,0,0
"P56","Buena",0.234,0.099,0.06,0.127,0.036,0,0.155,0.061
"P56","Ni buena ni mala",0.249,0.139,0.069,0.065,0.121,0.243,0.371,0.113
"P56","Mala",0.08,0.121,0.135,0.153,0.053,0.042,0.06,0.082
"P56","Muy mala",0.145,0.44,0.704,0.575,0.782,0.715,0.414,0.633
"P56","No sabe",0,0,0,0.007,0.008,0,0,0.111
"P57","Muy buena",0.55,0.193,0.038,0.069,0.002,0.049,0.028,0.137
"P57","Buena",0.224,0.084,0.035,0.115,0.022,0.456,0,0.019
"P57","Ni buena ni mala",0.092,0.151,0.118,0.185,0.109,0.042,0.42,0.307
"P57","Mala",0.048,0.072,0.17,0.147,0.168,0,0.259,0.056
"P57","Muy mala",0.078,0.433,0.605,0.366,0.673,0.453,0.228,0.251
"P57","No sabe",0.008,0.067,0.034,0.118,0.026,0,0.065,0.23
"P58","Muy buena",0.108,0.218,0.593,0.287,0.212,0.02,0,0.166
"P58","Buena",0.035,0.126,0.224,0.308,0.271,0.159,0.023,0.243
"P58","Ni buena ni mala",0.049,0.128,0.051,0.151,0.21,0.042,0.453,0.012
"P58","Mala",0.141,0.133,0.042,0.085,0.104,0.091,0.016,0.043
"P58","Muy mala",0.661,0.395,0.09,0.136,0.203,0.646,0.508,0.498
"P58","No sabe",0.006,0,0,0.033,0,0.042,0,0.038
"P59","Muy buena",0.131,0.135,0.174,0.119,0.637,0.099,0.05,0
"P59","Buena",0.044,0.159,0.128,0.182,0.186,0.08,0.05,0.055
"P59","Ni buena ni mala",0.045,0.13,0.397,0.244,0.121,0,0.379,0.121
"P59","Mala",0.113,0.194,0.152,0.189,0.022,0.415,0.051,0.233
"P59","Muy mala",0.655,0.366,0.11,0.202,0.034,0.406,0.47,0.435
"P59","No sabe",0.012,0.016,0.039,0.064,0,0,0,0.156
"P60","Muy buena",0.646,0.268,0.09,0.069,0.128,0.03,0.283,0.294
"P60","Buena",0.089,0.187,0.042,0.125,0.025,0.376,0.158,0.058
"P60","Ni buena ni mala",0.078,0.023,0.116,0.071,0.051,0.099,0.413,0.038
"P60","Mala",0.027,0.136,0.069,0.113,0.059,0.042,0.067,0.07
"P60","Muy mala",0.15,0.386,0.68,0.595,0.73,0.453,0.079,0.421
"P60","No sabe",0.01,0,0.003,0.027,0.007,0,0,0.119
"P61","Muy buena",0.117,0.127,0.284,0.048,0.046,0.3,0.158,0
"P61","Buena",0.028,0.165,0.333,0.165,0.207,0.079,0,0.038
"P61","Ni buena ni mala",0.244,0.282,0.226,0.329,0.25,0.261,0.379,0.358
"P61","Mala",0.169,0.085,0.012,0.103,0.121,0,0.084,0.154
"P61","Muy mala",0.334,0.209,0.127,0.198,0.291,0.36,0.311,0.031
"P61","No sabe",0.108,0.132,0.018,0.157,0.085,0,0.068,0.419
"P62","Muy buena",0.08,0.1,0.184,0.152,0.034,0,0,0.044
"P62","Buena",0.016,0.164,0.436,0.333,0.29,0.042,0.017,0.208
"P62","Ni buena ni mala",0.215,0.164,0.272,0.315,0.332,0.368,0.243,0.162
"P62","Mala",0.242,0.152,0.061,0.111,0.131,0,0.43,0.059
"P62","Muy mala",0.394,0.346,0.045,0.079,0.132,0.59,0.31,0.27
"P62","No sabe",0.053,0.074,0.002,0.01,0.081,0,0,0.257
