"var","categoria","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio","Julio Zamora a intendente por un partido vecinal","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P49","Los parques y espacios públicos",0.215,0.146,0.125,0.127,0.109,0.323,0,0.086
"P49","El sistema de salud",0.061,0.091,0.072,0.165,0.096,0.166,0.148,0.201
"P49","La limpieza de las calles",0.21,0.157,0.135,0.111,0.231,0.044,0.449,0.195
"P49","El deporte y la cultura",0.031,0.03,0.09,0.024,0.065,0,0,0
"P49","La obra pública",0.023,0.047,0.047,0.047,0.032,0,0,0
"P49","La luminaria",0.031,0.012,0.006,0.052,0.008,0,0,0
"P49","No sabe",0.114,0.185,0.101,0.233,0.125,0.26,0.026,0.268
"P50","Agua corriente y cloacas",0.307,0.524,0.506,0.347,0.408,0.488,0.405,0.392
"P50","Energía eléctrica",0.175,0.156,0.125,0.009,0.105,0.367,0.253,0.174
"P50","Red de gas natural",0.143,0.068,0.06,0.025,0.162,0,0,0.046
"P50","Recolección de residuos",0.154,0.096,0.091,0.24,0.174,0,0.027,0
"P50","Ninguno",0.221,0.156,0.218,0.379,0.151,0.145,0.315,0.388
"P51","Los robos",0.326,0.327,0.381,0.217,0.283,0.602,0.28,0.282
"P51","El narcotráfico",0.234,0.301,0.396,0.154,0.316,0,0.186,0.316
"P51","La ausencia de patrulleros y personal policial",0.142,0.084,0.108,0.3,0.109,0.022,0.141,0.15
"P51","Otro",0.154,0.19,0.046,0.092,0.185,0.208,0.313,0.167
"P51","Ninguno",0.144,0.098,0.069,0.237,0.107,0.168,0.08,0.085
"P52","Muy buena",0.213,0.065,0.065,0.048,0.039,0,0,0.046
"P52","Buena",0.244,0.06,0.066,0.209,0.081,0.343,0,0.263
"P52","Ni buena ni mala",0.243,0.036,0.161,0.21,0.035,0.244,0,0.063
"P52","Mala",0.183,0.088,0.076,0.17,0.036,0.021,0.046,0.205
"P52","Muy mala",0.092,0.751,0.623,0.359,0.809,0.269,0.894,0.423
"P52","No sabe",0.025,0,0.009,0.004,0,0.123,0.06,0
"P53","Muy buena",0.124,0.425,0.175,0.178,0.14,0,0,0.091
"P53","Buena",0.069,0.238,0.308,0.136,0.21,0.145,0.358,0.136
"P53","Ni buena ni mala",0.073,0.157,0.218,0.061,0.115,0,0.36,0.13
"P53","Mala",0.162,0.054,0.074,0.167,0.21,0.397,0.095,0.134
"P53","Muy mala",0.56,0.118,0.221,0.458,0.296,0.458,0.187,0.509
"P53","No sabe",0.012,0.008,0.004,0,0.029,0,0,0
"P54","Muy buena",0.713,0.07,0.049,0.286,0.059,0.243,0.06,0.153
"P54","Buena",0.062,0.033,0.088,0.278,0.024,0.144,0,0.121
"P54","Ni buena ni mala",0.079,0.031,0.063,0.072,0.033,0.124,0.252,0.029
"P54","Mala",0.021,0.082,0.09,0.018,0.074,0.198,0,0
"P54","Muy mala",0.108,0.781,0.706,0.346,0.81,0.291,0.688,0.645
"P54","No sabe",0.017,0.003,0.004,0,0,0,0,0.052
"P55","Muy buena",0.155,0.077,0.168,0.139,0.059,0,0,0.105
"P55","Buena",0.043,0.294,0.322,0.219,0.184,0,0.256,0.119
"P55","Ni buena ni mala",0.093,0.304,0.13,0.158,0.199,0.628,0.466,0.183
"P55","Mala",0.212,0.176,0.094,0.085,0.166,0,0.127,0.092
"P55","Muy mala",0.491,0.149,0.283,0.399,0.392,0.372,0.151,0.379
"P55","No sabe",0.006,0,0.003,0,0,0,0,0.122
"P56","Muy buena",0.286,0.03,0.034,0.146,0.042,0,0,0.217
"P56","Buena",0.272,0.06,0.042,0.109,0.035,0,0.256,0.08
"P56","Ni buena ni mala",0.221,0.048,0.123,0.197,0.14,0.345,0.058,0.028
"P56","Mala",0.069,0.16,0.194,0.085,0.041,0.021,0.126,0.022
"P56","Muy mala",0.152,0.685,0.601,0.463,0.736,0.634,0.56,0.653
"P56","No sabe",0,0.017,0.006,0,0.006,0,0,0
"P57","Muy buena",0.544,0.041,0.008,0.153,0.035,0.023,0.058,0.219
"P57","Buena",0.266,0.017,0.071,0.117,0.012,0.222,0,0.061
"P57","Ni buena ni mala",0.089,0.129,0.203,0.256,0.121,0.021,0.256,0.088
"P57","Mala",0.013,0.162,0.192,0.065,0.184,0.2,0.045,0.057
"P57","Muy mala",0.066,0.604,0.456,0.308,0.62,0.412,0.56,0.392
"P57","No sabe",0.022,0.047,0.07,0.101,0.028,0.122,0.081,0.183
"P58","Muy buena",0.122,0.587,0.207,0.193,0.199,0,0.13,0.151
"P58","Buena",0.013,0.197,0.363,0.125,0.269,0.083,0.592,0.239
"P58","Ni buena ni mala",0.08,0.027,0.253,0.137,0.169,0.201,0.081,0.013
"P58","Mala",0.087,0.076,0.034,0.183,0.169,0,0,0.044
"P58","Muy mala",0.676,0.113,0.137,0.362,0.194,0.716,0.197,0.475
"P58","No sabe",0.022,0,0.006,0,0,0,0,0.078
"P59","Muy buena",0.108,0.16,0.027,0.198,0.654,0.182,0,0.151
"P59","Buena",0.039,0.155,0.219,0.084,0.192,0,0.255,0
"P59","Ni buena ni mala",0.046,0.346,0.319,0.093,0.115,0.222,0,0.174
"P59","Mala",0.097,0.194,0.21,0.172,0.021,0.201,0.559,0.074
"P59","Muy mala",0.682,0.095,0.195,0.453,0.018,0.395,0.186,0.44
"P59","No sabe",0.028,0.05,0.03,0,0,0,0,0.161
"P60","Muy buena",0.629,0.05,0.028,0.358,0.128,0.287,0.059,0.448
"P60","Buena",0.165,0.026,0.049,0.253,0.031,0.222,0,0.028
"P60","Ni buena ni mala",0.041,0.133,0.12,0.036,0.056,0.201,0,0
"P60","Mala",0.024,0.083,0.143,0.063,0.093,0.022,0,0.063
"P60","Muy mala",0.11,0.706,0.66,0.29,0.692,0.268,0.941,0.339
"P60","No sabe",0.031,0.002,0,0,0,0,0,0.122
"P61","Muy buena",0.098,0.208,0.131,0.122,0.055,0.393,0,0
"P61","Buena",0.042,0.356,0.115,0.128,0.178,0,0,0.103
"P61","Ni buena ni mala",0.208,0.251,0.391,0.235,0.258,0.279,0.385,0.504
"P61","Mala",0.148,0.018,0.046,0.15,0.17,0,0,0.135
"P61","Muy mala",0.382,0.102,0.189,0.197,0.262,0.328,0.452,0.039
"P61","No sabe",0.122,0.065,0.128,0.168,0.077,0,0.163,0.219
"P62","Muy buena",0.05,0.157,0.277,0.022,0.043,0,0,0.06
"P62","Buena",0.028,0.391,0.274,0.252,0.266,0.07,0.254,0.275
"P62","Ni buena ni mala",0.191,0.343,0.295,0.132,0.321,0.051,0.617,0.049
"P62","Mala",0.272,0.061,0.061,0.122,0.152,0.227,0.026,0.115
"P62","Muy mala",0.403,0.03,0.086,0.399,0.149,0.652,0.103,0.243
"P62","No sabe",0.056,0.018,0.007,0.073,0.069,0,0,0.258
