"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio","Julio Zamora a intendente por un partido vecinal","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P52","Muy mala",0.112,0.727,0.443,0.882,0.327,0.324,0.563
"P52","No sabe",0.025,0.003,0.003,0,0.114,0.007,0
"P53","Muy buena",0.143,0.345,0.177,0.12,0.045,0.17,0.039
"P53","Buena",0.067,0.267,0.195,0.191,0.105,0.177,0.306
"P53","Ni buena ni mala",0.079,0.19,0.099,0.076,0,0.217,0.165
"P53","Mala",0.138,0.06,0.211,0.203,0.245,0.11,0.218
"P53","Muy mala",0.543,0.132,0.314,0.41,0.566,0.326,0.272
"P53","No sabe",0.03,0.006,0.004,0,0.039,0,0
"P54","Muy buena",0.727,0.031,0.206,0.032,0.279,0.338,0.114
"P54","Buena",0.057,0.048,0.176,0.009,0,0.248,0.141
"P54","Ni buena ni mala",0.075,0.036,0.078,0.023,0.094,0,0.248
"P54","Mala",0.012,0.071,0.061,0.05,0.149,0.171,0.081
"P54","Muy mala",0.106,0.81,0.479,0.886,0.478,0.243,0.416
"P54","No sabe",0.023,0.004,0,0,0,0,0
"P55","Muy buena",0.188,0.086,0.143,0.031,0.047,0.118,0.047
"P55","Buena",0.055,0.344,0.162,0.165,0,0.209,0.147
"P55","Ni buena ni mala",0.107,0.263,0.206,0.18,0.244,0.136,0.286
"P55","Mala",0.18,0.131,0.144,0.167,0.208,0.103,0.244
"P55","Muy mala",0.464,0.175,0.345,0.457,0.501,0.434,0.181
"P55","No sabe",0.006,0.001,0,0,0,0,0.095
"P56","Muy buena",0.331,0.021,0.12,0.012,0.046,0.059,0
"P56","Buena",0.306,0.058,0.033,0.039,0,0.038,0.122
"P56","Ni buena ni mala",0.206,0.056,0.179,0.118,0.332,0.215,0.173
"P56","Mala",0.039,0.156,0.146,0.017,0.134,0.207,0.116
"P56","Muy mala",0.118,0.694,0.522,0.806,0.488,0.481,0.589
"P56","No sabe",0,0.015,0,0.008,0,0,0
"P57","Muy buena",0.538,0.014,0.131,0.003,0.147,0.206,0.179
"P57","Buena",0.264,0.029,0.071,0.022,0.215,0.11,0.04
"P57","Ni buena ni mala",0.111,0.152,0.117,0.124,0.356,0.124,0.142
"P57","Mala",0.013,0.16,0.102,0.212,0,0.224,0.115
"P57","Muy mala",0.066,0.595,0.48,0.602,0.19,0.23,0.413
"P57","No sabe",0.008,0.05,0.099,0.037,0.092,0.106,0.111
"P58","Muy buena",0.102,0.501,0.191,0.2,0.063,0.159,0.17
"P58","Buena",0.018,0.265,0.234,0.236,0,0.12,0.45
"P58","Ni buena ni mala",0.074,0.072,0.073,0.201,0.245,0.406,0.089
"P58","Mala",0.095,0.056,0.154,0.19,0.066,0.021,0
"P58","Muy mala",0.703,0.102,0.316,0.173,0.626,0.294,0.261
"P58","No sabe",0.008,0.004,0.032,0,0,0,0.03
"P59","Muy buena",0.082,0.104,0.364,0.634,0.206,0.152,0.18
"P59","Buena",0.039,0.168,0.143,0.17,0.14,0.123,0.145
"P59","Ni buena ni mala",0.049,0.378,0.084,0.098,0.111,0.21,0.13
"P59","Mala",0.107,0.216,0.096,0.03,0.196,0.128,0.19
"P59","Muy mala",0.712,0.086,0.277,0.068,0.347,0.387,0.231
"P59","No sabe",0.011,0.048,0.036,0,0,0,0.124
"P60","Muy buena",0.624,0.02,0.292,0.074,0.312,0.413,0.29
"P60","Buena",0.172,0.02,0.122,0.045,0.36,0.116,0.01
"P60","Ni buena ni mala",0.036,0.125,0.04,0.051,0.111,0.139,0.119
"P60","Mala",0.033,0.109,0.118,0.048,0,0.081,0.027
"P60","Muy mala",0.126,0.72,0.396,0.782,0.217,0.251,0.46
"P60","No sabe",0.009,0.006,0.032,0,0,0,0.094
"P61","Muy buena",0.135,0.175,0.094,0.044,0.224,0.115,0
"P61","Buena",0.024,0.3,0.198,0.143,0.019,0.07,0.109
"P61","Ni buena ni mala",0.193,0.267,0.325,0.234,0.394,0.397,0.48
"P61","Mala",0.171,0.012,0.117,0.199,0,0.02,0.104
"P61","Muy mala",0.339,0.146,0.121,0.325,0.363,0.347,0.157
"P61","No sabe",0.138,0.1,0.145,0.055,0,0.051,0.15
"P62","Muy buena",0.097,0.178,0.042,0.032,0.105,0.094,0
"P62","Buena",0.02,0.392,0.238,0.266,0,0.144,0.344
"P62","Ni buena ni mala",0.18,0.313,0.249,0.324,0.344,0.139,0.251
"P62","Mala",0.261,0.058,0.14,0.155,0.063,0.178,0.114
"P62","Muy mala",0.375,0.041,0.256,0.175,0.488,0.411,0.157
"P62","No sabe",0.067,0.018,0.075,0.048,0,0.034,0.134
