"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio","Julio Zamora a intendente por un partido vecinal","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P52","Mala",0.16,0.082,0.096,0.07,0.085,0.281,0.145
"P52","Muy mala",0.088,0.732,0.405,0.754,0.424,0.352,0.788
"P52","No sabe",0.028,0.001,0.008,0.012,0.021,0,0
"P53","Muy buena",0.14,0.293,0.217,0.16,0.183,0.117,0.266
"P53","Buena",0.057,0.331,0.182,0.2,0.091,0.015,0.177
"P53","Ni buena ni mala",0.084,0.114,0.044,0.155,0.17,0.401,0.169
"P53","Mala",0.15,0.088,0.194,0.199,0.032,0.057,0.09
"P53","Muy mala",0.536,0.174,0.354,0.286,0.524,0.395,0.26
"P53","No sabe",0.033,0,0.009,0,0,0.015,0.038
"P54","Muy buena",0.715,0.049,0.338,0.03,0.348,0.198,0.104
"P54","Buena",0.059,0.075,0.145,0.025,0.08,0.208,0.074
"P54","Ni buena ni mala",0.079,0.053,0.08,0.049,0.031,0.031,0
"P54","Mala",0.023,0.092,0.064,0.06,0.081,0.037,0.021
"P54","Muy mala",0.105,0.721,0.373,0.836,0.46,0.526,0.801
"P54","No sabe",0.019,0.01,0,0,0,0,0
"P55","Muy buena",0.188,0.139,0.097,0.032,0.096,0.076,0.037
"P55","Buena",0.06,0.401,0.11,0.181,0.056,0.109,0.126
"P55","Ni buena ni mala",0.107,0.248,0.212,0.182,0.107,0.225,0.419
"P55","Mala",0.196,0.068,0.143,0.245,0.193,0.091,0.053
"P55","Muy mala",0.442,0.143,0.438,0.36,0.548,0.499,0.29
"P55","No sabe",0.007,0.001,0,0,0,0,0.075
"P56","Muy buena",0.333,0.033,0.129,0.017,0.096,0.033,0.037
"P56","Buena",0.303,0.085,0.087,0.031,0.031,0.014,0.008
"P56","Ni buena ni mala",0.213,0.129,0.182,0.103,0.153,0.036,0.059
"P56","Mala",0.036,0.16,0.083,0.098,0.136,0.233,0.038
"P56","Muy mala",0.115,0.591,0.519,0.744,0.584,0.684,0.775
"P56","No sabe",0,0.002,0,0.007,0,0,0.083
"P57","Muy buena",0.531,0.006,0.247,0.013,0.183,0.211,0.103
"P57","Buena",0.292,0.039,0.115,0.007,0.144,0.052,0
"P57","Ni buena ni mala",0.109,0.178,0.092,0.136,0.23,0.154,0.07
"P57","Mala",0.015,0.221,0.078,0.171,0.008,0.081,0.067
"P57","Muy mala",0.044,0.509,0.403,0.614,0.435,0.375,0.579
"P57","No sabe",0.009,0.047,0.065,0.059,0,0.127,0.181
"P58","Muy buena",0.125,0.415,0.238,0.215,0.233,0.18,0.477
"P58","Buena",0.019,0.305,0.149,0.24,0.041,0.241,0.229
"P58","Ni buena ni mala",0.075,0.12,0.057,0.189,0.169,0.176,0.021
"P58","Mala",0.103,0.049,0.156,0.144,0.091,0.024,0.019
"P58","Muy mala",0.672,0.107,0.4,0.193,0.449,0.379,0.23
"P58","No sabe",0.006,0.004,0,0.019,0.017,0,0.024
"P59","Muy buena",0.085,0.086,0.295,0.548,0.28,0.077,0.048
"P59","Buena",0.043,0.198,0.105,0.185,0.008,0.13,0.051
"P59","Ni buena ni mala",0.057,0.332,0.071,0.168,0.241,0.111,0.302
"P59","Mala",0.111,0.235,0.119,0.041,0.062,0.294,0.145
"P59","Muy mala",0.691,0.119,0.41,0.039,0.409,0.373,0.2
"P59","No sabe",0.013,0.03,0,0.019,0,0.015,0.254
"P60","Muy buena",0.626,0.035,0.425,0.058,0.35,0.267,0.189
"P60","Buena",0.189,0.019,0.151,0.054,0.092,0.15,0
"P60","Ni buena ni mala",0.037,0.165,0.032,0.038,0.116,0.023,0.142
"P60","Mala",0.033,0.144,0.019,0.082,0.086,0,0.036
"P60","Muy mala",0.105,0.635,0.373,0.749,0.325,0.56,0.558
"P60","No sabe",0.01,0.002,0,0.019,0.031,0,0.075
"P61","Muy buena",0.123,0.165,0.164,0.041,0.094,0.132,0.212
"P61","Buena",0.033,0.263,0.169,0.189,0.102,0.118,0.163
"P61","Ni buena ni mala",0.186,0.304,0.269,0.285,0.381,0.262,0.305
"P61","Mala",0.165,0.033,0.122,0.143,0.033,0,0.082
"P61","Muy mala",0.35,0.142,0.166,0.27,0.359,0.326,0.085
"P61","No sabe",0.143,0.093,0.11,0.072,0.031,0.162,0.153
"P62","Muy buena",0.084,0.242,0.049,0.027,0.065,0.043,0
"P62","Buena",0.019,0.411,0.217,0.249,0.083,0.17,0.353
"P62","Ni buena ni mala",0.194,0.251,0.145,0.389,0.266,0.296,0.316
"P62","Mala",0.264,0.035,0.179,0.15,0.173,0.161,0.036
"P62","Muy mala",0.374,0.052,0.362,0.123,0.343,0.33,0.16
"P62","No sabe",0.065,0.009,0.048,0.062,0.07,0,0.135
