"var","categoria","A Julio Zamora por el Frente de Todos","A Segundo Cernadas por Juntos por el Cambio","Al candidato de los liberales libertarios","A Paula Akerfeld por el Frente de Izquierda","No sabe"
"P34","No sabe",0.006,0.051,0.045,0.256,0.086
"P35","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.545,0.052,0.083,0.293,0.235
"P35","Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.215,0.136,0.064,0.032,0.034
"P35","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.049,0.371,0.068,0.086,0.12
"P35","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.09,0.349,0.073,0.146,0.118
"P35","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.012,0.069,0.68,0.011,0.306
"P35","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.028,0.005,0,0.08,0.06
"P35","En blanco",0.017,0.002,0.029,0.084,0.053
"P35","No sabe",0.044,0.016,0.003,0.268,0.074
"P36","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.622,0.09,0.06,0.242,0.224
"P36","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.042,0.34,0.071,0.088,0.119
"P36","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.032,0.418,0.056,0.149,0.132
"P36","Julio Zamora a intendente por un partido vecinal",0.23,0.047,0.082,0.098,0.029
"P36","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.043,0.046,0.682,0.027,0.316
"P36","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.023,0.003,0.004,0.061,0.049
"P36","En blanco",0.001,0.003,0.034,0.148,0.046
"P36","No sabe",0.007,0.053,0.011,0.187,0.085
"P37","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.632,0.085,0.088,0.418,0.249
