"var","categoria","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio","A los candidatos a gobernador y a intendente de la Libertad Avanza","A los candidatos a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P58","Ni buena ni mala",0.073,0.067,0.201,0.173,0.156,0.183
"P58","Mala",0.088,0.067,0.148,0.05,0.084,0.17
"P58","Muy mala",0.652,0.114,0.188,0.383,0.558,0.264
"P58","No sabe",0.021,0,0.004,0,0,0.026
"P59","Muy buena",0.089,0.132,0.596,0.486,0.159,0.065
"P59","Buena",0.061,0.161,0.13,0.143,0.138,0.199
"P59","Ni buena ni mala",0.037,0.354,0.15,0.145,0.151,0.104
"P59","Mala",0.1,0.216,0.043,0.022,0.092,0.261
"P59","Muy mala",0.687,0.108,0.081,0.204,0.399,0.277
"P59","No sabe",0.026,0.029,0,0,0.061,0.094
"P60","Muy buena",0.651,0.041,0.145,0.138,0.167,0.232
"P60","Buena",0.17,0.031,0.046,0.03,0.144,0.189
"P60","Ni buena ni mala",0.037,0.139,0.056,0.01,0.072,0.083
"P60","Mala",0.011,0.136,0.073,0.007,0.098,0.068
"P60","Muy mala",0.107,0.651,0.68,0.815,0.493,0.387
"P60","No sabe",0.024,0.002,0,0,0.026,0.041
"P61","Muy buena",0.097,0.188,0.131,0.037,0.023,0.067
"P61","Buena",0.025,0.323,0.172,0.161,0.073,0.033
"P61","Ni buena ni mala",0.252,0.286,0.23,0.187,0.167,0.462
"P61","Mala",0.179,0.028,0.133,0.085,0.007,0.125
"P61","Muy mala",0.325,0.116,0.259,0.462,0.446,0.103
"P61","No sabe",0.122,0.059,0.075,0.068,0.284,0.21
"P62","Muy buena",0.053,0.21,0.043,0.065,0.022,0.063
"P62","Buena",0.015,0.434,0.259,0.23,0.105,0.153
"P62","Ni buena ni mala",0.207,0.235,0.307,0.228,0.417,0.349
"P62","Mala",0.288,0.064,0.125,0.017,0.077,0.163
"P62","Muy mala",0.375,0.044,0.21,0.384,0.351,0.162
"P62","No sabe",0.062,0.013,0.056,0.076,0.028,0.11
