"var","categoria","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio","A los candidatos a gobernador y a intendente de la Libertad Avanza","A los candidatos a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P58","Muy buena",0.123,0.49,0.276,0.05,0.091,0.12
"P58","Buena",0.06,0.272,0.196,0.311,0.183,0.225
"P58","Ni buena ni mala",0.062,0.081,0.202,0.012,0.202,0.143
"P58","Mala",0.11,0.069,0.09,0.086,0.15,0.147
"P58","Muy mala",0.637,0.084,0.236,0.541,0.374,0.29
"P58","No sabe",0.008,0.004,0,0,0,0.075
"P59","Muy buena",0.103,0.129,0.489,0.196,0.365,0.133
"P59","Buena",0.055,0.143,0.185,0.048,0.179,0.138
"P59","Ni buena ni mala",0.042,0.327,0.171,0.061,0.176,0.222
"P59","Mala",0.125,0.235,0.042,0,0.093,0.191
"P59","Muy mala",0.661,0.119,0.111,0.695,0.187,0.186
"P59","No sabe",0.014,0.047,0.002,0,0,0.13
"P60","Muy buena",0.61,0.057,0.118,0.353,0.171,0.244
"P60","Buena",0.147,0.039,0.087,0.11,0.037,0.156
"P60","Ni buena ni mala",0.043,0.121,0.036,0.083,0.135,0.129
"P60","Mala",0.028,0.149,0.042,0.145,0.091,0.011
"P60","Muy mala",0.164,0.632,0.717,0.309,0.547,0.353
"P60","No sabe",0.008,0.002,0,0,0.019,0.107
"P61","Muy buena",0.121,0.16,0.121,0.051,0.017,0.135
"P61","Buena",0.028,0.279,0.24,0.047,0.128,0.039
"P61","Ni buena ni mala",0.223,0.289,0.283,0.224,0.166,0.445
"P61","Mala",0.177,0.021,0.085,0.326,0.077,0.119
"P61","Muy mala",0.346,0.127,0.206,0.247,0.509,0.088
"P61","No sabe",0.105,0.124,0.065,0.105,0.103,0.174
"P62","Muy buena",0.064,0.222,0.071,0.051,0,0
"P62","Buena",0.026,0.425,0.264,0.059,0.21,0.212
"P62","Ni buena ni mala",0.191,0.267,0.33,0.101,0.386,0.215
"P62","Mala",0.257,0.03,0.145,0.189,0.088,0.214
"P62","Muy mala",0.404,0.038,0.146,0.512,0.281,0.216
"P62","No sabe",0.058,0.018,0.044,0.088,0.035,0.143
