"var","categoria","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio","Julio Zamora a intendente por un partido vecinal","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P52","No sabe",0.028,0,0.002,0,0.101,0,0.015
"P53","Muy buena",0.139,0.365,0.131,0.137,0.119,0.044,0.058
"P53","Buena",0.087,0.264,0.187,0.224,0.079,0.026,0.301
"P53","Ni buena ni mala",0.069,0.158,0.117,0.138,0.16,0.212,0.064
"P53","Mala",0.16,0.066,0.188,0.21,0.064,0.254,0
"P53","Muy mala",0.528,0.141,0.377,0.291,0.45,0.464,0.551
"P53","No sabe",0.017,0.006,0,0,0.128,0,0.026
"P54","Muy buena",0.688,0.071,0.22,0.041,0.142,0.228,0.058
"P54","Buena",0.073,0.033,0.206,0.018,0,0.111,0.217
"P54","Ni buena ni mala",0.073,0.039,0.074,0.023,0.102,0.168,0.062
"P54","Mala",0.06,0.046,0.111,0.013,0.092,0.044,0.132
"P54","Muy mala",0.106,0.804,0.389,0.902,0.537,0.449,0.531
"P54","No sabe",0,0.007,0,0.003,0.127,0,0
"P55","Muy buena",0.178,0.098,0.097,0.05,0.136,0.056,0.054
"P55","Buena",0.07,0.318,0.213,0.136,0.045,0.162,0.312
"P55","Ni buena ni mala",0.099,0.277,0.245,0.162,0.126,0.297,0.077
"P55","Mala",0.218,0.095,0.162,0.199,0,0.056,0.245
"P55","Muy mala",0.429,0.211,0.283,0.453,0.693,0.429,0.156
"P55","No sabe",0.006,0.001,0,0,0,0,0.156
"P56","Muy buena",0.294,0.044,0.078,0.022,0.136,0.056,0
"P56","Buena",0.263,0.046,0.135,0.013,0.024,0.113,0.057
"P56","Ni buena ni mala",0.24,0.051,0.191,0.056,0.222,0.285,0.276
"P56","Mala",0.072,0.104,0.138,0.105,0.024,0.125,0.213
"P56","Muy mala",0.131,0.74,0.458,0.796,0.594,0.421,0.454
"P56","No sabe",0,0.015,0,0.008,0,0,0
"P57","Muy buena",0.52,0.021,0.13,0.025,0.185,0.158,0
"P57","Buena",0.289,0.023,0.053,0.018,0.107,0.111,0
"P57","Ni buena ni mala",0.093,0.14,0.199,0.144,0.168,0.168,0.036
"P57","Mala",0.04,0.143,0.153,0.13,0,0.232,0.421
"P57","Muy mala",0.019,0.627,0.398,0.653,0.45,0.263,0.334
"P57","No sabe",0.039,0.046,0.067,0.03,0.09,0.068,0.209
"P58","Muy buena",0.116,0.506,0.151,0.21,0.233,0.045,0.103
"P58","Buena",0.041,0.282,0.181,0.283,0,0.203,0.028
"P58","Ni buena ni mala",0.068,0.043,0.179,0.181,0.214,0.347,0.362
"P58","Mala",0.101,0.044,0.204,0.123,0,0.079,0.072
"P58","Muy mala",0.653,0.122,0.285,0.203,0.553,0.326,0.349
"P58","No sabe",0.021,0.003,0,0,0,0,0.086
"P59","Muy buena",0.108,0.143,0.257,0.593,0.293,0.018,0.204
"P59","Buena",0.037,0.174,0.129,0.186,0.213,0.138,0
"P59","Ni buena ni mala",0.051,0.333,0.189,0.115,0.135,0.234,0
"P59","Mala",0.127,0.188,0.129,0.051,0.051,0.124,0.263
"P59","Muy mala",0.638,0.126,0.292,0.055,0.308,0.486,0.301
"P59","No sabe",0.039,0.036,0.004,0,0,0,0.232
"P60","Muy buena",0.595,0.043,0.263,0.119,0.397,0.28,0.156
"P60","Buena",0.177,0.024,0.177,0.037,0,0.055,0.036
"P60","Ni buena ni mala",0.062,0.093,0.106,0.018,0.109,0.175,0.13
"P60","Mala",0.039,0.1,0.103,0.044,0.153,0.033,0.064
"P60","Muy mala",0.102,0.738,0.342,0.782,0.341,0.457,0.457
"P60","No sabe",0.025,0.002,0.009,0,0,0,0.157
"P61","Muy buena",0.133,0.196,0.06,0.041,0.078,0.112,0.138
"P61","Buena",0.024,0.284,0.195,0.184,0.018,0,0.065
"P61","Ni buena ni mala",0.214,0.259,0.306,0.276,0.409,0.535,0.198
"P61","Mala",0.169,0.013,0.128,0.133,0.027,0.012,0.386
"P61","Muy mala",0.35,0.139,0.165,0.307,0.468,0.236,0
"P61","No sabe",0.11,0.109,0.146,0.059,0,0.105,0.213
"P62","Muy buena",0.08,0.194,0.061,0.031,0.051,0,0.054
"P62","Buena",0.013,0.378,0.236,0.315,0.069,0.071,0.356
"P62","Ni buena ni mala",0.2,0.278,0.263,0.325,0.193,0.429,0.104
"P62","Mala",0.284,0.059,0.099,0.118,0.267,0.21,0.035
"P62","Muy mala",0.376,0.067,0.233,0.181,0.42,0.29,0.189
"P62","No sabe",0.047,0.024,0.108,0.03,0,0,0.262
