"var","categoria","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio","Julio Zamora a intendente por un partido vecinal","A los candidatos a gobernador y a intendente de la Libertad Avanza","A los candidatos a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P53","Ni buena ni mala",0.062,0.149,0.131,0.119,0.174,0.273,0.133
"P53","Mala",0.159,0.071,0.209,0.193,0.064,0.141,0.017
"P53","Muy mala",0.533,0.143,0.311,0.287,0.553,0.465,0.471
"P53","No sabe",0.017,0.008,0,0,0.124,0,0
"P54","Muy buena",0.696,0.064,0.251,0.052,0.05,0.154,0.102
"P54","Buena",0.067,0.045,0.176,0.03,0,0.093,0.146
"P54","Ni buena ni mala",0.073,0.062,0.087,0.02,0.054,0.019,0
"P54","Mala",0.035,0.092,0.1,0.002,0.118,0.034,0
"P54","Muy mala",0.129,0.73,0.383,0.896,0.778,0.59,0.752
"P54","No sabe",0,0.007,0.003,0,0,0.11,0
"P55","Muy buena",0.191,0.134,0.062,0.021,0.169,0.033,0
"P55","Buena",0.065,0.374,0.144,0.188,0,0.009,0.254
"P55","Ni buena ni mala",0.104,0.236,0.276,0.142,0.219,0.401,0.166
"P55","Mala",0.221,0.114,0.141,0.202,0.093,0.025,0.062
"P55","Muy mala",0.413,0.141,0.377,0.447,0.519,0.532,0.414
"P55","No sabe",0.006,0.001,0,0,0,0,0.104
"P56","Muy buena",0.317,0.047,0.087,0.014,0,0.034,0
"P56","Buena",0.263,0.065,0.073,0.036,0.038,0,0.205
"P56","Ni buena ni mala",0.244,0.053,0.211,0.066,0.12,0.305,0.016
"P56","Mala",0.062,0.173,0.103,0.08,0.053,0.067,0.017
"P56","Muy mala",0.114,0.658,0.526,0.795,0.789,0.594,0.665
"P56","No sabe",0,0.004,0,0.009,0,0,0.097
"P57","Muy buena",0.541,0.033,0.094,0.026,0.037,0.069,0.207
"P57","Buena",0.247,0.034,0.14,0.006,0.137,0,0
"P57","Ni buena ni mala",0.103,0.16,0.171,0.13,0.037,0.163,0.149
"P57","Mala",0.041,0.172,0.127,0.15,0.137,0.146,0.016
"P57","Muy mala",0.045,0.541,0.413,0.662,0.652,0.386,0.491
"P57","No sabe",0.023,0.06,0.055,0.026,0,0.236,0.137
"P58","Muy buena",0.12,0.491,0.158,0.258,0.03,0.17,0.332
"P58","Buena",0.057,0.275,0.214,0.213,0.167,0.205,0.095
"P58","Ni buena ni mala",0.06,0.095,0.106,0.22,0.152,0.324,0
"P58","Mala",0.117,0.037,0.137,0.173,0.021,0.01,0.068
"P58","Muy mala",0.646,0.095,0.377,0.136,0.63,0.171,0.472
"P58","No sabe",0,0.007,0.008,0,0,0.12,0.033
"P59","Muy buena",0.106,0.136,0.23,0.668,0.172,0.058,0
"P59","Buena",0.066,0.178,0.135,0.106,0.356,0.129,0.017
"P59","Ni buena ni mala",0.054,0.341,0.152,0.123,0.06,0.242,0.295
"P59","Mala",0.103,0.195,0.157,0.039,0.038,0.271,0.194
"P59","Muy mala",0.665,0.111,0.308,0.064,0.374,0.117,0.341
"P59","No sabe",0.006,0.039,0.018,0,0,0.183,0.153
"P60","Muy buena",0.612,0.061,0.268,0.092,0.163,0.14,0.311
"P60","Buena",0.153,0.034,0.214,0.032,0.014,0,0
"P60","Ni buena ni mala",0.056,0.109,0.051,0.036,0.039,0.23,0.206
"P60","Mala",0.031,0.119,0.077,0.047,0.133,0.037,0.111
"P60","Muy mala",0.144,0.675,0.382,0.793,0.613,0.473,0.268
"P60","No sabe",0.004,0.002,0.008,0,0.038,0.12,0.104
"P61","Muy buena",0.1,0.176,0.162,0.053,0.016,0.13,0.157
"P61","Buena",0.026,0.279,0.184,0.199,0.025,0.121,0.134
"P61","Ni buena ni mala",0.247,0.274,0.27,0.247,0.181,0.481,0.353
"P61","Mala",0.162,0.022,0.106,0.176,0,0.03,0.103
"P61","Muy mala",0.346,0.14,0.144,0.276,0.718,0.121,0.103
"P61","No sabe",0.119,0.109,0.134,0.049,0.06,0.117,0.15
"P62","Muy buena",0.066,0.239,0.041,0.048,0,0,0.031
"P62","Buena",0.016,0.429,0.296,0.196,0.16,0.112,0.238
"P62","Ni buena ni mala",0.205,0.261,0.227,0.344,0.266,0.484,0.181
"P62","Mala",0.289,0.01,0.114,0.17,0.111,0.313,0.039
"P62","Muy mala",0.369,0.052,0.241,0.194,0.403,0.091,0.308
"P62","No sabe",0.055,0.009,0.081,0.048,0.06,0,0.203
