"var","categoria","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio","Julio Zamora a intendente por un partido vecinal","A los candidatos a gobernador y a intendente de la Libertad Avanza","A los candidatos a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P53","Muy mala",0.377,0.308,0.425,0.24,0.443,0.36,0.337
"P53","No sabe",0.006,0.011,0.008,0,0.143,0,0.013
"P54","Muy buena",0.495,0.271,0.195,0.062,0.09,0.138,0.08
"P54","Buena",0.062,0.053,0.153,0.017,0,0.275,0.08
"P54","Ni buena ni mala",0.075,0.01,0.069,0.043,0.078,0.116,0.231
"P54","Mala",0.032,0.097,0.045,0.031,0.103,0.022,0.092
"P54","Muy mala",0.334,0.562,0.538,0.847,0.729,0.347,0.517
"P54","No sabe",0.002,0.007,0,0,0,0.102,0
"P55","Muy buena",0.2,0.112,0.07,0.011,0,0.131,0.094
"P55","Buena",0.197,0.216,0.195,0.152,0,0.16,0.186
"P55","Ni buena ni mala",0.125,0.196,0.169,0.244,0.203,0.381,0.334
"P55","Mala",0.162,0.173,0.148,0.152,0.081,0.05,0.216
"P55","Muy mala",0.311,0.301,0.418,0.441,0.716,0.278,0.089
"P55","No sabe",0.005,0.002,0,0,0,0,0.081
"P56","Muy buena",0.281,0.093,0.047,0,0,0.125,0
"P56","Buena",0.169,0.167,0.091,0.008,0.019,0,0.081
"P56","Ni buena ni mala",0.174,0.109,0.161,0.147,0.102,0.236,0.094
"P56","Mala",0.067,0.125,0.116,0.063,0.011,0.11,0.286
"P56","Muy mala",0.309,0.503,0.585,0.771,0.868,0.529,0.463
"P56","No sabe",0,0.003,0,0.011,0,0,0.076
"P57","Muy buena",0.444,0.132,0.113,0.01,0.029,0.151,0
"P57","Buena",0.157,0.135,0.08,0.017,0.12,0.077,0
"P57","Ni buena ni mala",0.111,0.117,0.177,0.135,0.15,0.177,0.256
"P57","Mala",0.053,0.146,0.101,0.199,0.034,0.168,0.102
"P57","Muy mala",0.226,0.427,0.48,0.62,0.667,0.198,0.298
"P57","No sabe",0.009,0.043,0.049,0.019,0,0.229,0.344
"P58","Muy buena",0.31,0.318,0.152,0.275,0,0.095,0.191
"P58","Buena",0.112,0.202,0.242,0.218,0,0.269,0.205
"P58","Ni buena ni mala",0.05,0.055,0.122,0.232,0.313,0.264,0.268
"P58","Mala",0.077,0.089,0.2,0.1,0.06,0.08,0
"P58","Muy mala",0.443,0.322,0.276,0.175,0.627,0.292,0.31
"P58","No sabe",0.008,0.014,0.008,0,0,0,0.026
"P59","Muy buena",0.133,0.109,0.306,0.672,0.195,0.084,0.076
"P59","Buena",0.091,0.119,0.135,0.151,0.174,0.178,0.212
"P59","Ni buena ni mala",0.164,0.239,0.109,0.146,0.213,0.29,0.034
"P59","Mala",0.114,0.196,0.129,0.005,0.016,0.107,0.396
"P59","Muy mala",0.468,0.301,0.321,0.026,0.402,0.264,0.162
"P59","No sabe",0.03,0.036,0,0,0,0.077,0.12
"P60","Muy buena",0.47,0.182,0.264,0.128,0.126,0.206,0.229
"P60","Buena",0.077,0.109,0.092,0.032,0.081,0.3,0.102
"P60","Ni buena ni mala",0.097,0.089,0.058,0.026,0.019,0.178,0.067
"P60","Mala",0.055,0.078,0.086,0.058,0.149,0.041,0.117
"P60","Muy mala",0.296,0.522,0.5,0.756,0.582,0.275,0.404
"P60","No sabe",0.005,0.02,0,0,0.043,0,0.081
"P61","Muy buena",0.187,0.146,0.092,0.048,0.019,0,0.142
"P61","Buena",0.121,0.222,0.243,0.129,0,0.014,0.028
"P61","Ni buena ni mala",0.225,0.286,0.189,0.324,0.236,0.363,0.426
"P61","Mala",0.094,0.093,0.106,0.167,0,0.168,0.009
"P61","Muy mala",0.25,0.201,0.245,0.253,0.701,0.183,0.086
"P61","No sabe",0.123,0.052,0.125,0.079,0.044,0.272,0.309
"P62","Muy buena",0.131,0.16,0.042,0.027,0.045,0.029,0.047
"P62","Buena",0.157,0.279,0.341,0.204,0.032,0.162,0.167
"P62","Ni buena ni mala",0.206,0.241,0.158,0.389,0.424,0.286,0.502
"P62","Mala",0.175,0.176,0.114,0.106,0.107,0.2,0
"P62","Muy mala",0.284,0.125,0.284,0.21,0.348,0.208,0.171
"P62","No sabe",0.047,0.019,0.061,0.064,0.044,0.115,0.113
