"var","categoria","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio","A los candidatos a gobernador y a intendente de la Libertad Avanza","A los candidatos a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P58","Buena",0.062,0.271,0.25,0.105,0.099,0.211
"P58","Ni buena ni mala",0.071,0.074,0.155,0.238,0.242,0.12
"P58","Mala",0.1,0.076,0.125,0.125,0.042,0.127
"P58","Muy mala",0.63,0.08,0.216,0.428,0.462,0.349
"P58","No sabe",0.021,0.004,0,0,0.01,0.014
"P59","Muy buena",0.102,0.138,0.504,0.188,0.332,0.034
"P59","Buena",0.055,0.164,0.154,0.1,0.151,0.16
"P59","Ni buena ni mala",0.062,0.288,0.182,0.174,0.134,0.253
"P59","Mala",0.106,0.242,0.041,0.021,0.109,0.253
"P59","Muy mala",0.648,0.114,0.119,0.517,0.26,0.24
"P59","No sabe",0.027,0.054,0,0,0.014,0.06
"P60","Muy buena",0.643,0.043,0.132,0.164,0.182,0.221
"P60","Buena",0.116,0.05,0.08,0.105,0.053,0.236
"P60","Ni buena ni mala",0.064,0.11,0.042,0.021,0.081,0.157
"P60","Mala",0.026,0.127,0.074,0.029,0.097,0.047
"P60","Muy mala",0.126,0.668,0.672,0.681,0.569,0.294
"P60","No sabe",0.025,0.002,0,0,0.018,0.045
"P61","Muy buena",0.101,0.187,0.1,0.015,0.059,0.178
"P61","Buena",0.027,0.313,0.224,0,0.073,0.077
"P61","Ni buena ni mala",0.258,0.251,0.278,0.241,0.209,0.409
"P61","Mala",0.181,0.032,0.116,0.149,0.015,0.089
"P61","Muy mala",0.33,0.098,0.222,0.435,0.523,0.077
"P61","No sabe",0.103,0.119,0.06,0.16,0.121,0.17
"P62","Muy buena",0.055,0.227,0.078,0.059,0,0.019
"P62","Buena",0.033,0.468,0.242,0.179,0.152,0.142
"P62","Ni buena ni mala",0.213,0.261,0.294,0.259,0.372,0.212
"P62","Mala",0.253,0.014,0.177,0.106,0.041,0.249
"P62","Muy mala",0.391,0.018,0.154,0.362,0.398,0.229
"P62","No sabe",0.055,0.012,0.055,0.035,0.037,0.149
