"var","categoria","A Malena Galmarini por el Frente de Todos","A Segundo Cernadas por Juntos por el Cambio","A Nicolás Massot por Juntos por el Cambio","A Julio Zamora por un partido vecinal","Al candidato de los liberales libertarios","A Paula Akerfeld por el Frente de Izquierda","No sabe"
"P53","Muy buena",0.115,0.327,0.302,0.142,0.123,0,0.262
"P53","Buena",0.089,0.249,0.302,0.098,0.231,0,0.145
"P53","Ni buena ni mala",0.06,0.19,0.187,0.07,0.104,0.035,0.179
"P53","Mala",0.137,0.061,0.097,0.184,0.279,0.204,0.032
"P53","Muy mala",0.586,0.164,0.112,0.506,0.237,0.705,0.382
"P53","No sabe",0.013,0.009,0,0,0.026,0.056,0
"P54","Muy buena",0.552,0.115,0.122,0.449,0.078,0.182,0.274
"P54","Buena",0.034,0.038,0.106,0.187,0.058,0.312,0.085
"P54","Ni buena ni mala",0.061,0.041,0.021,0.093,0.053,0.037,0.157
"P54","Mala",0.069,0.077,0.034,0.009,0.059,0.216,0
"P54","Muy mala",0.26,0.727,0.712,0.262,0.752,0.253,0.484
"P54","No sabe",0.024,0.002,0.005,0,0,0,0
"P55","Muy buena",0.099,0.16,0.12,0.097,0.078,0,0.089
"P55","Buena",0.089,0.306,0.291,0.166,0.122,0,0.179
"P55","Ni buena ni mala",0.132,0.234,0.228,0.208,0.177,0.246,0.22
"P55","Mala",0.222,0.11,0.161,0.116,0.203,0.107,0.02
"P55","Muy mala",0.457,0.189,0.2,0.413,0.42,0.647,0.393
"P55","No sabe",0.001,0.001,0,0,0,0,0.099
"P56","Muy buena",0.233,0.076,0.095,0.147,0.04,0,0.082
"P56","Buena",0.265,0.08,0.037,0.122,0.038,0.023,0.06
"P56","Ni buena ni mala",0.2,0.046,0.078,0.259,0.159,0.084,0.255
"P56","Mala",0.087,0.165,0.085,0.086,0.061,0.036,0.076
"P56","Muy mala",0.215,0.631,0.686,0.386,0.702,0.857,0.461
"P56","No sabe",0,0.002,0.019,0,0,0,0.066
"P57","Muy buena",0.406,0.084,0.068,0.327,0.025,0.277,0.143
"P57","Buena",0.265,0.038,0.031,0.124,0.015,0.291,0.052
"P57","Ni buena ni mala",0.096,0.167,0.129,0.212,0.074,0.051,0.281
"P57","Mala",0.06,0.165,0.116,0.083,0.188,0,0.038
"P57","Muy mala",0.146,0.486,0.639,0.215,0.647,0.381,0.247
"P57","No sabe",0.027,0.06,0.017,0.039,0.051,0,0.239
"P58","Muy buena",0.134,0.456,0.396,0.174,0.135,0,0.315
"P58","Buena",0.074,0.299,0.172,0.1,0.264,0,0.112
"P58","Ni buena ni mala",0.084,0.082,0.119,0.113,0.205,0,0.209
"P58","Mala",0.072,0.042,0.105,0.182,0.193,0.028,0
"P58","Muy mala",0.609,0.117,0.208,0.431,0.203,0.972,0.342
"P58","No sabe",0.027,0.004,0,0,0,0,0.022
"P59","Muy buena",0.17,0.153,0.22,0.156,0.492,0,0.287
"P59","Buena",0.049,0.131,0.176,0.071,0.249,0,0.125
"P59","Ni buena ni mala",0.067,0.312,0.287,0.077,0.169,0.036,0.112
"P59","Mala",0.112,0.21,0.114,0.14,0.064,0.219,0.095
"P59","Muy mala",0.572,0.148,0.188,0.556,0.026,0.745,0.254
"P59","No sabe",0.03,0.046,0.015,0,0,0,0.127
"P60","Muy buena",0.516,0.067,0.165,0.444,0.102,0.627,0.282
"P60","Buena",0.183,0.011,0.037,0.193,0.056,0.242,0.041
"P60","Ni buena ni mala",0.054,0.117,0.05,0.02,0.108,0,0.109
"P60","Mala",0.026,0.138,0.061,0.059,0.085,0,0.007
"P60","Muy mala",0.188,0.667,0.683,0.284,0.649,0.131,0.491
"P60","No sabe",0.033,0,0.004,0,0,0,0.07
"P61","Muy buena",0.108,0.137,0.279,0.108,0.036,0.375,0
"P61","Buena",0.037,0.246,0.322,0.104,0.177,0,0.093
"P61","Ni buena ni mala",0.268,0.303,0.155,0.275,0.27,0.241,0.347
"P61","Mala",0.145,0.046,0.059,0.13,0.138,0.294,0.02
"P61","Muy mala",0.29,0.168,0.148,0.245,0.312,0.09,0.368
"P61","No sabe",0.152,0.1,0.037,0.138,0.067,0,0.172
"P62","Muy buena",0.056,0.187,0.233,0.037,0.025,0,0.036
"P62","Buena",0.091,0.371,0.38,0.161,0.205,0,0.128
"P62","Ni buena ni mala",0.246,0.307,0.242,0.186,0.299,0.106,0.234
"P62","Mala",0.232,0.052,0.099,0.167,0.206,0.092,0.091
"P62","Muy mala",0.305,0.066,0.026,0.388,0.2,0.802,0.413
"P62","No sabe",0.07,0.017,0.02,0.061,0.065,0,0.098
