"var","categoria","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio","Julio Zamora a intendente por un partido vecinal","A los candidatos a gobernador y a intendente de la Libertad Avanza","A los candidatos a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P49","La obra pública",0.024,0.055,0.069,0.029,0.01,0,0,0
"P49","La luminaria",0.033,0.01,0.006,0.049,0.008,0,0,0
"P49","No sabe",0.132,0.202,0.092,0.221,0.125,0.144,0.386,0.113
"P50","Agua corriente y cloacas",0.368,0.593,0.402,0.388,0.386,0.374,0.516,0.229
"P50","Energía eléctrica",0.15,0.144,0.183,0.059,0.118,0.313,0,0.166
"P50","Red de gas natural",0.112,0.057,0.093,0.064,0.164,0,0,0.062
"P50","Recolección de residuos",0.157,0.087,0.083,0.198,0.183,0,0.029,0.085
"P50","Ninguno",0.213,0.119,0.239,0.291,0.149,0.313,0.455,0.458
"P51","Los robos",0.329,0.414,0.332,0.191,0.307,0.533,0.394,0.066
"P51","El narcotráfico",0.259,0.228,0.356,0.221,0.308,0,0.129,0.44
"P51","La ausencia de patrulleros y personal policial",0.138,0.082,0.112,0.261,0.081,0.062,0.15,0.279
"P51","Otro",0.159,0.153,0.147,0.113,0.172,0.124,0.057,0.153
"P51","Ninguno",0.115,0.123,0.053,0.214,0.132,0.281,0.27,0.062
"P52","Muy buena",0.225,0.115,0.04,0.054,0.007,0.022,0,0.049
"P52","Buena",0.255,0.034,0.105,0.205,0.064,0.283,0.267,0.116
"P52","Ni buena ni mala",0.244,0.071,0.092,0.221,0.023,0.031,0.369,0.05
"P52","Mala",0.158,0.086,0.077,0.245,0.03,0,0.049,0.153
"P52","Muy mala",0.089,0.677,0.684,0.264,0.876,0.664,0.315,0.632
"P52","No sabe",0.029,0.017,0.002,0.011,0,0,0,0
"P53","Muy buena",0.154,0.419,0.204,0.183,0.13,0.022,0,0.112
"P53","Buena",0.071,0.239,0.287,0.129,0.233,0,0,0.243
"P53","Ni buena ni mala",0.074,0.132,0.223,0.128,0.086,0,0.157,0.149
"P53","Mala",0.15,0.066,0.076,0.162,0.214,0.314,0.47,0.049
"P53","Muy mala",0.538,0.134,0.203,0.398,0.314,0.63,0.373,0.447
"P53","No sabe",0.013,0.01,0.007,0,0.023,0.034,0,0
"P54","Muy buena",0.738,0.052,0.066,0.319,0.047,0.031,0.368,0
"P54","Buena",0.044,0.061,0.057,0.24,0.033,0,0.267,0.116
"P54","Ni buena ni mala",0.082,0.041,0.053,0.072,0.049,0.034,0,0
"P54","Mala",0.033,0.076,0.097,0.031,0.046,0.283,0.029,0.012
"P54","Muy mala",0.103,0.758,0.724,0.338,0.825,0.369,0.336,0.872
"P54","No sabe",0,0.012,0.003,0,0,0.283,0,0
"P55","Muy buena",0.172,0.126,0.134,0.099,0.03,0.047,0,0
"P55","Buena",0.04,0.241,0.407,0.214,0.15,0,0,0.111
"P55","Ni buena ni mala",0.108,0.268,0.207,0.188,0.206,0.399,0.557,0.159
"P55","Mala",0.224,0.197,0.09,0.115,0.138,0.042,0.076,0.125
"P55","Muy mala",0.455,0.166,0.162,0.384,0.476,0.512,0.367,0.44
"P55","No sabe",0.001,0.002,0,0,0,0,0,0.165
"P56","Muy buena",0.321,0.073,0.031,0.109,0,0,0,0.05
"P56","Buena",0.267,0.062,0.083,0.093,0.034,0,0,0.047
"P56","Ni buena ni mala",0.23,0.065,0.066,0.213,0.146,0,0.373,0.012
"P56","Mala",0.054,0.156,0.19,0.15,0.025,0.047,0.104,0
"P56","Muy mala",0.128,0.644,0.624,0.435,0.787,0.953,0.523,0.781
"P56","No sabe",0,0,0.006,0,0.008,0,0,0.11
"P57","Muy buena",0.535,0.06,0.042,0.174,0.007,0.03,0,0.165
"P57","Buena",0.262,0.057,0.029,0.133,0.004,0.441,0,0
"P57","Ni buena ni mala",0.106,0.102,0.221,0.211,0.097,0,0.071,0.122
"P57","Mala",0.029,0.182,0.152,0.07,0.171,0,0.449,0.05
"P57","Muy mala",0.063,0.563,0.45,0.331,0.696,0.482,0.395,0.435
"P57","No sabe",0.005,0.036,0.106,0.081,0.025,0.047,0.085,0.228
"P58","Muy buena",0.1,0.535,0.348,0.195,0.204,0.077,0.028,0.35
"P58","Buena",0.032,0.174,0.38,0.137,0.236,0.043,0,0.222
"P58","Ni buena ni mala",0.07,0.072,0.114,0.133,0.205,0,0.531,0
"P58","Mala",0.108,0.094,0.025,0.165,0.146,0,0.028,0
"P58","Muy mala",0.685,0.125,0.104,0.37,0.205,0.88,0.413,0.39
"P58","No sabe",0.005,0,0.029,0,0.004,0,0,0.038
"P59","Muy buena",0.098,0.177,0.104,0.166,0.64,0.063,0.099,0.068
"P59","Buena",0.047,0.161,0.164,0.147,0.183,0,0,0.049
"P59","Ni buena ni mala",0.061,0.306,0.311,0.134,0.131,0,0.374,0.118
"P59","Mala",0.105,0.179,0.209,0.132,0.023,0.416,0.211,0.276
"P59","Muy mala",0.678,0.115,0.165,0.421,0.023,0.472,0.316,0.334
"P59","No sabe",0.011,0.062,0.047,0,0,0.049,0,0.155
"P60","Muy buena",0.627,0.097,0.023,0.357,0.131,0,0.268,0.235
"P60","Buena",0.159,0.049,0.031,0.218,0.024,0.461,0,0.051
"P60","Ni buena ni mala",0.057,0.118,0.084,0.034,0.065,0.031,0.402,0.118
"P60","Mala",0.025,0.068,0.178,0.095,0.035,0,0.071,0.037
"P60","Muy mala",0.123,0.665,0.66,0.296,0.738,0.508,0.259,0.441
"P60","No sabe",0.009,0.003,0.024,0,0.007,0,0,0.118
"P61","Muy buena",0.123,0.282,0.058,0.107,0.048,0.466,0.267,0.058
"P61","Buena",0.025,0.31,0.228,0.149,0.174,0.031,0,0.154
"P61","Ni buena ni mala",0.238,0.286,0.323,0.265,0.236,0.032,0.443,0.346
"P61","Mala",0.162,0.004,0.072,0.128,0.125,0,0.056,0.154
"P61","Muy mala",0.335,0.084,0.183,0.198,0.336,0.471,0.148,0.059
"P61","No sabe",0.117,0.034,0.136,0.153,0.081,0,0.086,0.229
"P62","Muy buena",0.075,0.159,0.226,0.026,0.032,0.051,0,0
"P62","Buena",0.014,0.39,0.374,0.242,0.253,0.031,0,0.162
"P62","Ni buena ni mala",0.21,0.303,0.239,0.21,0.339,0.032,0.287,0.348
"P62","Mala",0.298,0.108,0.066,0.103,0.093,0,0.398,0.055
"P62","Muy mala",0.351,0.02,0.086,0.338,0.206,0.886,0.315,0.281
"P62","No sabe",0.052,0.02,0.009,0.081,0.077,0,0,0.154
