"var","categoria","Siempre","Casi siempre","Casi nunca","Nunca, pero esta es una excepción"
"P50","No sabe",0.007,0.005,0.002,0.003
"P51","Muy buena",0.236,0.202,0.171,0.124
"P51","Buena",0.142,0.184,0.211,0.115
"P51","Ni buena ni mala",0.122,0.155,0.118,0.269
"P51","Mala",0.111,0.117,0.141,0.155
"P51","Muy mala",0.38,0.336,0.344,0.311
"P51","No sabe",0.009,0.006,0.015,0.026
"P52","Muy buena",0.228,0.12,0.172,0.166
"P52","Buena",0.153,0.217,0.159,0.135
"P52","Ni buena ni mala",0.162,0.191,0.203,0.262
"P52","Mala",0.105,0.15,0.16,0.138
"P52","Muy mala",0.337,0.307,0.285,0.268
"P52","No sabe",0.015,0.015,0.021,0.031
"P53","Muy buena",0.145,0.047,0.073,0.088
"P53","Buena",0.14,0.182,0.163,0.102
"P53","Ni buena ni mala",0.146,0.158,0.112,0.225
"P53","Mala",0.121,0.154,0.174,0.055
"P53","Muy mala",0.441,0.441,0.473,0.505
"P53","No sabe",0.007,0.018,0.005,0.025
"P54","Muy buena",0.3,0.239,0.265,0.192
"P54","Buena",0.153,0.185,0.179,0.3
"P54","Ni buena ni mala",0.1,0.121,0.163,0.156
"P54","Mala",0.081,0.084,0.084,0.099
"P54","Muy mala",0.344,0.357,0.292,0.227
"P54","No sabe",0.022,0.014,0.017,0.026
"P55","Muy buena",0.196,0.14,0.182,0.131
"P55","Buena",0.134,0.134,0.14,0.192
"P55","Ni buena ni mala",0.195,0.237,0.268,0.29
"P55","Mala",0.116,0.126,0.129,0.179
"P55","Muy mala",0.352,0.338,0.263,0.168
"P55","No sabe",0.007,0.025,0.018,0.04
"P56","Muy buena",0.24,0.152,0.152,0.117
"P56","Buena",0.179,0.202,0.196,0.197
"P56","Ni buena ni mala",0.119,0.136,0.217,0.144
"P56","Mala",0.095,0.141,0.15,0.213
"P56","Muy mala",0.36,0.355,0.276,0.303
"P56","No sabe",0.007,0.014,0.009,0.026
"P57","Muy buena",0.229,0.142,0.123,0.085
"P57","Buena",0.082,0.132,0.119,0.126
"P57","Ni buena ni mala",0.165,0.164,0.187,0.167
"P57","Mala",0.105,0.173,0.196,0.152
"P57","Muy mala",0.361,0.349,0.303,0.44
"P57","No sabe",0.058,0.04,0.072,0.03
"P58","Muy buena",0.125,0.056,0.073,0.099
"P58","Buena",0.163,0.199,0.143,0.179
"P58","Ni buena ni mala",0.304,0.367,0.37,0.305
"P58","Mala",0.144,0.154,0.178,0.152
"P58","Muy mala",0.21,0.196,0.177,0.211
"P58","No sabe",0.054,0.028,0.059,0.054
"P59","Muy buena",0.087,0.034,0.037,0.009
"P59","Buena",0.133,0.172,0.114,0.094
"P59","Ni buena ni mala",0.266,0.307,0.4,0.178
"P59","Mala",0.11,0.112,0.115,0.291
"P59","Muy mala",0.325,0.294,0.221,0.197
"P59","No sabe",0.079,0.081,0.113,0.231
"P61","Si",0.764,0.546,0.331,0.342
"P61","No",0.236,0.454,0.669,0.658
