"var","categoria","A Alberto Fernández","A Sergio Massa","A algún candidato del peronismo","A algún candidato del kirchnerismo"
"P53","Ni buena ni mala",0.155,0.09,0.345,0.328
"P53","Mala",0.132,0.08,0.112,0.128
"P53","Muy mala",0.075,0.131,0.21,0.07
"P53","No sabe",0,0.03,0.009,0.002
"P54","Muy buena",0.016,0.139,0.123,0.033
"P54","Buena",0.024,0.04,0.118,0.047
"P54","Ni buena ni mala",0.316,0.076,0.157,0.118
"P54","Mala",0.154,0.17,0.096,0.1
"P54","Muy mala",0.484,0.569,0.506,0.7
"P54","No sabe",0.006,0.006,0,0.002
"P55","Muy buena",0,0.012,0.097,0.013
"P55","Buena",0,0.019,0.037,0.013
"P55","Ni buena ni mala",0.47,0.083,0.101,0.059
"P55","Mala",0.045,0.27,0.312,0.134
"P55","Muy mala",0.461,0.61,0.453,0.778
"P55","No sabe",0.024,0.006,0,0.003
"P56","Muy buena",0.101,0.012,0.043,0
"P56","Buena",0,0.009,0.091,0.009
"P56","Ni buena ni mala",0.291,0.078,0.109,0.035
"P56","Mala",0.155,0.264,0.312,0.172
"P56","Muy mala",0.447,0.631,0.445,0.782
"P56","No sabe",0.006,0.006,0,0.002
"P57","Muy buena",0.21,0.291,0.271,0.478
"P57","Buena",0.397,0.212,0.172,0.282
"P57","Ni buena ni mala",0.147,0.215,0.132,0.122
"P57","Mala",0.056,0.168,0.339,0.055
"P57","Muy mala",0.026,0.076,0.07,0.057
"P57","No sabe",0.164,0.038,0.016,0.006
"P58","Muy buena",0.126,0.11,0.025,0.113
"P58","Buena",0.191,0.212,0.245,0.104
"P58","Ni buena ni mala",0.315,0.352,0.268,0.384
"P58","Mala",0.045,0.148,0.275,0.214
"P58","Muy mala",0.153,0.11,0.168,0.164
"P58","No sabe",0.17,0.068,0.019,0.021
"P59","Muy buena",0,0.002,0.101,0.048
"P59","Buena",0.024,0.1,0.149,0.011
"P59","Ni buena ni mala",0.428,0.336,0.215,0.141
"P59","Mala",0.079,0.196,0.153,0.157
"P59","Muy mala",0.35,0.285,0.347,0.614
"P59","No sabe",0.119,0.081,0.035,0.029
"P60","Siempre",0.247,0.307,0.237,0.3
"P60","Casi siempre",0.282,0.389,0.529,0.425
"P60","Casi nunca",0.366,0.231,0.145,0.235
"P60","Nunca, pero esta es una excepción",0.105,0.073,0.089,0.04
"P61","Si",0.454,0.587,0.706,0.619
"P61","No",0.546,0.413,0.294,0.381
