"var","categoria","Siempre","Casi siempre","Casi nunca","Nunca, pero esta es una excepción"
"P38","En blanco",0.085,0.094,0.089,0.126
"P38","No sabe",0.09,0.109,0.11,0.228
"P39","Victoria Tolosa Paz por Unión por la Patria",0.24,0.284,0.189,0.235
"P39","Diego Santilli por Juntos por el Cambio",0.353,0.288,0.319,0.179
"P39","Guillermo Britos por la Libertad Avanza",0.179,0.159,0.226,0.111
"P39","Al candidato del Frente de Izquierda",0.041,0.064,0.047,0.104
"P39","En blanco",0.096,0.096,0.09,0.177
"P39","No sabe",0.091,0.109,0.129,0.194
"P40","Lo votaría",0.386,0.415,0.323,0.471
"P40","Puede que lo vote",0.059,0.071,0.054,0.07
"P40","Nunca lo votaría",0.528,0.485,0.597,0.399
"P40","No sabe",0.027,0.029,0.026,0.06
"P41","La votaría",0.174,0.187,0.103,0.166
"P41","Puede que la vote",0.134,0.207,0.179,0.195
"P41","Nunca la votaría",0.652,0.555,0.657,0.523
"P41","No sabe",0.04,0.051,0.061,0.116
"P42","Lo votaría",0.317,0.236,0.262,0.148
"P42","Puede que lo vote",0.118,0.159,0.185,0.168
"P42","Nunca lo votaría",0.513,0.547,0.458,0.538
"P42","No sabe",0.052,0.058,0.095,0.146
"P43","Lo votaría",0.327,0.212,0.238,0.104
"P43","Puede que lo vote",0.152,0.204,0.187,0.203
"P43","Nunca lo votaría",0.487,0.544,0.526,0.57
"P43","No sabe",0.034,0.04,0.049,0.123
"P44","Lo votaría",0.188,0.125,0.179,0.063
"P44","Puede que lo vote",0.138,0.152,0.172,0.063
"P44","Nunca lo votaría",0.615,0.656,0.563,0.68
"P44","No sabe",0.059,0.067,0.086,0.194
"P45","Muy buena",0.354,0.333,0.24,0.396
"P45","Buena",0.055,0.083,0.073,0.081
"P45","Ni buena ni mala",0.104,0.124,0.152,0.174
"P45","Mala",0.06,0.093,0.091,0.101
"P45","Muy mala",0.419,0.357,0.43,0.221
"P45","No sabe",0.008,0.01,0.014,0.027
"P46","Muy buena",0.099,0.118,0.069,0.12
"P46","Buena",0.129,0.145,0.115,0.107
"P46","Ni buena ni mala",0.169,0.204,0.194,0.235
"P46","Mala",0.122,0.164,0.176,0.158
"P46","Muy mala",0.466,0.345,0.414,0.234
"P46","No sabe",0.015,0.024,0.032,0.146
"P47","Muy buena",0.171,0.118,0.133,0.1
"P47","Buena",0.146,0.201,0.178,0.079
"P47","Ni buena ni mala",0.179,0.245,0.291,0.162
"P47","Mala",0.162,0.149,0.106,0.208
"P47","Muy mala",0.261,0.22,0.204,0.272
"P47","No sabe",0.081,0.067,0.088,0.179
"P48","Muy buena",0.208,0.142,0.139,0.077
"P48","Buena",0.185,0.205,0.203,0.099
"P48","Ni buena ni mala",0.184,0.2,0.237,0.22
"P48","Mala",0.164,0.185,0.167,0.216
"P48","Muy mala",0.243,0.232,0.204,0.237
"P48","No sabe",0.016,0.036,0.05,0.151
"P49","Muy buena",0.125,0.061,0.078,0.032
"P49","Buena",0.101,0.139,0.101,0.043
"P49","Ni buena ni mala",0.247,0.276,0.413,0.122
"P49","Mala",0.13,0.131,0.1,0.277
"P49","Muy mala",0.275,0.264,0.183,0.243
"P49","No sabe",0.122,0.129,0.125,0.283
"P51","Si",0.759,0.482,0.41,0.264
"P51","No",0.241,0.518,0.59,0.736
