"var","categoria","Sergio Massa por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P39","No sabe",0.113,0.032,0.249,0.232,0.395
"P40","Mauricio Macri por Juntos por el Cambio",0.123,0.836,0.062,0.075,0.153
"P40","Javier Milei por los liberales libertarios",0.062,0.127,0.858,0.126,0.124
"P40","No sabe",0.815,0.037,0.08,0.799,0.723
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.123,0.785,0.093,0.186,0.256
"P41","Javier Milei por los liberales libertarios",0.06,0.116,0.864,0.06,0.088
"P41","No sabe",0.817,0.099,0.043,0.754,0.656
"P42","Patricia Bullrich por Juntos por el Cambio",0.047,0.884,0.151,0.118,0.269
"P42","Javier Milei por los liberales libertarios",0.082,0.066,0.779,0.103,0.078
"P42","No sabe",0.871,0.05,0.07,0.779,0.653
"P43","Muy buena",0.11,0.109,0.018,0.103,0.102
"P43","Buena",0.351,0.022,0.102,0.128,0.11
"P43","Ni buena ni mala",0.408,0.02,0.032,0.324,0.279
"P43","Mala",0.088,0.082,0.09,0.295,0.153
"P43","Muy mala",0.042,0.764,0.752,0.145,0.349
"P43","No sabe",0.001,0.003,0.006,0.005,0.007
"P44","Muy buena",0.132,0.018,0.006,0.011,0.062
"P44","Buena",0.36,0.011,0.012,0.137,0.116
"P44","Ni buena ni mala",0.362,0.015,0.059,0.295,0.234
"P44","Mala",0.09,0.094,0.092,0.411,0.165
"P44","Muy mala",0.052,0.853,0.829,0.141,0.415
"P44","No sabe",0.004,0.009,0.002,0.005,0.008
"P45","Muy buena",0.62,0.023,0.026,0.41,0.282
"P45","Buena",0.173,0.006,0.015,0.175,0.069
"P45","Ni buena ni mala",0.092,0.014,0.019,0.13,0.095
"P45","Mala",0.051,0.034,0.049,0.126,0.094
"P45","Muy mala",0.061,0.916,0.889,0.159,0.444
"P45","No sabe",0.003,0.007,0.002,0,0.016
"P46","Muy buena",0.072,0.39,0.046,0.071,0.051
"P46","Buena",0.041,0.324,0.191,0.059,0.07
"P46","Ni buena ni mala",0.048,0.141,0.283,0.079,0.235
"P46","Mala",0.166,0.036,0.207,0.078,0.148
"P46","Muy mala",0.668,0.104,0.262,0.668,0.477
"P46","No sabe",0.005,0.005,0.011,0.045,0.019
"P47","Muy buena",0.026,0.268,0.061,0.027,0.069
"P47","Buena",0.044,0.412,0.222,0.094,0.162
"P47","Ni buena ni mala",0.126,0.225,0.247,0.073,0.217
"P47","Mala",0.257,0.048,0.177,0.262,0.116
"P47","Muy mala",0.528,0.036,0.277,0.544,0.375
"P47","No sabe",0.019,0.011,0.016,0,0.061
"P48","Muy buena",0.235,0.047,0.02,0.02,0.021
"P48","Buena",0.393,0.08,0.062,0.094,0.107
"P48","Ni buena ni mala",0.237,0.079,0.092,0.328,0.263
"P48","Mala",0.061,0.17,0.189,0.269,0.174
"P48","Muy mala",0.063,0.617,0.612,0.274,0.377
"P48","No sabe",0.011,0.007,0.025,0.015,0.058
"P49","Muy buena",0.031,0.53,0.248,0.013,0.101
"P49","Buena",0.066,0.263,0.26,0.015,0.128
"P49","Ni buena ni mala",0.07,0.091,0.236,0.101,0.205
"P49","Mala",0.13,0.035,0.085,0.174,0.068
"P49","Muy mala",0.691,0.074,0.161,0.696,0.427
"P49","No sabe",0.012,0.007,0.01,0.001,0.071
"P50","Muy buena",0.01,0.121,0.522,0.005,0.036
"P50","Buena",0.023,0.192,0.292,0.012,0.049
"P50","Ni buena ni mala",0.097,0.365,0.111,0.075,0.253
"P50","Mala",0.16,0.166,0.015,0.074,0.15
"P50","Muy mala",0.681,0.129,0.054,0.834,0.433
"P50","No sabe",0.029,0.027,0.006,0,0.079
"P51","Muy buena",0.01,0.271,0.127,0.007,0.052
"P51","Buena",0.03,0.409,0.231,0.089,0.174
"P51","Ni buena ni mala",0.075,0.214,0.25,0.087,0.192
"P51","Mala",0.168,0.048,0.156,0.214,0.097
"P51","Muy mala",0.697,0.038,0.23,0.603,0.416
"P51","No sabe",0.02,0.02,0.006,0,0.069
"P52","Muy buena",0.032,0.093,0.072,0.006,0.085
"P52","Buena",0.096,0.201,0.144,0.07,0.128
"P52","Ni buena ni mala",0.403,0.371,0.343,0.454,0.323
"P52","Mala",0.161,0.163,0.124,0.256,0.127
"P52","Muy mala",0.253,0.131,0.233,0.205,0.226
"P52","No sabe",0.055,0.041,0.084,0.009,0.111
"P53","Siempre",0.344,0.33,0.308,0.185,0.235
"P53","Casi siempre",0.399,0.441,0.338,0.605,0.464
"P53","Casi nunca",0.168,0.166,0.269,0.099,0.21
"P53","Nunca, pero esta es una excepción",0.089,0.063,0.085,0.111,0.091
"P54","Si",0.578,0.583,0.63,0.571,0.598
"P54","No",0.422,0.417,0.37,0.429,0.402
