"var","categoria","Sergio Massa por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P42","Javier Milei por los liberales libertarios",0.089,0.051,0.893,0.054,0.075
"P42","No sabe",0.825,0.076,0.06,0.846,0.754
"P43","Muy buena",0.115,0.11,0.017,0.099,0.069
"P43","Buena",0.349,0.015,0.103,0.104,0.15
"P43","Ni buena ni mala",0.371,0.036,0.031,0.399,0.309
"P43","Mala",0.101,0.072,0.103,0.288,0.148
"P43","Muy mala",0.062,0.764,0.739,0.11,0.307
"P43","No sabe",0.002,0.003,0.007,0,0.017
"P44","Muy buena",0.111,0.018,0.018,0.044,0.071
"P44","Buena",0.357,0.015,0.006,0.119,0.123
"P44","Ni buena ni mala",0.33,0.03,0.058,0.328,0.264
"P44","Mala",0.125,0.079,0.105,0.415,0.149
"P44","Muy mala",0.068,0.853,0.811,0.094,0.382
"P44","No sabe",0.009,0.005,0.002,0,0.011
"P45","Muy buena",0.597,0.033,0.034,0.478,0.273
"P45","Buena",0.156,0.011,0.011,0.18,0.094
"P45","Ni buena ni mala",0.092,0.021,0.014,0.083,0.123
"P45","Mala",0.053,0.035,0.058,0.129,0.077
"P45","Muy mala",0.097,0.897,0.883,0.13,0.396
"P45","No sabe",0.005,0.003,0,0,0.037
"P46","Muy buena",0.068,0.332,0.058,0.064,0.082
"P46","Buena",0.052,0.32,0.166,0.012,0.043
"P46","Ni buena ni mala",0.063,0.173,0.279,0.079,0.2
"P46","Mala",0.155,0.053,0.216,0.119,0.139
"P46","Muy mala",0.654,0.119,0.272,0.726,0.496
"P46","No sabe",0.008,0.003,0.009,0,0.04
"P47","Muy buena",0.033,0.232,0.067,0.023,0.082
"P47","Buena",0.069,0.38,0.216,0.029,0.176
"P47","Ni buena ni mala",0.127,0.25,0.202,0.078,0.218
"P47","Mala",0.217,0.078,0.192,0.343,0.118
"P47","Muy mala",0.541,0.051,0.308,0.513,0.328
"P47","No sabe",0.013,0.009,0.015,0.014,0.078
"P48","Muy buena",0.227,0.037,0.034,0.023,0.013
"P48","Buena",0.392,0.08,0.048,0.065,0.107
"P48","Ni buena ni mala",0.246,0.076,0.103,0.374,0.269
"P48","Mala",0.055,0.184,0.189,0.266,0.164
"P48","Muy mala",0.079,0.618,0.601,0.256,0.352
"P48","No sabe",0.001,0.005,0.025,0.016,0.095
"P49","Muy buena",0.033,0.56,0.16,0,0.028
"P49","Buena",0.077,0.261,0.261,0.011,0.094
"P49","Ni buena ni mala",0.078,0.065,0.279,0.082,0.267
"P49","Mala",0.107,0.021,0.12,0.209,0.107
"P49","Muy mala",0.695,0.085,0.169,0.697,0.408
"P49","No sabe",0.01,0.008,0.011,0.001,0.096
"P50","Muy buena",0.006,0.158,0.509,0,0.028
"P50","Buena",0.038,0.19,0.279,0.011,0.037
"P50","Ni buena ni mala",0.106,0.342,0.119,0.018,0.258
"P50","Mala",0.139,0.155,0.014,0.149,0.161
"P50","Muy mala",0.694,0.126,0.077,0.822,0.408
"P50","No sabe",0.017,0.029,0.002,0,0.108
"P51","Muy buena",0.017,0.251,0.116,0,0.061
"P51","Buena",0.058,0.383,0.226,0.073,0.135
"P51","Ni buena ni mala",0.087,0.22,0.232,0.04,0.201
"P51","Mala",0.144,0.07,0.156,0.26,0.101
"P51","Muy mala",0.674,0.061,0.266,0.627,0.396
"P51","No sabe",0.02,0.015,0.004,0,0.106
