"var","categoria","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos","Javier Milei presidente – José Luis Espert por los liberales","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda","Otro candidato"
"P45","En desacuerdo",0.196,0.051,0.182,0.19,0.129
"P45","Muy en desacuerdo",0.291,0.038,0.439,0.11,0.209
"P45","No sabe",0.027,0.026,0.038,0.015,0.056
"P46","Si",0.12,0.62,0.065,0.279,0.279
"P46","No",0.648,0.148,0.744,0.318,0.417
"P46","No sabe",0.232,0.232,0.191,0.403,0.304
"P47","Muy buena",0.044,0.253,0.009,0.059,0.04
"P47","Buena",0.085,0.374,0.069,0.178,0.135
"P47","Ni buena ni mala",0.086,0.239,0.061,0.293,0.23
"P47","Mala",0.146,0.068,0.122,0.25,0.179
"P47","Muy mala",0.637,0.058,0.735,0.22,0.401
"P47","No sabe",0.002,0.008,0.004,0,0.015
"P48","Muy buena",0.053,0.618,0.015,0.342,0.246
"P48","Buena",0.026,0.168,0.017,0.15,0.075
"P48","Ni buena ni mala",0.034,0.086,0.037,0.126,0.092
"P48","Mala",0.09,0.031,0.062,0.16,0.096
"P48","Muy mala",0.794,0.094,0.867,0.214,0.464
"P48","No sabe",0.003,0.003,0.002,0.008,0.027
"P49","Muy buena",0.292,0.088,0.131,0.036,0.13
"P49","Buena",0.279,0.045,0.233,0.052,0.135
"P49","Ni buena ni mala",0.171,0.079,0.232,0.078,0.136
"P49","Mala",0.089,0.213,0.18,0.153,0.145
"P49","Muy mala",0.164,0.562,0.214,0.661,0.423
"P49","No sabe",0.005,0.013,0.01,0.02,0.031
"P50","Muy buena",0.344,0.053,0.069,0.026,0.044
"P50","Buena",0.393,0.07,0.195,0.04,0.139
"P50","Ni buena ni mala",0.148,0.17,0.303,0.183,0.273
"P50","Mala",0.043,0.216,0.177,0.221,0.184
"P50","Muy mala",0.061,0.449,0.239,0.462,0.29
"P50","No sabe",0.011,0.042,0.017,0.068,0.07
"P51","Muy buena",0.051,0.199,0.02,0.096,0.065
"P51","Buena",0.08,0.359,0.045,0.15,0.159
"P51","Ni buena ni mala",0.139,0.287,0.139,0.39,0.219
"P51","Mala",0.204,0.069,0.163,0.174,0.158
"P51","Muy mala",0.52,0.065,0.621,0.167,0.345
"P51","No sabe",0.006,0.021,0.012,0.023,0.054
"P52","Muy buena",0.454,0.075,0.323,0.033,0.202
"P52","Buena",0.241,0.048,0.258,0.036,0.119
"P52","Ni buena ni mala",0.12,0.128,0.195,0.083,0.148
"P52","Mala",0.074,0.15,0.083,0.193,0.105
"P52","Muy mala",0.104,0.565,0.127,0.61,0.37
"P52","No sabe",0.007,0.034,0.014,0.045,0.056
"P53","Muy buena",0.072,0.042,0.584,0.016,0.034
"P53","Buena",0.161,0.043,0.263,0.026,0.078
"P53","Ni buena ni mala",0.378,0.139,0.109,0.115,0.256
"P53","Mala",0.177,0.16,0.023,0.154,0.162
"P53","Muy mala",0.194,0.565,0.014,0.63,0.398
"P53","No sabe",0.018,0.051,0.007,0.059,0.072
"P54","Muy buena",0.355,0.053,0.159,0.022,0.105
"P54","Buena",0.327,0.055,0.243,0.051,0.145
"P54","Ni buena ni mala",0.151,0.112,0.231,0.166,0.182
"P54","Mala",0.064,0.183,0.15,0.175,0.131
"P54","Muy mala",0.093,0.58,0.206,0.561,0.381
"P54","No sabe",0.01,0.017,0.011,0.025,0.056
"P55","Muy buena",0.042,0.181,0.014,0.022,0.031
"P55","Buena",0.065,0.392,0.034,0.116,0.146
"P55","Ni buena ni mala",0.115,0.263,0.117,0.445,0.251
"P55","Mala",0.224,0.07,0.169,0.169,0.152
"P55","Muy mala",0.54,0.074,0.651,0.239,0.373
"P55","No sabe",0.014,0.02,0.015,0.009,0.047
"P56","Muy buena",0.169,0.033,0.101,0.058,0.078
"P56","Buena",0.268,0.107,0.161,0.087,0.118
"P56","Ni buena ni mala",0.351,0.367,0.306,0.303,0.356
"P56","Mala",0.085,0.178,0.132,0.196,0.14
"P56","Muy mala",0.087,0.197,0.236,0.241,0.189
"P56","No sabe",0.04,0.118,0.064,0.115,0.119
"P57","Muy buena",0.127,0.03,0.03,0.013,0.023
"P57","Buena",0.264,0.05,0.088,0.053,0.093
"P57","Ni buena ni mala",0.393,0.245,0.364,0.247,0.293
"P57","Mala",0.085,0.17,0.149,0.134,0.172
"P57","Muy mala",0.083,0.393,0.272,0.394,0.293
"P57","No sabe",0.048,0.112,0.097,0.159,0.126
