"var","categoria","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P39","Agustín Rossi por el Frente de Todos",0.862,0.012,0.054,0.039,0.439,0.108,0.173
"P39","Patricia Bullrich por Juntos por el Cambio",0.025,0.888,0.79,0.525,0.112,0.234,0.251
"P39","En blanco",0.066,0.049,0.088,0.29,0.384,0.558,0.138
"P39","No sabe",0.047,0.051,0.068,0.146,0.065,0.1,0.438
"P40","Daniel Scioli por el Frente de Todos",0.877,0.01,0.092,0.027,0.455,0.149,0.315
"P40","Patricia Bullrich por Juntos por el Cambio",0.022,0.968,0.774,0.61,0.151,0.249,0.231
"P40","En blanco",0.058,0.011,0.061,0.259,0.332,0.507,0.133
"P40","No sabe",0.043,0.011,0.073,0.104,0.062,0.095,0.321
"P41","Lo votaría",0.506,0.19,0.188,0.151,0.112,0.14,0.098
"P41","Puede que lo vote",0.367,0.06,0.114,0.062,0.26,0.083,0.173
"P41","Nunca lo votaría",0.081,0.722,0.651,0.719,0.479,0.646,0.5
"P41","No sabe",0.046,0.028,0.047,0.068,0.149,0.131,0.229
"P42","Lo votaría",0.082,0.855,0.358,0.212,0.07,0.093,0.149
"P42","Puede que lo vote",0.05,0.057,0.384,0.404,0.111,0.114,0.112
"P42","Nunca lo votaría",0.842,0.087,0.225,0.336,0.749,0.695,0.624
"P42","No sabe",0.026,0.001,0.033,0.048,0.07,0.098,0.115
"P43","Lo votaría",0.035,0.3,0.149,0.77,0.015,0.08,0.043
"P43","Puede que lo vote",0.027,0.387,0.348,0.144,0.148,0.158,0.135
"P43","Nunca lo votaría",0.912,0.266,0.467,0.074,0.831,0.655,0.704
"P43","No sabe",0.026,0.047,0.036,0.012,0.006,0.107,0.118
"P44","Lo votaría",0.027,0.33,0.744,0.138,0.016,0.045,0.035
"P44","Puede que lo vote",0.087,0.426,0.172,0.185,0.152,0.175,0.176
"P44","Nunca lo votaría",0.845,0.208,0.071,0.631,0.819,0.675,0.639
"P44","No sabe",0.041,0.036,0.013,0.046,0.013,0.105,0.15
"P45","Lo votaría",0.462,0.065,0.19,0.037,0.102,0.121,0.16
"P45","Puede que lo vote",0.262,0.125,0.121,0.064,0.25,0.081,0.204
"P45","Nunca lo votaría",0.246,0.792,0.663,0.861,0.545,0.685,0.445
"P45","No sabe",0.03,0.018,0.026,0.038,0.103,0.113,0.191
"P46","Lo votaría",0.548,0.021,0.026,0.014,0.246,0.05,0.047
"P46","Puede que lo vote",0.312,0.027,0.061,0.016,0.194,0.213,0.259
"P46","Nunca lo votaría",0.103,0.927,0.874,0.923,0.473,0.703,0.5
"P46","No sabe",0.037,0.025,0.039,0.047,0.087,0.034,0.194
"P47","Lo votaría",0.13,0.095,0.2,0.045,0.148,0.14,0.075
"P47","Puede que lo vote",0.259,0.278,0.318,0.165,0.296,0.145,0.159
"P47","Nunca lo votaría",0.513,0.567,0.42,0.718,0.495,0.619,0.579
"P47","No sabe",0.098,0.06,0.062,0.072,0.061,0.096,0.187
"P48","Lo votaría",0.802,0.026,0.046,0.027,0.301,0.08,0.171
"P48","Puede que lo vote",0.1,0.043,0.08,0.056,0.189,0.19,0.254
"P48","Nunca lo votaría",0.082,0.918,0.844,0.88,0.425,0.69,0.481
"P48","No sabe",0.016,0.013,0.03,0.037,0.085,0.04,0.094
"P49","Si",0.67,0.571,0.573,0.539,0.665,0.513,0.518
"P49","No",0.33,0.429,0.427,0.461,0.335,0.487,0.482
