"var","categoria","Javier Milei por la Libertad Avanza","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","Sergio Massa  por el Frente de Todos","Facundo Manes por Juntos por el Cambio","Gerardo Morales por Juntos por el Cambio","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P33","En blanco",0.397,0.059,0.158,0.119,0.139,0.206,0.311,0.634,0.145
"P33","No sabe",0.193,0.037,0.1,0.051,0.187,0.158,0.238,0.119,0.46
"P34","Agustín Rossi por el Frente de Todos",0.064,0.051,0.049,0.745,0.159,0.097,0.425,0.268,0.294
"P34","Patricia Bullrich por Juntos por el Cambio",0.519,0.764,0.89,0.069,0.514,0.466,0.1,0.068,0.174
"P34","En blanco",0.263,0.111,0.03,0.108,0.148,0.219,0.252,0.576,0.126
"P34","No sabe",0.154,0.074,0.031,0.078,0.179,0.218,0.223,0.088,0.406
"P35","Daniel Scioli por el Frente de Todos",0.074,0.063,0.046,0.787,0.177,0.151,0.403,0.333,0.338
"P35","Patricia Bullrich por Juntos por el Cambio",0.579,0.763,0.929,0.083,0.566,0.476,0.143,0.081,0.16
"P35","En blanco",0.227,0.103,0.008,0.075,0.153,0.216,0.278,0.513,0.119
"P35","No sabe",0.12,0.071,0.017,0.055,0.104,0.157,0.176,0.073,0.383
"P36","Lo votaría",0.128,0.121,0.16,0.538,0.067,0.096,0.115,0.056,0.119
"P36","Puede que lo vote",0.075,0.155,0.071,0.311,0.352,0.134,0.27,0.188,0.198
"P36","Nunca lo votaría",0.736,0.669,0.736,0.101,0.497,0.681,0.408,0.672,0.366
"P36","No sabe",0.061,0.055,0.033,0.05,0.084,0.089,0.207,0.084,0.317
"P37","Lo votaría",0.208,0.427,0.809,0.101,0.29,0.27,0.085,0.043,0.089
"P37","Puede que lo vote",0.408,0.283,0.084,0.073,0.24,0.24,0.088,0.098,0.123
"P37","Nunca lo votaría",0.319,0.252,0.098,0.779,0.391,0.384,0.743,0.79,0.622
"P37","No sabe",0.065,0.038,0.009,0.047,0.079,0.106,0.084,0.069,0.166
"P38","Lo votaría",0.806,0.181,0.261,0.088,0.222,0.1,0.055,0.057,0.053
"P38","Puede que lo vote",0.102,0.329,0.386,0.051,0.217,0.149,0.06,0.092,0.125
"P38","Nunca lo votaría",0.073,0.432,0.283,0.826,0.516,0.646,0.814,0.823,0.683
"P38","No sabe",0.019,0.058,0.07,0.035,0.045,0.105,0.071,0.028,0.139
"P39","Lo votaría",0.131,0.672,0.279,0.055,0.23,0.286,0.049,0.051,0.034
"P39","Puede que lo vote",0.219,0.187,0.41,0.104,0.297,0.287,0.117,0.07,0.143
"P39","Nunca lo votaría",0.586,0.117,0.261,0.79,0.401,0.362,0.753,0.783,0.637
"P39","No sabe",0.064,0.024,0.05,0.051,0.072,0.065,0.081,0.096,0.186
"P40","Lo votaría",0.041,0.169,0.068,0.461,0.133,0.104,0.104,0.163,0.16
"P40","Puede que lo vote",0.071,0.093,0.101,0.239,0.2,0.123,0.242,0.185,0.237
"P40","Nunca lo votaría",0.84,0.71,0.804,0.261,0.583,0.698,0.518,0.568,0.387
"P40","No sabe",0.048,0.028,0.027,0.039,0.084,0.075,0.136,0.084,0.216
"P41","Lo votaría",0.03,0.038,0.038,0.47,0.073,0.065,0.168,0.223,0.177
"P41","Puede que lo vote",0.035,0.055,0.045,0.276,0.141,0.108,0.248,0.166,0.202
"P41","Nunca lo votaría",0.868,0.868,0.885,0.2,0.701,0.74,0.464,0.538,0.41
"P41","No sabe",0.067,0.039,0.032,0.054,0.085,0.087,0.12,0.073,0.211
"P42","Lo votaría",0.048,0.11,0.083,0.101,0.466,0.233,0.109,0.088,0.054
"P42","Puede que lo vote",0.181,0.299,0.288,0.232,0.198,0.284,0.183,0.127,0.197
"P42","Nunca lo votaría",0.667,0.498,0.55,0.572,0.287,0.373,0.589,0.641,0.502
"P42","No sabe",0.104,0.093,0.079,0.095,0.049,0.11,0.119,0.144,0.247
"P43","Lo votaría",0.036,0.051,0.048,0.662,0.142,0.119,0.345,0.369,0.359
"P43","Puede que lo vote",0.049,0.077,0.044,0.113,0.142,0.113,0.164,0.098,0.107
"P43","Nunca lo votaría",0.869,0.842,0.887,0.191,0.671,0.737,0.41,0.43,0.388
"P43","No sabe",0.046,0.03,0.021,0.034,0.045,0.031,0.081,0.103,0.146
"P44","Si",0.541,0.573,0.593,0.636,0.551,0.538,0.573,0.502,0.548
"P44","No",0.459,0.427,0.407,0.364,0.449,0.462,0.427,0.498,0.452
