"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe"
"P46","Nunca lo votaría",0.466,0.327,0.3,0.453,0.504,0.184
"P46","No sabe",0.035,0.006,0.011,0.006,0.003,0.532
"P47","Lo votaría",0.611,0.307,0.278,0.101,0.202,0
"P47","Puede que lo vote",0.133,0.224,0.218,0.229,0.073,0.102
"P47","Nunca lo votaría",0.214,0.461,0.492,0.665,0.725,0.178
"P47","No sabe",0.042,0.008,0.012,0.005,0,0.72
"P48","Lo votaría",0.22,0.338,0.382,0.231,0.264,0.051
"P48","Puede que lo vote",0.11,0.216,0.268,0.217,0.121,0.102
"P48","Nunca lo votaría",0.63,0.438,0.342,0.549,0.613,0.128
"P48","No sabe",0.04,0.008,0.008,0.003,0.002,0.719
"P49","Lo votaría",0.102,0.101,0.133,0.154,0.106,0
"P49","Puede que lo vote",0.265,0.283,0.272,0.269,0.116,0.104
"P49","Nunca lo votaría",0.62,0.604,0.542,0.571,0.775,0.18
"P49","No sabe",0.013,0.012,0.053,0.006,0.003,0.716
"P50","Lo votaría",0.138,0.088,0.084,0.078,0.128,0.041
"P50","Puede que lo vote",0.267,0.19,0.175,0.203,0.155,0.115
"P50","Nunca lo votaría",0.585,0.707,0.71,0.717,0.71,0.128
"P50","No sabe",0.01,0.015,0.031,0.002,0.007,0.716
"P51","Luis Juez gobernador – Rodrigo De Loredo intendente por Juntos por el Cambio",0.194,0.413,0.624,0.46,0.37,0.053
"P51","Martín Llaryora gobernador – Daniel Passerini intendente por Hacemos por Córdoba",0.675,0.349,0.166,0.151,0.21,0.19
"P51","A los candidatos a gobernador e intendente del Frente de Todos",0.029,0.066,0.08,0.142,0.181,0
"P51","A los candidatos a gobernador e intendente de los liberales libertarios con el apoyo de Ja-vier Milei",0.042,0.059,0.038,0.087,0.068,0
"P51","A Aurelio García Elorrio gobernador – Juan Pablo Quinteros intendente por Encuentro Veci-nal Córdoba",0.024,0.059,0.041,0.048,0.035,0.041
"P51","A los candidatos a gobernador e intendente del Frente de Izquierda",0.014,0.005,0.018,0.036,0.063,0
"P51","Votaría en blanco",0,0.018,0.003,0.02,0.038,0
"P51","No sabe",0.022,0.031,0.03,0.056,0.035,0.716
"P52","Rodrigo De Loredo gobernador – Luis Juez intendente por Juntos por el Cambio",0.186,0.386,0.543,0.345,0.322,0.053
"P52","Martín Llaryora gobernador – Daniel Passerini intendente por Hacemos por Córdoba",0.679,0.35,0.167,0.121,0.218,0.126
"P52","A los candidatos a gobernador e intendente del Frente de Todos",0.029,0.062,0.054,0.179,0.18,0.041
"P52","A los candidatos a gobernador e intendente de los liberales libertarios con el apoyo de Ja-vier Milei",0.031,0.07,0.066,0.098,0.074,0.064
"P52","A Aurelio García Elorrio gobernador – Juan Pablo Quinteros intendente por Encuentro Veci-nal Córdoba",0.018,0.055,0.083,0.094,0.03,0
"P52","A los candidatos a gobernador e intendente del Frente de Izquierda",0.011,0,0.01,0.035,0.064,0
"P52","Votaría en blanco",0.003,0.022,0.006,0.024,0.044,0
"P52","No sabe",0.043,0.055,0.071,0.104,0.068,0.716
