"var","categoria","Wado de Pedro por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P36","Nicolás del Caño por la izquierda",0.031,0,0.001,0.608,0.012,0.014
"P36","Otro candidato",0.093,0.027,0.013,0.055,0.587,0.088
"P36","Aún no lo tengo decidido",0.048,0.01,0.013,0.022,0.144,0.586
"P38","Wado de Pedro por el Frente de Todos",0.916,0.008,0.021,0,0.043,0.076
"P38","Patricia Bullrich por Juntos por el Cambio",0.012,0.875,0.153,0.081,0.246,0.097
"P38","Javier Milei por los liberales libertarios",0.006,0.045,0.811,0.112,0.006,0.031
"P38","Nicolás del Caño por la izquierda",0.002,0.001,0,0.64,0.017,0.005
"P38","Otro candidato",0.038,0.027,0.006,0.167,0.569,0.071
"P38","Aún no lo tengo decidido",0.026,0.044,0.009,0,0.119,0.72
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.906,0.028,0.006,0.189,0.241,0.302
"P39","Patricia Bullrich por Juntos por el Cambio",0.01,0.856,0.171,0.183,0.253,0.127
"P39","Javier Milei por los liberales libertarios",0.004,0.055,0.817,0.037,0.011,0.035
"P39","Nicolás del Caño por la izquierda",0.004,0,0,0.458,0.015,0
"P39","Otro candidato",0.039,0.034,0,0.022,0.404,0.077
"P39","Aún no lo tengo decidido",0.037,0.027,0.006,0.111,0.076,0.459
"P40","Cristina Fernández de Kirchner por el Frente de Todos",0.85,0.111,0.071,0.434,0.2,0.415
"P40","Mauricio Macri por Juntos por el Cambio",0.117,0.875,0.493,0.049,0.274,0.114
"P40","No sabe",0.033,0.014,0.436,0.517,0.526,0.471
"P41","Wado de Pedro por el Frente de Todos",0.967,0.033,0.028,0.282,0.074,0.131
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.02,0.818,0.464,0.403,0.4,0.174
"P41","No sabe",0.013,0.149,0.508,0.315,0.526,0.695
"P42","Sergio Massa por el Frente de Todos",0.866,0.043,0.046,0.524,0.184,0.242
"P42","Patricia Bullrich por Juntos por el Cambio",0.02,0.92,0.621,0.097,0.363,0.214
"P42","No sabe",0.114,0.037,0.333,0.379,0.453,0.544
"P43","Sergio Massa por el Frente de Todos",0.865,0.039,0.025,0.409,0.292,0.324
"P43","Mauricio Macri por Juntos por el Cambio",0.021,0.931,0.668,0.101,0.222,0.109
"P43","No sabe",0.114,0.03,0.307,0.49,0.486,0.567
"P44","Sergio Massa por el Frente de Todos",0.865,0.031,0.027,0.531,0.231,0.313
"P44","Javier Milei por los liberales libertarios",0.027,0.547,0.89,0.228,0.172,0.105
"P44","No sabe",0.108,0.422,0.083,0.241,0.597,0.582
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.409,0.351,0.036,0.417,0.283,0.276
"P45","Javier Milei por los liberales libertarios",0.036,0.348,0.9,0.201,0.182,0.095
"P45","No sabe",0.555,0.301,0.064,0.382,0.535,0.629
"P46","Patricia Bullrich por Juntos por el Cambio",0.066,0.87,0.59,0.14,0.337,0.224
"P46","Wado de Pedro por el Frente de Todos",0.789,0.048,0.145,0.419,0.107,0.111
"P46","No sabe",0.145,0.082,0.265,0.441,0.556,0.665
"P47","Patricia Bullrich por Juntos por el Cambio",0.034,0.945,0.682,0.212,0.413,0.23
"P47","Cristina Fernández de Kirchner por el Frente de Todos",0.93,0.013,0.064,0.408,0.228,0.347
"P47","No sabe",0.036,0.042,0.254,0.38,0.359,0.423
"P48","Muy buena",0.122,0.116,0.043,0.06,0.086,0.064
"P48","Buena",0.468,0.003,0.047,0.164,0.073,0.076
"P48","Ni buena ni mala",0.289,0.013,0.068,0.46,0.17,0.196
"P48","Mala",0.111,0.057,0.045,0.127,0.157,0.227
"P48","Muy mala",0.01,0.809,0.795,0.163,0.483,0.353
"P48","No sabe",0,0.002,0.002,0.026,0.031,0.084
"P49","Muy buena",0.137,0.014,0.012,0.029,0.043,0.076
"P49","Buena",0.39,0.007,0.024,0.15,0.058,0.096
"P49","Ni buena ni mala",0.335,0.022,0.058,0.315,0.187,0.259
"P49","Mala",0.108,0.107,0.054,0.299,0.151,0.13
"P49","Muy mala",0.029,0.843,0.85,0.18,0.53,0.402
"P49","No sabe",0.001,0.007,0.002,0.027,0.031,0.037
"P50","Muy buena",0.709,0.015,0.036,0.186,0.188,0.161
"P50","Buena",0.158,0.002,0.02,0.217,0.046,0.113
"P50","Ni buena ni mala",0.094,0.011,0.058,0.154,0.085,0.182
"P50","Mala",0.017,0.051,0.019,0.122,0.091,0.08
"P50","Muy mala",0.021,0.919,0.867,0.295,0.59,0.408
"P50","No sabe",0.001,0.002,0,0.026,0,0.056
"P51","Muy buena",0.117,0.433,0.062,0.071,0.054,0.075
"P51","Buena",0.055,0.301,0.193,0.039,0.183,0.051
"P51","Ni buena ni mala",0.02,0.136,0.299,0.216,0.183,0.172
"P51","Mala",0.18,0.017,0.166,0.135,0.212,0.176
"P51","Muy mala",0.61,0.113,0.28,0.512,0.368,0.446
"P51","No sabe",0.018,0,0,0.027,0,0.08
"P52","Muy buena",0.013,0.363,0.117,0.201,0.063,0.133
"P52","Buena",0.027,0.313,0.151,0.081,0.203,0.157
"P52","Ni buena ni mala",0.088,0.234,0.264,0.041,0.319,0.182
"P52","Mala",0.198,0.047,0.18,0.183,0.171,0.148
"P52","Muy mala",0.657,0.036,0.284,0.468,0.225,0.275
"P52","No sabe",0.017,0.007,0.004,0.026,0.019,0.105
"P53","Muy buena",0.185,0.032,0.041,0.065,0.03,0.127
"P53","Buena",0.365,0.042,0.048,0.225,0.145,0.122
"P53","Ni buena ni mala",0.238,0.115,0.073,0.182,0.2,0.201
"P53","Mala",0.12,0.142,0.098,0.275,0.172,0.178
"P53","Muy mala",0.088,0.666,0.735,0.226,0.435,0.273
"P53","No sabe",0.004,0.003,0.005,0.027,0.018,0.099
"P54","Muy buena",0.058,0.492,0.268,0.055,0.167,0.133
"P54","Buena",0.051,0.307,0.232,0.011,0.187,0.097
"P54","Ni buena ni mala",0.114,0.092,0.2,0.11,0.141,0.202
"P54","Mala",0.11,0.023,0.095,0.247,0.169,0.116
"P54","Muy mala",0.662,0.08,0.165,0.577,0.336,0.351
"P54","No sabe",0.005,0.006,0.04,0,0,0.101
"P55","Muy buena",0.033,0.158,0.563,0,0.018,0.025
"P55","Buena",0.008,0.206,0.324,0.036,0.068,0.086
"P55","Ni buena ni mala",0.07,0.395,0.091,0.291,0.312,0.374
"P55","Mala",0.158,0.128,0.001,0.144,0.249,0.116
"P55","Muy mala",0.72,0.092,0.015,0.499,0.351,0.29
"P55","No sabe",0.011,0.021,0.006,0.03,0.002,0.109
"P56","Muy buena",0.005,0.381,0.165,0.179,0.062,0.073
"P56","Buena",0.017,0.353,0.23,0.036,0.193,0.103
"P56","Ni buena ni mala",0.049,0.149,0.22,0.194,0.235,0.22
"P56","Mala",0.195,0.077,0.174,0.061,0.152,0.163
"P56","Muy mala",0.729,0.031,0.204,0.5,0.345,0.37
"P56","No sabe",0.005,0.009,0.007,0.03,0.013,0.071
"P57","Muy buena",0.443,0.051,0.042,0.06,0.037,0.042
"P57","Buena",0.3,0.035,0.014,0.207,0.064,0.055
"P57","Ni buena ni mala",0.129,0.137,0.193,0.242,0.201,0.299
"P57","Mala",0.039,0.195,0.178,0.129,0.297,0.207
"P57","Muy mala",0.056,0.539,0.498,0.168,0.365,0.256
"P57","No sabe",0.033,0.043,0.075,0.194,0.036,0.141
"P58","Muy buena",0.093,0.056,0.083,0.235,0.099,0.07
