"var","categoria","A Horacio Rodriguez Larreta","A Mauricio Macri","A Patricia Bullrich","A Facundo Manes","A Gerardo Morales"
"P48","No sabe",0.003,0.017,0.006,0.012,0.02
"P49","Muy buena",0.023,0.024,0.013,0.196,0.116
"P49","Buena",0.026,0.005,0.006,0.105,0.067
"P49","Ni buena ni mala",0.027,0.018,0.01,0.037,0.161
"P49","Mala",0.049,0.036,0.053,0.065,0.025
"P49","Muy mala",0.868,0.916,0.915,0.579,0.631
"P49","No sabe",0.007,0.001,0.003,0.018,0
"P50","Muy buena",0.148,0.507,0.296,0.122,0.112
"P50","Buena",0.303,0.266,0.383,0.144,0.147
"P50","Ni buena ni mala",0.234,0.069,0.167,0.352,0.352
"P50","Mala",0.109,0.021,0.019,0.116,0.083
"P50","Muy mala",0.205,0.136,0.129,0.252,0.306
"P50","No sabe",0.001,0.001,0.006,0.014,0
"P51","Muy buena",0.515,0.254,0.213,0.135,0.068
"P51","Buena",0.303,0.427,0.408,0.27,0.266
"P51","Ni buena ni mala",0.096,0.235,0.238,0.25,0.34
"P51","Mala",0.047,0.042,0.063,0.104,0.09
"P51","Muy mala",0.022,0.038,0.067,0.238,0.151
"P51","No sabe",0.017,0.004,0.011,0.003,0.085
"P52","Muy buena",0.079,0.033,0.031,0.098,0.028
"P52","Buena",0.108,0.085,0.028,0.119,0.083
"P52","Ni buena ni mala",0.142,0.098,0.083,0.226,0.21
"P52","Mala",0.176,0.132,0.15,0.23,0.182
"P52","Muy mala",0.494,0.641,0.704,0.324,0.427
"P52","No sabe",0.001,0.011,0.004,0.003,0.07
"P53","Muy buena",0.263,0.519,0.743,0.222,0.263
"P53","Buena",0.289,0.233,0.156,0.236,0.304
"P53","Ni buena ni mala",0.244,0.1,0.024,0.317,0.142
"P53","Mala",0.061,0.044,0.019,0.088,0.059
"P53","Muy mala",0.128,0.097,0.058,0.134,0.147
"P53","No sabe",0.015,0.007,0,0.003,0.085
"P54","Muy buena",0.09,0.119,0.154,0.112,0.09
"P54","Buena",0.121,0.218,0.222,0.065,0.058
"P54","Ni buena ni mala",0.383,0.388,0.41,0.305,0.347
"P54","Mala",0.215,0.161,0.141,0.152,0.121
"P54","Muy mala",0.158,0.104,0.065,0.349,0.315
"P54","No sabe",0.033,0.01,0.008,0.017,0.069
"P55","Muy buena",0.332,0.346,0.331,0.149,0.19
"P55","Buena",0.308,0.364,0.402,0.295,0.281
"P55","Ni buena ni mala",0.194,0.214,0.178,0.264,0.127
"P55","Mala",0.103,0.043,0.048,0.034,0.066
"P55","Muy mala",0.045,0.03,0.038,0.256,0.251
"P55","No sabe",0.018,0.003,0.003,0.002,0.085
"P56","Muy buena",0.057,0.047,0.029,0.056,0.101
"P56","Buena",0.042,0.038,0.049,0.139,0.083
"P56","Ni buena ni mala",0.132,0.132,0.067,0.259,0.168
"P56","Mala",0.238,0.19,0.195,0.206,0.223
"P56","Muy mala",0.522,0.591,0.656,0.328,0.409
"P56","No sabe",0.009,0.002,0.004,0.012,0.016
"P57","Muy buena",0.068,0.062,0.039,0.495,0.116
"P57","Buena",0.145,0.073,0.129,0.211,0.335
"P57","Ni buena ni mala",0.385,0.259,0.284,0.171,0.307
"P57","Mala",0.152,0.217,0.22,0.082,0.18
"P57","Muy mala",0.213,0.366,0.29,0.028,0.046
"P57","No sabe",0.037,0.023,0.038,0.013,0.016
"P58","Muy buena",0.118,0.079,0.053,0.223,0.435
"P58","Buena",0.212,0.171,0.261,0.23,0.244
"P58","Ni buena ni mala",0.448,0.419,0.37,0.282,0.201
"P58","Mala",0.078,0.143,0.138,0.119,0.058
"P58","Muy mala",0.059,0.136,0.12,0.125,0.049
"P58","No sabe",0.085,0.052,0.058,0.021,0.013
"P59","Siempre",0.329,0.323,0.315,0.316,0.519
"P59","Casi siempre",0.339,0.413,0.458,0.38,0.311
"P59","Casi nunca",0.269,0.171,0.147,0.198,0.073
"P59","Nunca, pero esta es una excepción",0.063,0.093,0.08,0.106,0.097
"P60","Si",0.588,0.59,0.568,0.601,0.658
"P60","No",0.412,0.41,0.432,0.399,0.342
