"var","categoria","1-Excelente","2","3","4","5","6","7","8","9-Pésimo","No sabe"
"P39","Apoyar totalmente",0.207,0.12,0.169,0.179,0.183,0.04,0.207,0.247,0.26,0.171
"P39","No sabe",0.016,0.074,0.03,0.134,0.054,0.087,0.04,0.006,0.033,0.115
"P40","Inseguridad y narcotráfico",0.359,0.331,0.281,0.29,0.249,0.249,0.144,0.403,0.364,0.329
"P40","Altos impuestos y tarifas",0.148,0.223,0.188,0.167,0.22,0.174,0.33,0.123,0.137,0.122
"P40","Educación y estado de las escuelas",0.207,0.159,0.177,0.185,0.265,0.211,0.193,0.217,0.16,0.289
"P40","Inflación",0.141,0.125,0.284,0.256,0.145,0.219,0.194,0.091,0.131,0.128
"P40","Estado de la salud",0.061,0.118,0.034,0.032,0.074,0.056,0.017,0.106,0.122,0.04
"P40","Corrupción",0.061,0.036,0.036,0.011,0.034,0.074,0.061,0.022,0.059,0.02
"P40","Pobreza",0.002,0.008,0,0.047,0.005,0,0.027,0.003,0.013,0.061
"P40","Medio ambiente, incendios y contaminación",0.002,0,0,0,0.006,0.014,0.011,0,0,0.011
"P40","Falta de trabajo",0.013,0,0,0.012,0.002,0.003,0.018,0.009,0.005,0
"P40","No sabe",0.006,0,0,0,0,0,0.005,0.026,0.009,0
"P44","Muy buena",0.115,0.04,0.009,0.005,0.009,0.046,0,0.025,0.02,0.028
"P44","Buena",0.101,0.167,0.058,0.033,0.156,0.086,0.143,0.021,0.076,0.042
"P44","Ni buena ni mala",0.305,0.312,0.48,0.416,0.432,0.441,0.377,0.27,0.179,0.424
"P44","Mala",0.355,0.232,0.315,0.459,0.301,0.304,0.363,0.466,0.41,0.331
"P44","Muy mala",0.118,0.202,0.072,0.078,0.074,0.098,0.106,0.205,0.29,0.136
"P44","No sabe",0.006,0.047,0.066,0.009,0.028,0.025,0.011,0.013,0.025,0.039
"P45","Peor",0.56,0.496,0.548,0.569,0.434,0.571,0.504,0.661,0.709,0.523
"P45","Igual",0.287,0.309,0.255,0.206,0.319,0.324,0.259,0.22,0.185,0.234
"P45","Mejor",0.052,0.115,0.134,0.128,0.125,0.043,0.049,0.052,0.049,0.173
"P45","No sabe",0.101,0.08,0.063,0.097,0.122,0.062,0.188,0.067,0.057,0.07
"P46","Peor",0.558,0.465,0.445,0.492,0.434,0.548,0.449,0.56,0.627,0.388
"P46","Igual",0.201,0.353,0.37,0.24,0.344,0.224,0.32,0.259,0.187,0.33
"P46","Mejor",0.184,0.103,0.119,0.155,0.138,0.101,0.203,0.137,0.142,0.138
"P46","No sabe",0.057,0.079,0.066,0.113,0.084,0.127,0.028,0.044,0.044,0.144
"P47","Javier Milei",0.477,0.373,0.353,0.271,0.322,0.145,0.401,0.397,0.461,0.332
"P47","Los gobernadores",0.41,0.517,0.569,0.653,0.55,0.598,0.488,0.474,0.444,0.453
"P47","No sabe",0.113,0.11,0.078,0.076,0.128,0.257,0.111,0.129,0.095,0.215
"P48","Muy buena",0.153,0.146,0.092,0.048,0.083,0.155,0.093,0.083,0.093,0.176
"P48","Buena",0.178,0.266,0.305,0.219,0.379,0.211,0.327,0.098,0.121,0.219
"P48","Ni buena ni mala",0.268,0.27,0.391,0.441,0.265,0.416,0.33,0.285,0.156,0.342
"P48","Mala",0.242,0.164,0.095,0.256,0.145,0.141,0.182,0.451,0.328,0.097
"P48","Muy mala",0.143,0.154,0.112,0.026,0.097,0.077,0.061,0.069,0.301,0.102
"P48","No sabe",0.016,0,0.005,0.01,0.031,0,0.007,0.014,0.001,0.064
"P50","Muy buena",0.117,0.115,0.129,0.059,0.096,0.119,0.123,0.193,0.139,0.166
"P50","Buena",0.166,0.184,0.179,0.326,0.252,0.268,0.139,0.075,0.124,0.084
"P50","Ni buena ni mala",0.26,0.22,0.338,0.319,0.275,0.389,0.235,0.233,0.224,0.397
"P50","Mala",0.247,0.308,0.185,0.237,0.192,0.128,0.324,0.236,0.237,0.159
"P50","Muy mala",0.165,0.149,0.139,0.031,0.131,0.095,0.119,0.196,0.263,0.067
"P50","No sabe",0.045,0.024,0.03,0.028,0.054,0.001,0.06,0.067,0.013,0.127
"P51","Muy buena",0.155,0.145,0.055,0.09,0.068,0.046,0.093,0.155,0.13,0.149
"P51","Buena",0.163,0.186,0.192,0.203,0.227,0.256,0.114,0.118,0.155,0.06
"P51","Ni buena ni mala",0.274,0.367,0.354,0.277,0.383,0.29,0.434,0.336,0.272,0.436
"P51","Mala",0.218,0.149,0.247,0.254,0.15,0.174,0.144,0.128,0.198,0.161
"P51","Muy mala",0.128,0.078,0.108,0.096,0.122,0.176,0.175,0.204,0.212,0.071
"P51","No sabe",0.062,0.075,0.044,0.08,0.05,0.058,0.04,0.059,0.033,0.123
"P54","Muy buena",0.225,0.237,0.244,0.195,0.149,0.33,0.289,0.198,0.21,0.311
"P54","Buena",0.116,0.2,0.132,0.125,0.137,0.18,0.102,0.2,0.113,0.056
"P54","Ni buena ni mala",0.128,0.091,0.135,0.204,0.125,0.086,0.069,0.089,0.071,0.221
"P54","Mala",0.176,0.164,0.168,0.242,0.259,0.149,0.219,0.167,0.157,0.177
"P54","Muy mala",0.348,0.303,0.318,0.234,0.316,0.141,0.321,0.332,0.442,0.221
"P54","No sabe",0.007,0.005,0.003,0,0.014,0.114,0,0.014,0.007,0.014
"P55","Muy buena",0.102,0.115,0.084,0.032,0.072,0.134,0.072,0.064,0.095,0.047
"P55","Buena",0.149,0.228,0.153,0.186,0.134,0.083,0.128,0.182,0.169,0.109
"P55","Ni buena ni mala",0.23,0.127,0.115,0.085,0.242,0.132,0.193,0.219,0.132,0.213
"P55","Mala",0.235,0.243,0.333,0.324,0.222,0.311,0.191,0.22,0.212,0.409
"P55","Muy mala",0.279,0.282,0.306,0.373,0.316,0.321,0.416,0.312,0.391,0.207
"P55","No sabe",0.005,0.005,0.009,0,0.014,0.019,0,0.003,0.001,0.015
"P56","Muy buena",0.097,0.121,0.09,0.061,0.033,0.169,0.068,0.067,0.135,0.183
"P56","Buena",0.134,0.168,0.176,0.268,0.192,0.251,0.258,0.112,0.126,0.066
"P56","Ni buena ni mala",0.208,0.169,0.227,0.311,0.214,0.249,0.123,0.328,0.109,0.218
"P56","Mala",0.2,0.198,0.153,0.194,0.187,0.093,0.179,0.138,0.173,0.195
"P56","Muy mala",0.361,0.337,0.354,0.161,0.355,0.211,0.366,0.312,0.446,0.318
"P56","No sabe",0,0.007,0,0.005,0.019,0.027,0.006,0.043,0.011,0.02
"P57","Muy buena",0.227,0.249,0.211,0.255,0.199,0.399,0.295,0.242,0.19,0.083
"P57","Buena",0.098,0.108,0.086,0.169,0.132,0.108,0.093,0.131,0.141,0.129
"P57","Ni buena ni mala",0.093,0.123,0.161,0.147,0.114,0.171,0.099,0.09,0.064,0.161
"P57","Mala",0.195,0.171,0.116,0.255,0.134,0.115,0.148,0.168,0.17,0.28
"P57","Muy mala",0.387,0.329,0.362,0.157,0.38,0.206,0.318,0.325,0.432,0.306
"P57","No sabe",0,0.02,0.064,0.017,0.041,0.001,0.047,0.044,0.003,0.041
"P58","Muy buena",0.349,0.251,0.327,0.153,0.236,0.109,0.303,0.271,0.295,0.319
"P58","Buena",0.109,0.134,0.12,0.15,0.206,0.189,0.151,0.156,0.124,0.066
"P58","Ni buena ni mala",0.122,0.149,0.16,0.097,0.087,0.036,0.073,0.098,0.044,0.152
"P58","Mala",0.102,0.117,0.138,0.188,0.091,0.156,0.073,0.132,0.14,0.228
"P58","Muy mala",0.313,0.344,0.253,0.407,0.37,0.421,0.4,0.317,0.394,0.214
"P58","No sabe",0.005,0.005,0.002,0.005,0.01,0.089,0,0.026,0.003,0.021
"P59","Muy buena",0.296,0.312,0.294,0.145,0.143,0.114,0.149,0.289,0.212,0.168
"P59","Buena",0.204,0.185,0.143,0.187,0.274,0.177,0.353,0.096,0.192,0.262
"P59","Ni buena ni mala",0.084,0.1,0.179,0.122,0.145,0.113,0.087,0.097,0.095,0.154
"P59","Mala",0.112,0.103,0.111,0.095,0.08,0.122,0.056,0.16,0.098,0.169
"P59","Muy mala",0.304,0.295,0.273,0.451,0.349,0.474,0.355,0.331,0.4,0.229
"P59","No sabe",0,0.005,0,0,0.009,0,0,0.027,0.003,0.018
"P60","Muy buena",0.37,0.36,0.279,0.142,0.256,0.144,0.28,0.338,0.33,0.318
"P60","Buena",0.127,0.15,0.141,0.286,0.192,0.174,0.135,0.094,0.129,0.101
"P60","Ni buena ni mala",0.129,0.152,0.202,0.119,0.105,0.088,0.129,0.133,0.093,0.216
"P60","Mala",0.107,0.09,0.137,0.062,0.081,0.194,0.102,0.086,0.081,0.193
"P60","Muy mala",0.235,0.243,0.216,0.371,0.333,0.367,0.354,0.322,0.36,0.154
"P60","No sabe",0.032,0.005,0.025,0.02,0.033,0.033,0,0.027,0.007,0.018
"P61","Muy buena",0.175,0.133,0.056,0.042,0.045,0.054,0.022,0.075,0.054,0.083
"P61","Buena",0.149,0.158,0.174,0.187,0.294,0.118,0.176,0.193,0.157,0.126
"P61","Ni buena ni mala",0.363,0.396,0.408,0.369,0.386,0.43,0.439,0.397,0.39,0.484
"P61","Mala",0.115,0.108,0.117,0.147,0.101,0.121,0.226,0.126,0.168,0.179
"P61","Muy mala",0.129,0.184,0.146,0.189,0.142,0.259,0.131,0.16,0.209,0.07
"P61","No sabe",0.069,0.021,0.099,0.066,0.032,0.018,0.006,0.049,0.022,0.058
